material_id,chem_formula,R$_0$,B,Ru_chemenv,num_Ru_chemenvs,Ru_wyckoff,num_Ru_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Ru_sites,num_CN_env,num_charge_states,RuX_coordn,RuO_coordn,mean_coordn_Ru-X,min_coordn_Ru-X,max_coordn_Ru-X,mean_coordn_Ru-O,min_coordn_Ru-O,max_coordn_Ru-O,mean_Ru_charge,min_Ru_charge,max_Ru_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_RuO_BondL
mp-1196247,Ba4Sm(RuO4)3,1.974600887014732,0.1215596285264132,Octahedron,1,"1c, 2i",2,"[0.24905557598107403, 0.098917457430421, 0.11672101627866201, 0.263101315355849, 0.15270472501120602]",0.0,0.17610001801144243,AB3C4D12,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,4.5,4.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,Ba-O-Ru-Sm,0.003356837458333,-2.491040874416668,0.0,4,Monoclinic,2/m,C2/m,oxide,,Ba,Ru,,,B,"O, S",,,Sm,,"B $\in$ [0.1, 0.5]",Positive B,2.0191783200592575
mp-1197440,SrZnRu5O11,2.026331501384027,0.0170263819604571,Octahedron,1,"12i, 4e",2,"[0.773585798317803, 0.6795935477628611, 0.8019343376898861, 0.9572319423030011]",0.0,0.8030864065183878,ABC5D11,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,3.5,3.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,O-Ru-Sr-Zn,0.032696451874996,-1.6250983449305552,0.0,4,Hexagonal,6/m,P6_3/m,oxide,,Sr,"Zn, Ru",,,,"O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0353533967127735
mp-1198408,Ba2HRu3O10,1.888721566734421,0.4385039665230822,Octahedron,1,4a,1,"[0.6332235372372651, 0.657613279922715, 0.6862580018925211]",0.0,0.6590316063508338,AB2C3D10,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ba-H-O-Ru,0.0,-1.909945534765625,0.0,4,Orthorhombic,222,P2_12_12_1,oxide,,Ba,Ru,,,B,"H, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9697882881622166
mp-1198431,Ba3NaRu2O9,1.914436436620584,0.5722536630949955,Octahedron,1,"4f, 8h",2,"[0.072740621557911, 0.075942585364836, 0.36521525853879805]",0.0,0.17129948848718168,AB2C3D9,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,5.5,5.0,6.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ba-Na-O-Ru,0.003733713499999,-2.251248916591955,0.0,4,Orthorhombic,mmm,Cmcm,oxide,Na,Ba,Ru,,,B,"N, O",,,,,"B $\in$ [0.5, 1]",Positive B,1.974826328247389
mp-1198628,Na3RuO4,1.8606320085863368,0.6936288506685211,Octahedron,1,"2g, 2i",2,"[0.33209880418465404, 0.35043345763419503]",0.0,0.34126613090942454,AB3C4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",r2SCAN,Na-O-Ru,0.0,-1.71085392270474,0.0,3,Monoclinic,2/m,C2/m,oxide,Na,,Ru,,,,"N, O",,,,,"B $\in$ [0.5, 1]",Positive B,1.999951954343194
mp-1200068,Ba4Ru3O10,1.8053219805795493,0.5831977200829852,Octahedron,1,"2a, 4e",2,"[0.377288034485848, 0.18406136006161303]",0.0,0.2806746972737305,A3B4C10,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ba-O-Ru,0.000608921470588,-2.289698454117648,0.0,3,Monoclinic,2/m,P2_1/c,oxide,,Ba,Ru,,,B,O,,,,,"B $\in$ [0.5, 1]",Positive B,2.0348134381789524
mp-1200843,Nd3RuO7,1.973845343538733,0.0773626531212751,Octahedron,1,4b,1,[0.18600223449182202],0.0,0.18600223449182202,AB3C7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,Nd-O-Ru,0.001629918863635,-2.954480151363634,0.1347,3,Orthorhombic,mmm,Pnma,oxide,,,Ru,,,,"N, O",,,Nd,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.9882210210524622
mp-1201246,NaLi2(RuO2)6,2.023933141066672,0.0433250101766123,Octahedron,1,2i,1,"[0.6749605150619711, 1.146850281527598, 1.319899983661373, 0.801481297090425, 0.8757731795745831, 1.081562820822793]",0.0,0.9834213462897905,AB2C6D12,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,3.5,3.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Li-Na-O-Ru,0.011802191011903,-1.535387979192665,0.0,4,Triclinic,-1,P-1,oxide,"Li, Na",,Ru,,,,"N, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.04769929670612
mp-1202241,La2RuO5,1.869470708043772,0.4002308990594141,Octahedron,1,2i,1,"[0.29336573574235003, 0.34358833515713305]",0.0,0.31847703544974154,AB2C5,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,La-O-Ru,0.039435823437496,-2.943005285625,0.0,3,Triclinic,-1,P-1,oxide,,,Ru,,,,O,,,La,,"B $\in$ [0.1, 0.5]",Positive B,2.032640422747552
mp-1202499,BaZnRu5O11,2.0237467058410568,0.0268525289541904,Octahedron,1,"12i, 4e",2,"[0.684910539859644, 0.570119944336948, 0.497335048999872, 0.743557327145641]",0.0,0.6239807150855263,ABC5D11,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,3.5,3.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ba-O-Ru-Zn,0.03175936819444,-1.6259086051388891,0.0,4,Hexagonal,6/m,P6_3/m,oxide,,Ba,"Zn, Ru",,,B,O,,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.037463874166098
