material_id,chem_formula,R$_0$,B,Th_chemenv,num_Th_chemenvs,Th_wyckoff,num_Th_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Th_sites,num_CN_env,num_charge_states,ThX_coordn,ThO_coordn,mean_coordn_Th-X,min_coordn_Th-X,max_coordn_Th-X,mean_coordn_Th-O,min_coordn_Th-O,max_coordn_Th-O,mean_Th_charge,min_Th_charge,max_Th_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_ThO_BondL
mp-1195622,Rb2Th(AsO4)2,2.084816927849162,0.5603686944866989,Square antiprism,1,4e,1,[1.159772792045328],0.0,1.159772792045328,AB2C2D8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,1.0,1,1,O2-,"Actinides, Alkali Metals, Metalloids, Nonmetals",GGA,As-O-Rb-Th,0.0,-2.519719306538459,3.9186,4,Monoclinic,2/m,P2_1/c,oxide,Rb,,,,,As,O,,,,Th,"B $\in$ [0.5, 1]",Positive B,2.473724239101098
mp-1195659,Th(SeO3)2,2.1945124465601618,0.3525037292995133,Dodecahedron with triangular faces - p2345 plane normalized,1,4e,1,[2.22847040543882],0.0,2.22847040543882,AB2C6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,1.0,1,1,O2-,"Actinides, Nonmetals",r2SCAN,O-Se-Th,0.0,-2.3089583096874997,3.936,3,Monoclinic,2/m,P2_1/c,oxide,,,,,,,"O, S, Se",,,,Th,"B $\in$ [0.1, 0.5]",Positive B,2.42386843876705
mp-1195677,ThTeSO7,2.394401618469028,0.1528587182155404,Tricapped triangular prism (three square-face caps),1,4e,1,[4.175490207892334],0.0,4.175490207892334,ABCD7,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,4.0,4.0,4.0,1.0,1,1,O2-,"Actinides, Metalloids, Nonmetals",GGA,O-S-Te-Th,0.0,-2.5424758374166663,4.226799999999999,4,Monoclinic,2/m,P2_1/c,oxide,,,,,,Te,"O, S",,,,Th,"B $\in$ [0.1, 0.5]",Positive B,2.5017255321382432
mp-1195679,Cs2Th(Si2O5)3,2.307950480459305,-0.0180001427120323,no_data,1,no_data,1,no_data,0.0,no_data,AB2C6D15,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Actinides, Alkali Metals, Metalloids, Nonmetals",SCAN,Cs-O-Si-Th,0.0,-3.308357584554598,4.7695,4,Orthorhombic,mm2,Cmc2_1,oxide,Cs,,,,,Si,"C, O, S",,,,Th,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.3051796789220034
mp-1198898,CsTh2(PO4)3,2.003255171526661,0.6020304810104241,Tricapped triangular prism (three square-face caps),1,4f,1,[3.780095042953833],0.0,3.780095042953833,AB2C3D12,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,4.0,4.0,4.0,1.0,1,1,O2-,"Actinides, Alkali Metals, Nonmetals",r2SCAN,Cs-O-P-Th,0.0,-3.3441776829768752,4.5121,4,Monoclinic,2/m,C2/c,phosphate,Cs,,,,,,"C, O, P",,,,Th,"B $\in$ [0.5, 1]",Positive B,2.485896909778469
mp-1202658,ThV2SeO9,2.08721821311892,0.5173651478596647,Square-face monocapped antiprism,1,4d,1,[2.655472052976997],0.0,2.655472052976997,ABC2D9,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,4.0,4.0,4.0,1.0,1,1,O2-,"Actinides, Nonmetals, Transition Metals",GGA_U,O-Se-Th-V,0.016346046057696,-2.56012745671875,2.3117,4,Orthorhombic,mmm,Pbcm,oxide,,,V,,,,"O, S, Se",,,,Th,"B $\in$ [0.5, 1]",Positive B,2.48923540661211
mp-1204133,Cs2Th(Si2O5)3,2.136710757781,0.4183236939423234,Octahedron,1,4a,1,[0.15787319468176],0.0,0.15787319468176,AB2C6D15,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Actinides, Alkali Metals, Metalloids, Nonmetals",SCAN,Cs-O-Si-Th,6.932583333352227e-05,-3.308288258721264,4.8223,4,Orthorhombic,mm2,Pca2_1,oxide,Cs,,,,,Si,"C, O, S",,,,Th,"B $\in$ [0.1, 0.5]",Positive B,2.306705391827283
mp-1204445,ThH2(SO4)3,2.3269352564204886,0.1549538973199906,Tricapped triangular prism (three square-face caps),1,2i,1,[0.423664915069184],0.0,0.423664915069184,AB2C3D12,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,4.0,4.0,4.0,1.0,1,1,O2-,"Actinides, Nonmetals",GGA,H-O-S-Th,0.003355579583329,-2.180930188888888,4.4226,4,Triclinic,-1,P-1,sulfate,,,,,,,"H, O, S",,,,Th,"B $\in$ [0.1, 0.5]",Positive B,2.455280756147823
mp-1204611,Th2BPO8,2.0598704891136967,0.5888210736925507,"Tricapped triangular prism (two square-face caps and one triangular-face cap), Bicapped square prism (adjacent faces)",2,4e,1,"[8.067943370621249, 3.8395041088478523]",0.5,5.953723739734551,ABC2D8,2,2,1,"[10.0, 9.0]","[10.0, 9.0]",9.5,9.0,10.0,9.5,9.0,10.0,4.0,4.0,4.0,1.0,1,1,O2-,"Actinides, Metalloids, Nonmetals",GGA,B-O-P-Th,0.039588335104173,-3.571448373234126,4.532800000000001,4,Monoclinic,2/m,P2_1/c,oxide,,,,,,B,"O, P",,,,Th,"B $\in$ [0.5, 1]",Positive B,2.5503588152636323
mp-1209584,Rb2Th(NO3)6,2.552058502083884,0.0469901114345765,Icosahedron,1,2a,1,[1.605196947547174],0.0,1.605196947547174,AB2C6D18,1,1,1,[12.0],[12.0],12.0,12.0,12.0,12.0,12.0,12.0,4.0,4.0,4.0,1.0,1,1,O2-,"Actinides, Alkali Metals, Nonmetals",GGA,N-O-Rb-Th,0.0,-1.4413770111111122,3.6611,4,Monoclinic,2/m,P2_1/c,nitrate,Rb,,,,,,"N, O",,,,Th,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.6037331193078193
mp-1210121,NaTh2(PO4)3,2.015355168233545,0.6125211679344292,Tricapped triangular prism (three square-face caps),1,4f,1,[3.830518789894959],0.0,3.830518789894959,AB2C3D12,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,4.0,4.0,4.0,1.0,1,1,O2-,"Actinides, Alkali Metals, Nonmetals",GGA,Na-O-P-Th,0.006559996111111,-3.3295844811282143,4.6465,4,Monoclinic,2/m,C2/c,phosphate,Na,,,,,,"N, O, P",,,,Th,"B $\in$ [0.5, 1]",Positive B,2.488821300650117
mp-1212266,K2Th(NO3)6,2.4232412894456816,0.1614995521286845,Icosahedron,1,"2d, 1a",2,"[1.617373182140041, 1.563203640292839]",0.0,1.5902884112164402,AB2C6D18,1,1,1,[12.0],[12.0],12.0,12.0,12.0,12.0,12.0,12.0,4.0,4.0,4.0,1.0,1,1,O2-,"Actinides, Alkali Metals, Nonmetals",GGA,K-N-O-Th,0.0,-1.436932916216049,3.5914,4,Trigonal,-3,P-3,nitrate,K,,,,,,"N, O",,,,Th,"B $\in$ [0.1, 0.5]",Positive B,2.6008627225962053
