material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Sn_wyckoff,num_Sn_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-767114,SnP4O11,2.28106230334254,0.181065778633198,[6.0],2.0,2.0,2.0,Octahedron,4e,1,6.0,Sn,0.0,True,0.0,6.0,2.3681773761516522,2.5398654283287616,2.4831234280118766,0.05859266514433992,0.17168805217710936,105.50752675264587,32.48504601333444,77.85772764760955,174.32159807188717,6.0,1.0,1,Octahedron
mp-767114,SnP4O11,2.28106230334254,0.181065778633198,[6.0],2.0,2.0,2.0,Octahedron,4e,1,6.0,Sn,0.0,True,1.0,6.0,2.3681773761516514,2.539865428328767,2.483123428011878,0.05859266514434288,0.17168805217711558,55.3754337835165,22.89724497473931,14.218933559299547,85.12906149462648,6.0,1.0,2,Octahedron
mp-767114,SnP4O11,2.28106230334254,0.181065778633198,[6.0],2.0,2.0,2.0,Octahedron,4e,1,6.0,Sn,0.0,True,2.0,6.0,2.3681773761516505,2.539865428328762,2.4831234280118775,0.05859266514434109,0.17168805217711158,55.375433783516506,22.89724497473932,14.218933559299547,85.1290614946265,6.0,1.0,3,Octahedron
mp-767114,SnP4O11,2.28106230334254,0.181065778633198,[6.0],2.0,2.0,2.0,Octahedron,4e,1,6.0,Sn,0.0,True,3.0,6.0,2.368177376151648,2.5398654283287643,2.483123428011877,0.05859266514434301,0.17168805217711647,105.50752675264586,32.48504601333441,77.85772764760954,174.32159807188697,6.0,1.0,4,Octahedron
mp-767134,Sn2P2O7,2.1168908290749844,0.3386376114596662,[5.0],2.0,2.0,2.0,"Octahedron, Square pyramid",4e,2,5.0,Sn,0.0,True,0.0,5.0,2.2513481877509873,2.6820496790369646,2.4417249105920447,0.15277487327147696,0.43070149128597723,56.8482807091268,21.78118252726421,25.035338751894706,79.77370714180887,5.0,1.0,1,"Octahedron, Square pyramid"
mp-767134,Sn2P2O7,2.1168908290749844,0.3386376114596662,[5.0],2.0,2.0,2.0,"Octahedron, Square pyramid",4e,2,5.0,Sn,0.0,True,3.0,5.0,2.251348187750987,2.6820496790369655,2.441724910592044,0.15277487327147768,0.43070149128597857,101.02346312662101,32.02497928394279,76.15240161431733,171.1906826062616,5.0,1.0,2,"Octahedron, Square pyramid"
mp-767134,Sn2P2O7,2.1168908290749844,0.3386376114596662,[5.0],2.0,2.0,2.0,"Octahedron, Square pyramid",4e,2,5.0,Sn,0.0,True,4.0,5.0,2.2513481877509873,2.682049679036965,2.4417249105920447,0.15277487327147682,0.4307014912859777,101.02346312662101,32.024979283942805,76.15240161431731,171.19068260626167,5.0,1.0,3,"Octahedron, Square pyramid"
mp-767134,Sn2P2O7,2.1168908290749844,0.3386376114596662,[5.0],2.0,2.0,2.0,"Octahedron, Square pyramid",4e,2,5.0,Sn,0.0,True,7.0,5.0,2.2513481877509864,2.6820496790369655,2.441724910592044,0.15277487327147785,0.430701491285979,56.84828070912679,21.781182527264214,25.035338751894706,79.77370714180888,5.0,1.0,4,"Octahedron, Square pyramid"
mp-767141,Sn(PO3)2,2.0130623817179165,0.4707767014669622,[7.0],2.0,2.0,2.0,"Square-face capped trigonal prism, Square antiprism",4e,2,7.0,Sn,0.0,True,2.0,7.0,2.4029921685131925,2.841549712019273,2.5995136823486154,0.14454115367722034,0.43855754350608045,100.61669424827129,29.93660098183046,66.21794667803265,146.5101680005269,7.0,1.0,1,"Square-face capped trigonal prism, Square antiprism"
mp-767141,Sn(PO3)2,2.0130623817179165,0.4707767014669622,[7.0],2.0,2.0,2.0,"Square-face capped trigonal prism, Square antiprism",4e,2,7.0,Sn,0.0,True,3.0,7.0,2.402992168513193,2.841549712019273,2.5995136823486154,0.14454115367722056,0.43855754350608,89.44742288931172,33.4404531402552,27.195486350786947,145.47670343340442,7.0,1.0,2,"Square-face capped trigonal prism, Square antiprism"
mp-767141,Sn(PO3)2,2.0130623817179165,0.4707767014669622,[7.0],2.0,2.0,2.0,"Square-face capped trigonal prism, Square antiprism",4e,2,7.0,Sn,0.0,True,4.0,7.0,2.4029921685131943,2.8415497120192725,2.599513682348615,0.14454115367722048,0.43855754350607823,89.44742288931172,33.44045314025521,27.195486350786947,145.47670343340442,7.0,1.0,3,"Square-face capped trigonal prism, Square antiprism"
mp-767141,Sn(PO3)2,2.0130623817179165,0.4707767014669622,[7.0],2.0,2.0,2.0,"Square-face capped trigonal prism, Square antiprism",4e,2,7.0,Sn,0.0,True,5.0,7.0,2.4029921685131943,2.8415497120192716,2.599513682348615,0.14454115367721987,0.43855754350607734,100.61669424827129,29.936600981830463,66.21794667803263,146.51016800052693,7.0,1.0,4,"Square-face capped trigonal prism, Square antiprism"
mp-767192,Sn(PO3)2,2.3742912501182625,0.0892108442703733,"[4.0, 6.0]",2.0,2.0,2.0,Octahedron,"2e, 2c",1,4.0,Sn,0.0,True,,,,,,,,,,,,,,0,Octahedron
mp-767192,Sn(PO3)2,2.3742912501182625,0.0892108442703733,"[4.0, 6.0]",2.0,2.0,2.0,Octahedron,"2e, 2c",1,6.0,Sn,0.0,True,0.0,6.0,2.2622191031548695,2.863168061390941,2.5879438623734123,0.2479215501413259,0.6009489582360716,47.39626029938108,17.263492733025412,24.696824399252307,78.88952022332373,6.0,1.0,1,Octahedron
mp-767192,Sn(PO3)2,2.3742912501182625,0.0892108442703733,"[4.0, 6.0]",2.0,2.0,2.0,Octahedron,"2e, 2c",1,6.0,Sn,0.0,True,1.0,6.0,2.417699027371893,2.4993694661378454,2.469257335659203,0.036628486628183424,0.08167043876595237,58.5210250959329,26.49653569900215,24.47863875014833,96.90695356753702,6.0,1.0,2,Octahedron
