material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ta_wyckoff,num_Ta_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-2715776,Na2Ta6Ga2Si7S5O48,1.9152592848187624,0.3862758632272776,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True,18.0,6.0,1.9183784829256172,2.0913035613723983,1.9838089559760312,0.07341868602641687,0.17292507844678107,107.35993299384177,34.76125143807635,86.07930132454167,178.92172724041063,6.0,1.0,13,Octahedron
mp-2715776,Na2Ta6Ga2Si7S5O48,1.9152592848187624,0.3862758632272776,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True,19.0,6.0,1.880791939000584,2.164245614133545,2.0067402353231834,0.11489739753092632,0.28345367513296105,106.48550870163537,33.394060494462195,83.56781678720954,175.32516578480346,6.0,1.0,14,Octahedron
mp-2715776,Na2Ta6Ga2Si7S5O48,1.9152592848187624,0.3862758632272776,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True,20.0,6.0,1.8849144599486494,2.23465982247011,2.0122867316259327,0.14168726012930172,0.3497453625214606,106.09128941660484,32.944168874308595,82.24693244347205,177.10414732902422,6.0,1.0,15,Octahedron
mp-2715776,Na2Ta6Ga2Si7S5O48,1.9152592848187624,0.3862758632272776,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True,21.0,6.0,1.8681196687355759,2.2353353449752174,2.002047507266936,0.14464005879653746,0.36721567623964146,105.88215722079444,32.57439822850419,82.89954996697175,173.54822838417354,6.0,1.0,16,Octahedron
mp-2715776,Na2Ta6Ga2Si7S5O48,1.9152592848187624,0.3862758632272776,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True,22.0,6.0,1.8562781558612012,2.2530796239777984,1.9995506877257823,0.13753293187914162,0.3968014681165972,105.91204071124663,32.636860243779,82.57178615501428,175.27506450629667,6.0,1.0,17,Octahedron
mp-2715776,Na2Ta6Ga2Si7S5O48,1.9152592848187624,0.3862758632272776,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True,23.0,6.0,1.8628144410943506,2.2345242061085577,2.0108675390809645,0.14275819811522758,0.37170976501420716,106.03072617431353,32.82304897237609,81.70453227515523,174.78148926778312,6.0,1.0,18,Octahedron
mp-2715786,Na21Mg8Ta4Si3(P5O24)3,1.824742822285902,0.9309171488351822,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True,29.0,6.0,1.9459717064751652,2.05382170886846,1.9981629557578626,0.03961348622500312,0.1078500023932949,49.25815913917466,24.599414455669155,7.749770379961891,86.05462546365787,6.0,1.0,1,Octahedron
mp-2715786,Na21Mg8Ta4Si3(P5O24)3,1.824742822285902,0.9309171488351822,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True,30.0,6.0,1.9538917593623735,2.0669908701492985,1.9921722850052215,0.035913537740915484,0.11309911078692503,106.35010166401656,32.97745803245316,83.91275458166061,173.08233471735403,6.0,1.0,2,Octahedron
mp-2715786,Na21Mg8Ta4Si3(P5O24)3,1.824742822285902,0.9309171488351822,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True,31.0,6.0,1.9413641026722732,2.0302721864613416,1.9927428239201983,0.03638259421054271,0.08890808378906834,106.68284512506447,33.635972477795804,83.74225677484544,174.2263494255328,6.0,1.0,3,Octahedron
mp-2715786,Na21Mg8Ta4Si3(P5O24)3,1.824742822285902,0.9309171488351822,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True,32.0,6.0,1.8847017845133818,2.082606694569435,1.998535393695155,0.06780851103099843,0.19790491005605326,105.68726747311989,32.21434824955088,80.8127939878765,170.5042619820669,6.0,1.0,4,Octahedron
mp-2715789,Na3MgTa5Si3(PO6)6,1.90112378384548,0.4500552241507679,[6.0],5.0,5.0,5.0,Octahedron,"2b, 2c, 2a",1,6.0,Ta,0.0,True,8.0,6.0,1.945484159215242,1.999988610649627,1.9727363803033275,0.027252202985643795,0.05450445143438487,61.205474841001724,26.931074024175512,20.4052850639533,114.37222678568858,6.0,1.0,1,Octahedron
mp-2715789,Na3MgTa5Si3(PO6)6,1.90112378384548,0.4500552241507679,[6.0],5.0,5.0,5.0,Octahedron,"2b, 2c, 2a",1,6.0,Ta,0.0,True,9.0,6.0,1.9454841591385228,1.9999886106298277,1.9727363803033262,0.027252202985644756,0.054504451491304895,60.940844945521796,26.67066887903743,20.81550733621654,112.96911133753801,6.0,1.0,2,Octahedron
mp-2715789,Na3MgTa5Si3(PO6)6,1.90112378384548,0.4500552241507679,[6.0],5.0,5.0,5.0,Octahedron,"2b, 2c, 2a",1,6.0,Ta,0.0,True,10.0,6.0,1.9728750479431953,2.0126108932482256,1.9927429807237884,0.01986788677829298,0.03973584530503027,60.76166605926057,26.759302195230845,20.903731641174325,112.6081388472244,6.0,1.0,3,Octahedron
mp-2715789,Na3MgTa5Si3(PO6)6,1.90112378384548,0.4500552241507679,[6.0],5.0,5.0,5.0,Octahedron,"2b, 2c, 2a",1,6.0,Ta,0.0,True,11.0,6.0,1.972875082935644,2.0126108932235622,1.9927429807237882,0.019867886778267844,0.03973581028791817,60.83997017883728,26.666047694441346,20.83835783340865,113.09994590533688,6.0,1.0,4,Octahedron
mp-2715789,Na3MgTa5Si3(PO6)6,1.90112378384548,0.4500552241507679,[6.0],5.0,5.0,5.0,Octahedron,"2b, 2c, 2a",1,6.0,Ta,0.0,True,12.0,6.0,1.9396975617481422,2.0390409218239447,1.989369207918398,0.04966788117846062,0.09934336007580247,50.58681032489592,25.36283587878806,7.642796909718306,87.0542455646361,6.0,1.0,5,Octahedron
mp-2715789,Na3MgTa5Si3(PO6)6,1.90112378384548,0.4500552241507679,[6.0],5.0,5.0,5.0,Octahedron,"2b, 2c, 2a",1,6.0,Ta,0.0,True,13.0,6.0,1.9396975938227492,2.0390409573562818,1.9893692079183969,0.049667881178528474,0.09934336353353257,107.51878448628044,35.09517410248365,87.05404935109021,177.64105189676977,6.0,1.0,6,Octahedron
mp-2715789,Na3MgTa5Si3(PO6)6,1.90112378384548,0.4500552241507679,[6.0],5.0,5.0,5.0,Octahedron,"2b, 2c, 2a",1,6.0,Ta,0.0,True,14.0,6.0,1.9249748226479033,2.036205888035639,1.9805903522675017,0.055612244910418926,0.11123106538773575,49.77752402135358,25.063837187738464,7.338339849503141,85.83563900287281,6.0,1.0,7,Octahedron
mp-2715789,Na3MgTa5Si3(PO6)6,1.90112378384548,0.4500552241507679,[6.0],5.0,5.0,5.0,Octahedron,"2b, 2c, 2a",1,6.0,Ta,0.0,True,15.0,6.0,1.9249747740689807,2.0362058444683098,1.9805903522675,0.055612244910514405,0.11123107039932911,106.78957405661711,33.75700829829926,85.83545907161546,174.08936653537165,6.0,1.0,8,Octahedron
mp-2715789,Na3MgTa5Si3(PO6)6,1.90112378384548,0.4500552241507679,[6.0],5.0,5.0,5.0,Octahedron,"2b, 2c, 2a",1,6.0,Ta,0.0,True,16.0,6.0,1.924242825562935,2.059624368489918,1.9919337148290932,0.06768692869512673,0.13538154292698312,106.82665643966173,33.89988388477198,84.66800847879465,174.3991383295077,6.0,1.0,9,Octahedron
mp-2715789,Na3MgTa5Si3(PO6)6,1.90112378384548,0.4500552241507679,[6.0],5.0,5.0,5.0,Octahedron,"2b, 2c, 2a",1,6.0,Ta,0.0,True,17.0,6.0,1.9242428585157911,2.059624398530662,1.9919337148290979,0.06768692869498795,0.13538154001487102,106.82665643966014,33.89988388476972,84.66801111226663,174.3991383598854,6.0,1.0,10,Octahedron
mp-2715796,Na3Mg2Ta10Si3(P5O24)3,1.9089967242177763,0.3998435168576627,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True,5.0,6.0,1.9424459040869198,2.079455466524809,1.9820451585891894,0.04782427014448658,0.1370095624378891,60.46706226046534,26.813032825684207,20.928578375378354,111.35850795919805,6.0,1.0,1,Octahedron
mp-2715796,Na3Mg2Ta10Si3(P5O24)3,1.9089967242177763,0.3998435168576627,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True,6.0,6.0,1.9058311844354558,2.027518348180758,1.9893198093526638,0.039948744227914695,0.12168716374530231,60.57703721711775,26.692596266240898,20.876305716020475,111.71201415091758,6.0,1.0,2,Octahedron
mp-2715796,Na3Mg2Ta10Si3(P5O24)3,1.9089967242177763,0.3998435168576627,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True,7.0,6.0,1.9221181566302634,2.0634102802236343,1.9773624860377093,0.06104760798158238,0.14129212359337084,36.42714251572293,13.912463064177693,15.18826577244534,59.13618474303476,6.0,1.0,3,Octahedron
mp-2715796,Na3Mg2Ta10Si3(P5O24)3,1.9089967242177763,0.3998435168576627,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True,8.0,6.0,1.8967842523406833,2.044975452592576,1.9806698440956874,0.060883316573022414,0.14819120025189259,37.40110262167223,14.648627187998128,15.22974806469154,61.8936900409858,6.0,1.0,4,Octahedron
mp-2715796,Na3Mg2Ta10Si3(P5O24)3,1.9089967242177763,0.3998435168576627,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True,9.0,6.0,1.9418023686378576,2.071040749859311,1.9948656912991065,0.05319616924022846,0.12923838122145348,106.46952787591273,33.34310710257488,83.78655061379794,174.12523477048833,6.0,1.0,5,Octahedron
mp-2715796,Na3Mg2Ta10Si3(P5O24)3,1.9089967242177763,0.3998435168576627,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True,10.0,6.0,1.927097159373181,2.033437056143808,1.988231749153006,0.04394902537970418,0.10633989677062705,107.2753848119708,34.65896771116087,86.65287615551983,178.29252888419356,6.0,1.0,6,Octahedron
mp-2715796,Na3Mg2Ta10Si3(P5O24)3,1.9089967242177763,0.3998435168576627,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True,11.0,6.0,1.945038795376914,2.04000571909328,1.9912786364043136,0.042293732549116676,0.09496692371636595,53.033635852780655,26.687906143985472,7.524873320705667,91.13283934680013,6.0,1.0,7,Octahedron
mp-2715796,Na3Mg2Ta10Si3(P5O24)3,1.9089967242177763,0.3998435168576627,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True,12.0,6.0,1.9680509523230265,2.0055869799138204,1.9888690585306197,0.013832341085211598,0.037536027590793886,107.46611709197758,34.98003235485485,87.21704018418373,177.60943130629553,6.0,1.0,8,Octahedron
mp-2715796,Na3Mg2Ta10Si3(P5O24)3,1.9089967242177763,0.3998435168576627,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True,13.0,6.0,1.9094739900962587,2.0159673518307017,1.9714415106547962,0.04460428720831823,0.10649336173444302,107.63473011340456,35.30123239851458,88.32603586242774,178.34910154695365,6.0,1.0,9,Octahedron
