material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ta_wyckoff,num_Ta_chemenvs,CN,element,charge_range,is_single_charge
mp-1228449,Ba2TaCu2Pb2ClO8,1.9626546059232588,0.1937699244048493,[6.0],5.0,5.0,5.0,Octahedron,1b,1,6.0,Ta,0.0,True
mp-1228489,Ba3Ta4Ti4O21,1.8918112560080145,0.5984026937635446,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Ta,0.0,True
mp-1228547,Ba4Ta10FeO30,1.9800694934892784,0.0970724544382576,[6.0],5.0,5.0,5.0,no_data,no_data,1,6.0,Ta,0.0,True
mp-1228561,Ba3Ta6Fe2O21,1.8108741066891736,1.071473092165978,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Ta,0.0,True
mp-1228578,Ba2Ta15O32,2.0883301694180583,-0.0833184034394692,"[5.0, 6.0]",4.0,4.0,4.0,"Square pyramid, Octahedron",1a,2,5.0,Ta,0.0,True
mp-1228578,Ba2Ta15O32,2.0883301694180583,-0.0833184034394692,"[5.0, 6.0]",4.0,4.0,4.0,"Square pyramid, Octahedron",1a,2,6.0,Ta,0.0,True
mp-1228584,Ba4MgTa10O30,1.9837605469397488,0.0884934600664013,[6.0],5.0,5.0,5.0,no_data,no_data,1,6.0,Ta,0.0,True
mp-1228585,Ba4Ta10CoO30,1.9840652960822152,0.075519101163034,[6.0],5.0,5.0,5.0,Octahedron,"4e, 2c",1,6.0,Ta,0.0,True
mp-12286,Sr2Ta2O7,1.8501220780209136,0.7870402832090237,[6.0],5.0,5.0,5.0,Octahedron,2c,1,6.0,Ta,0.0,True
mp-1228610,Ba2EuTa3Ti2O15,1.9840545306657933,-0.0002232094517998,[6.0],5.0,5.0,5.0,Octahedron,"2d, 4h",1,6.0,Ta,0.0,True
mp-1228660,Ba4Ta10NiO30,1.9651318399630835,0.186338997404789,[6.0],5.0,5.0,5.0,Octahedron,"4e, 2c",1,6.0,Ta,0.0,True
mp-1228957,CsLa2TaTi2O10,1.9858949177686755,0.4750614301368008,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Ta,0.0,True
mp-1229255,Ba2SrTa6(Bi2O9)3,1.8445421037162624,1.0216110455030023,[6.0],5.0,5.0,5.0,Octahedron,"2i, 4l",1,6.0,Ta,0.0,True
