material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Fe_wyckoff,num_Fe_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1101180,Zn11Fe25O48,1.861851642156621,0.2753897989296604,"[4.0, 6.0]",2.6666666666666665,2.0,3.0,"Octahedron, Tetrahedron","1a, 2b",2,6.0,Fe,1.0,False,34.0,6.0,2.038190300402633,2.087431312279167,2.049832206154866,0.017482838303800288,0.04924101187653385,45.5659268388263,19.372588796605985,10.747454112350866,85.51745721650202,6.0,1.0,23,"Octahedron, Tetrahedron"
mp-1101180,Zn11Fe25O48,1.861851642156621,0.2753897989296604,"[4.0, 6.0]",2.6666666666666665,2.0,3.0,"Octahedron, Tetrahedron","1a, 2b",2,6.0,Fe,1.0,False,35.0,6.0,2.040339046040799,2.115433689671325,2.053016919553878,0.02791403358279169,0.07509464363052576,50.174048958580855,27.817899649488883,16.41583467671622,113.98328299043243,6.0,1.0,24,"Octahedron, Tetrahedron"
mp-1101188,V3FeNi2(PO4)6,1.7037910955742706,0.431560139547576,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Fe,0.0,True,3.0,6.0,1.9363967016889354,2.0816084071043033,2.009002581300911,0.0726057779923631,0.14521170541536788,44.228326278512505,15.3929919708678,16.918055653176747,60.14663455335933,6.0,1.0,1,Octahedron
mp-1101238,V4FeCuO12,1.3429591798595517,1.0072824075338525,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,Fe,0.0,True,8.0,6.0,1.9933481479838886,2.0707913993147335,2.0416626969699183,0.03417540658791839,0.07744325133084495,65.89781627173669,33.51738784990534,10.272859508706278,101.02474431445219,6.0,1.0,1,Octahedron
mp-1101238,V4FeCuO12,1.3429591798595517,1.0072824075338525,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,Fe,0.0,True,9.0,6.0,1.9934372050424065,2.070256784188248,2.0416826865163604,0.03394213296459345,0.0768195791458417,64.03871483551201,39.728838819410456,10.266727294327008,101.0152086137038,6.0,1.0,2,Octahedron
mp-1101471,Rb2FeO4,1.924945691369237,0.6889169712795,[4.0],6.0,6.0,6.0,Tetrahedron,4c,1,4.0,Fe,0.0,True,8.0,4.0,1.6393532576092145,1.649972242548346,1.6450592427398327,0.00377525649094952,0.010618984939131604,90.62539093951459,21.440443712803592,61.81305719446499,110.02048444352205,0.0,0.0,1,Tetrahedron
mp-1101471,Rb2FeO4,1.924945691369237,0.6889169712795,[4.0],6.0,6.0,6.0,Tetrahedron,4c,1,4.0,Fe,0.0,True,9.0,4.0,1.6393532576092138,1.6499722425483436,1.645059242739832,0.003775256490948983,0.010618984939129827,109.46476737393743,1.001484837521989,108.25752020458336,111.0208177770239,0.0,0.0,2,Tetrahedron
mp-1101471,Rb2FeO4,1.924945691369237,0.6889169712795,[4.0],6.0,6.0,6.0,Tetrahedron,4c,1,4.0,Fe,0.0,True,10.0,4.0,1.6393532576092142,1.6499722425483443,1.645059242739832,0.0037752564909490083,0.01061898493913005,109.46476737393745,1.0014848375219736,108.25752020458336,111.02081777702384,0.0,0.0,3,Tetrahedron
mp-1101471,Rb2FeO4,1.924945691369237,0.6889169712795,[4.0],6.0,6.0,6.0,Tetrahedron,4c,1,4.0,Fe,0.0,True,11.0,4.0,1.6393532576092151,1.649972242548345,1.6450592427398327,0.0037752564909489072,0.010618984939129827,90.62539093951459,21.440443712803592,61.813057194464974,110.02048444352205,0.0,0.0,4,Tetrahedron
mp-1101478,NaLi5Fe2P2(CO7)2,2.541590777292752,-0.3353878678667749,[6.0],2.0,2.0,2.0,Octahedron,2a,1,6.0,Fe,0.0,True,,,,,,,,,,,,,,0,Octahedron
