material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Mo_wyckoff,num_Mo_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1217654,U3(Mo5O16)4,1.9876292310585928,0.1234287152646146,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,"4j, 2i",1,6.0,Mo,1.0,False,11.0,6.0,1.7488290737299086,2.3751060063315497,1.9782070545230024,0.19743378220137936,0.6262769326016411,104.69858359154294,31.68756511215329,76.92162503239503,177.6152288164634,6.0,1.0,9,Octahedron
mp-1217654,U3(Mo5O16)4,1.9876292310585928,0.1234287152646146,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,"4j, 2i",1,6.0,Mo,1.0,False,12.0,6.0,1.7420902486415353,2.329435008446548,1.9659293145767716,0.18391362070561867,0.5873447598050128,88.63799534815684,35.361252860912735,1.7088985305641426,162.2418663859801,6.0,1.0,10,Octahedron
mp-1217654,U3(Mo5O16)4,1.9876292310585928,0.1234287152646146,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,"4j, 2i",1,6.0,Mo,1.0,False,13.0,6.0,1.742090248656896,2.329435008425546,1.9659295041872529,0.18391363402480831,0.5873447597686501,66.47532573421674,44.739667938640636,1.2912255924602494,115.70248731756939,6.0,1.0,11,Octahedron
mp-1217654,U3(Mo5O16)4,1.9876292310585928,0.1234287152646146,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,"4j, 2i",1,6.0,Mo,1.0,False,14.0,6.0,1.7488372644805183,2.3750978179021267,1.9782064339868357,0.1974296269047004,0.6262605534216084,104.69864823763459,31.687615632295678,76.9216200562659,177.61522712447015,6.0,1.0,12,Octahedron
mp-1217654,U3(Mo5O16)4,1.9876292310585928,0.1234287152646146,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,"4j, 2i",1,6.0,Mo,1.0,False,15.0,6.0,1.743316062372243,2.319627685972325,2.0138288066129473,0.16834987804785212,0.5763116236000818,89.95944932700428,36.529353828612756,1.3737883775187112,162.88177411986115,6.0,1.0,13,Octahedron
mp-1217654,U3(Mo5O16)4,1.9876292310585928,0.1234287152646146,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,"4j, 2i",1,6.0,Mo,1.0,False,16.0,6.0,1.7575502111256853,2.3759738644999366,1.984603375356599,0.2062495164085325,0.6184236533742513,104.18233386351189,31.15496979698522,71.84906268859089,175.57211787522778,6.0,1.0,14,Octahedron
mp-1217654,U3(Mo5O16)4,1.9876292310585928,0.1234287152646146,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,"4j, 2i",1,6.0,Mo,1.0,False,17.0,6.0,1.7575502111073444,2.3759738645180217,1.9846035796768928,0.2062495972344306,0.6184236534106773,73.67429194058472,37.484805981694784,1.390782869244717,155.34167807442594,6.0,1.0,15,Octahedron
mp-1217654,U3(Mo5O16)4,1.9876292310585928,0.1234287152646146,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,"4j, 2i",1,6.0,Mo,1.0,False,18.0,6.0,1.7433078751780178,2.3196358748455648,2.0138298901258027,0.1683544693426595,0.576327999667547,95.67119972098187,35.82128871046844,16.883243250755665,176.70197186728035,6.0,1.0,16,Octahedron
mp-1217654,U3(Mo5O16)4,1.9876292310585928,0.1234287152646146,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,"4j, 2i",1,6.0,Mo,1.0,False,19.0,6.0,1.7497558069515433,2.325824029198576,2.033046872930475,0.16675043835743797,0.5760682222470326,81.74228124742925,37.540334369066336,18.115402033850227,177.77658316874195,6.0,1.0,17,Octahedron
mp-1217654,U3(Mo5O16)4,1.9876292310585928,0.1234287152646146,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,"4j, 2i",1,6.0,Mo,1.0,False,20.0,6.0,1.7514037132564464,2.366302577665427,2.015715251249207,0.18013375819981212,0.6148988644089808,78.07977557734084,37.93440361740508,0.7374568238961078,116.58956903982973,6.0,1.0,18,Octahedron
mp-1217654,U3(Mo5O16)4,1.9876292310585928,0.1234287152646146,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,"4j, 2i",1,6.0,Mo,1.0,False,21.0,6.0,1.7514037132564464,2.3663025776654263,2.0157152512492065,0.1801337581998118,0.6148988644089799,82.67920352070168,35.66781539507153,17.393358216159303,177.6353256629737,6.0,1.0,19,Octahedron
mp-1217654,U3(Mo5O16)4,1.9876292310585928,0.1234287152646146,"[6.0, 6.0]",5.5,5.0,6.0,Octahedron,"4j, 2i",1,6.0,Mo,1.0,False,22.0,6.0,1.7497558069515433,2.325824029198577,2.033046872930475,0.16675043835743814,0.5760682222470335,68.50051016239294,28.888246039415975,0.6767363283166001,102.0915757781316,6.0,1.0,20,Octahedron
mp-1217800,Ta12MoO33,1.8762537334309983,0.2001124078726466,[4.0],6.0,6.0,6.0,Tetrahedron,1b,1,4.0,Mo,0.0,True,12.0,4.0,1.7926669381767055,1.7975922403608697,1.7951295892687875,0.0024626510920817135,0.004925302184164204,105.06055550039821,30.87185629202122,78.83310920639968,168.7962516273559,4.0,1.0,1,Tetrahedron
mp-1218333,Sr4FeMoO8,2.322278147919365,-1.7553794157797733,[6.0],5.0,5.0,5.0,Octahedron,1c,1,6.0,Mo,0.0,True,5.0,6.0,1.9689298121425571,2.0669669126729135,2.001608845652676,0.04621513239525462,0.09803710053035641,107.99999994308176,36.00814197004648,88.51722852664743,180.0,6.0,1.0,1,Octahedron
