material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,N_wyckoff,num_N_chemenvs,CN,element,charge_range,is_single_charge
mp-1019733,Eu(NO3)3,1.717976089157883,0.9012516061744136,[3.0],5.0,5.0,5.0,Trigonal plane,4e,1,3.0,N,0.0,True
mp-1020193,KNO3,1.4966455897236488,0.4631095582403473,[3.0],5.0,5.0,5.0,Trigonal plane,4e,1,3.0,N,0.0,True
mp-1020630,Rb2Na(NO3)3,1.440170557525282,0.3311297834608464,[3.0],5.0,5.0,5.0,"Hexagonal bipyramid, Trigonal plane","2b, 2a",2,3.0,N,0.0,True
mp-1020671,Y(NO3)3,1.7923970747933935,1.0292993583638386,[3.0],5.0,5.0,5.0,Trigonal plane,4e,1,3.0,N,0.0,True
mp-1100878,YNO4,1.4178936356086005,0.3105404182925197,[3.0],5.0,5.0,5.0,Trigonal plane,4c,1,3.0,N,0.0,True
mp-1105365,KNO3,1.539217381797047,0.5272391800112558,[3.0],5.0,5.0,5.0,Trigonal plane,4e,1,3.0,N,0.0,True
mp-1173447,Rb2SbN2(O2F)3,1.370894098563861,0.2163881333771098,[3.0],5.0,5.0,5.0,Trigonal plane,2a,1,3.0,N,0.0,True
mp-1178448,Cr(NO3)5,1.3115544326863782,0.1046759510337168,[3.0],5.0,5.0,5.0,Trigonal plane,"6c, 3a",1,3.0,N,0.0,True
mp-1180897,K2PdN2(ClO2)2,1.333685509975438,0.2136308511299668,[2.0],3.0,3.0,3.0,Angular,2i,1,2.0,N,0.0,True
mp-1182065,CdH8(NO5)2,1.3150098256835476,0.0931007328131172,[3.0],5.0,5.0,5.0,Trigonal plane,1a,1,3.0,N,0.0,True
mp-1189263,Pd(NO3)2,1.404820203478618,0.263054291848755,[3.0],5.0,5.0,5.0,Trigonal plane,4e,1,3.0,N,0.0,True
mp-1192446,Pb2SeN2O9,1.4500823541494658,0.3714274511214349,[3.0],5.0,5.0,5.0,Trigonal plane,2a,1,3.0,N,0.0,True
mp-1193008,H4Pd(NO4)2,1.4018299405016377,0.2527695750618874,[3.0],5.0,5.0,5.0,Trigonal plane,4e,1,3.0,N,0.0,True
mp-1193131,Cs2PbN2(ClO3)2,1.6284353286656343,0.7004400874584802,[3.0],5.0,5.0,5.0,Trigonal plane,4e,1,3.0,N,0.0,True
mp-1193552,NiH4(NO4)2,1.3450996317298212,0.1573127673113754,[3.0],5.0,5.0,5.0,"Trigonal plane, Octahedron","2c, 4e",2,3.0,N,0.0,True
mp-1195032,BiTeNO6,1.2902837583943167,0.0597792007949026,[3.0],5.0,5.0,5.0,Trigonal plane,4e,1,3.0,N,0.0,True
mp-1195992,KUCrNO9,1.445257064585498,0.3464132843811888,[3.0],5.0,5.0,5.0,Trigonal plane,4e,1,3.0,N,0.0,True
mp-1196286,Rb3Ni2(NO3)7,1.679995682904838,0.82042554690399,[3.0],5.0,5.0,5.0,"Trigonal plane, Octahedron","8d, 4c",2,3.0,N,0.0,True
mp-1196436,LaB5H5NO14,1.2988235322839323,0.0626822453354672,[3.0],5.0,5.0,5.0,Trigonal plane,4e,1,3.0,N,0.0,True
mp-1196453,Dy6H40N8O49,1.3055307114931316,0.0722038878078073,[3.0],5.0,5.0,5.0,Trigonal plane,2i,1,3.0,N,0.0,True
mp-1196716,Dy(NO3)3,1.828545916637982,1.0999138638455777,[3.0],5.0,5.0,5.0,Trigonal plane,4e,1,3.0,N,0.0,True
mp-1196832,Er6H40N8O49,1.3039657974695162,0.0690123434539378,[3.0],5.0,5.0,5.0,Trigonal plane,2i,1,3.0,N,0.0,True
mp-1197132,K2Pd(NO3)4,1.6038904967515524,0.6510759404560151,[3.0],5.0,5.0,5.0,no_data,no_data,1,3.0,N,0.0,True
mp-1197536,Er(NO3)3,1.817238504136912,1.0778044216814229,[3.0],5.0,5.0,5.0,Trigonal plane,4e,1,3.0,N,0.0,True
mp-1197821,AlH14SeNO14,1.234913580228924,-0.0456079043396652,[3.0],5.0,5.0,5.0,Trigonal plane,2i,1,3.0,N,0.0,True
mp-1198118,FeH10N3O14,1.292017749701388,0.0502168970945812,[3.0],5.0,5.0,5.0,Trigonal plane,2i,1,3.0,N,0.0,True
mp-1198436,Mo(NO4)2,1.449268278790351,0.3688026223400368,[3.0],5.0,5.0,5.0,Trigonal plane,4e,1,3.0,N,0.0,True
mp-1198580,K2NdH4N5O17,1.5501871281562982,0.5530210026705482,[3.0],5.0,5.0,5.0,"Icosahedron, Trigonal plane","4b, 2a",2,3.0,N,0.0,True
mp-1198651,CeB5H7NO15,1.2760634670971505,0.012569932283985,[3.0],5.0,5.0,5.0,Trigonal plane,4e,1,3.0,N,0.0,True
mp-1199040,K3Bi2(NO3)9,1.7476118527171074,0.939496062847072,[3.0],5.0,5.0,5.0,Trigonal plane,"24e, 12d",1,3.0,N,0.0,True
mp-1199156,Na2Cu(NO3)4,1.4723425944154642,0.4025776425676198,[3.0],5.0,5.0,5.0,"Dodecahedron with triangular faces - p2345 plane normalized, Trigonal plane",4e,2,3.0,N,0.0,True
mp-1199401,Nd(NO3)3,1.6554629183068947,0.7594697392717052,[3.0],5.0,5.0,5.0,"Diminished icosahedron, Icosahedron, Trigonal plane","4f, 2c, 2e",3,3.0,N,0.0,True
mp-1199435,HNO3,1.3831551519534069,0.2249582990777202,[3.0],5.0,5.0,5.0,Trigonal plane,4e,1,3.0,N,0.0,True
mp-1199439,KUN3O11,1.2757037790224752,0.0124064971755872,[3.0],5.0,5.0,5.0,Trigonal plane,8c,1,3.0,N,0.0,True
