material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Pd_wyckoff,num_Pd_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1218885,Sr15Pd5O24,2.085029321949233,0.0594926244110511,"[6.0, 6.0, 6.0]",2.3333333333333335,2.0,3.0,"Trigonal prism, Octahedron","1a, 2c",2,6.0,Pd,1.0,False,18.0,6.0,2.081951815612921,2.1015242755118027,2.0917380340375913,0.009786180111331498,0.01957245989888179,107.89021241875577,35.78248776056165,89.64832632734571,179.4527398371047,6.0,1.0,4,"Trigonal prism, Octahedron"
mp-1218885,Sr15Pd5O24,2.085029321949233,0.0594926244110511,"[6.0, 6.0, 6.0]",2.3333333333333335,2.0,3.0,"Trigonal prism, Octahedron","1a, 2c",2,6.0,Pd,1.0,False,19.0,6.0,2.3790016102421587,2.379001759634445,2.3790016668469516,6.613826157225779e-08,1.4939228609733846e-07,31.485046928454768,10.33256102949872,14.060814639530776,42.71118220332106,6.0,1.0,5,"Trigonal prism, Octahedron"
mp-1218885,Sr15Pd5O24,2.085029321949233,0.0594926244110511,"[6.0, 6.0, 6.0]",2.3333333333333335,2.0,3.0,"Trigonal prism, Octahedron","1a, 2c",2,6.0,Pd,1.0,False,15.0,6.0,2.0587243101978396,2.088074089232064,2.073399189741417,0.014674839190064506,0.029349779034224532,42.32619769540633,15.378487096045056,14.136520455030581,57.579322933780354,6.0,1.0,1,"Trigonal prism, Octahedron"
mp-1218885,Sr15Pd5O24,2.085029321949233,0.0594926244110511,"[6.0, 6.0, 6.0]",2.3333333333333335,2.0,3.0,"Trigonal prism, Octahedron","1a, 2c",2,6.0,Pd,1.0,False,16.0,6.0,2.0819518156129164,2.1015242755118035,2.0917380340375904,0.009786180111333791,0.019572459898887118,107.8902124187557,35.78248776056148,89.64832632734571,179.4527398371047,6.0,1.0,2,"Trigonal prism, Octahedron"
mp-1218885,Sr15Pd5O24,2.085029321949233,0.0594926244110511,"[6.0, 6.0, 6.0]",2.3333333333333335,2.0,3.0,"Trigonal prism, Octahedron","1a, 2c",2,6.0,Pd,1.0,False,17.0,6.0,2.0587243101978374,2.0880740892320673,2.073399189741418,0.014674839190064359,0.02934977903422986,42.326197695406336,15.378487096045058,14.136520455030581,57.57932293378037,6.0,1.0,3,"Trigonal prism, Octahedron"
mp-1218885,Sr15Pd5O24,2.085029321949233,0.0594926244110511,"[6.0, 6.0, 6.0]",2.3333333333333335,2.0,3.0,"Trigonal prism, Octahedron","1a, 2c",2,6.0,Pd,1.0,False,18.0,6.0,2.081951815612921,2.1015242755118027,2.0917380340375913,0.009786180111331498,0.01957245989888179,107.89021241875577,35.78248776056165,89.64832632734571,179.4527398371047,6.0,1.0,4,"Trigonal prism, Octahedron"
mp-1218885,Sr15Pd5O24,2.085029321949233,0.0594926244110511,"[6.0, 6.0, 6.0]",2.3333333333333335,2.0,3.0,"Trigonal prism, Octahedron","1a, 2c",2,6.0,Pd,1.0,False,19.0,6.0,2.3790016102421587,2.379001759634445,2.3790016668469516,6.613826157225779e-08,1.4939228609733846e-07,31.485046928454768,10.33256102949872,14.060814639530776,42.71118220332106,6.0,1.0,5,"Trigonal prism, Octahedron"
mp-1224722,K14P16Pd9O56,1.9662137027184543,0.1186035808702499,[4.0],2.0,2.0,2.0,Square plane,"2b, 1a",1,4.0,Pd,0.0,True,30.0,4.0,2.0434818692090855,2.0519766664083847,2.047729267808735,0.00424739859964951,0.008494797199299242,118.98488170851418,41.229102150142474,85.19589739983823,177.03026048143238,4.0,1.0,1,Square plane
mp-1224722,K14P16Pd9O56,1.9662137027184543,0.1186035808702499,[4.0],2.0,2.0,2.0,Square plane,"2b, 1a",1,4.0,Pd,0.0,True,31.0,4.0,2.034605185231664,2.0613748430078274,2.047990014119746,0.013384828888081124,0.02676965777616358,118.91001364191798,41.135308323283475,85.14813352489102,176.81864911895735,4.0,1.0,2,Square plane
mp-1224722,K14P16Pd9O56,1.9662137027184543,0.1186035808702499,[4.0],2.0,2.0,2.0,Square plane,"2b, 1a",1,4.0,Pd,0.0,True,36.0,4.0,2.0353359065394527,2.0435639344379455,2.039449920488699,0.004114013949246043,0.008228027898492751,64.1674781434849,13.27206488853386,50.66051291956877,82.05686476059901,4.0,1.0,3,Square plane
mp-1227497,Bi2Pd3PtO8,2.479496429582243,-0.6160422210359175,[4.0],2.0,2.0,2.0,Square plane,"1h, 1a, 1d",1,4.0,Pd,0.0,True,2.0,4.0,2.0097979779958863,2.088678734009632,2.049238356002759,0.0394403780068725,0.07888075601374567,120.0,42.88362797967469,82.35092665424715,180.0,4.0,1.0,1,Square plane
mp-1227497,Bi2Pd3PtO8,2.479496429582243,-0.6160422210359175,[4.0],2.0,2.0,2.0,Square plane,"1h, 1a, 1d",1,4.0,Pd,0.0,True,3.0,4.0,2.0284569746705747,2.0899042938584325,2.0591806342645036,0.03072365959392842,0.06144731918785773,53.36752591693952,20.563203823988445,27.73444513431816,88.13603430108353,4.0,1.0,2,Square plane
mp-1227497,Bi2Pd3PtO8,2.479496429582243,-0.6160422210359175,[4.0],2.0,2.0,2.0,Square plane,"1h, 1a, 1d",1,4.0,Pd,0.0,True,4.0,4.0,2.0138879966773433,2.0791723339694537,2.0465301653233983,0.03264216864605485,0.06528433729211036,56.8237865778243,27.70487621290954,22.232020512606127,98.74529828056939,4.0,1.0,3,Square plane
mp-1228152,Ba4Y2Cu5PdO14,1.9852408760663365,0.0681217455007234,[4.0],2.0,2.0,2.0,Square plane,1b,1,4.0,Pd,0.0,True,11.0,4.0,2.0201907653318005,2.047435865280806,2.033813315306303,0.013622549974502518,0.027245099949005258,120.0,42.42640687119285,89.99999993356725,180.0,4.0,1.0,1,Square plane
mp-1228291,Ba4Y2Cu5PdO14,2.0109491094752387,-0.5365434485092193,[4.0],4.0,4.0,4.0,Square plane,1c,1,4.0,Pd,0.0,True,11.0,4.0,1.9744359999999996,2.045135059994001,2.009785529997,0.03534952999700003,0.07069905999400139,90.0,51.96152422706632,0.0,180.0,2.0,0.5,1,Square plane
mp-16415,LaPdO3,1.8144484920263673,0.4012283130779954,[6.0],3.0,3.0,3.0,Octahedron,4b,1,6.0,Pd,0.0,True,4.0,6.0,2.0482672573810095,2.1168233658247506,2.0914892107717935,0.03065244962147337,0.06855610844374116,60.042313368315696,27.87638263890546,13.817464196198845,104.04735758906244,6.0,1.0,1,Octahedron
mp-16415,LaPdO3,1.8144484920263673,0.4012283130779954,[6.0],3.0,3.0,3.0,Octahedron,4b,1,6.0,Pd,0.0,True,5.0,6.0,2.0482750478733087,2.1167280395756785,2.091447790768839,0.03061611169366344,0.06845299170236974,59.664168978031675,24.564321697667058,20.251500291762504,95.04707225789619,6.0,1.0,2,Octahedron
mp-16415,LaPdO3,1.8144484920263673,0.4012283130779954,[6.0],3.0,3.0,3.0,Octahedron,4b,1,6.0,Pd,0.0,True,6.0,6.0,2.047413786715787,2.1167384807523884,2.091143658213204,0.031008782705751317,0.06932469403660146,47.45040066783402,23.591748553566173,10.789066115762905,82.73963467179387,6.0,1.0,3,Octahedron
mp-16415,LaPdO3,1.8144484920263673,0.4012283130779954,[6.0],3.0,3.0,3.0,Octahedron,4b,1,6.0,Pd,0.0,True,7.0,6.0,2.047515134319315,2.1168255469953055,2.091184800969845,0.031005980889365084,0.06931041267599047,49.70913450919803,24.960457106181025,10.789756557052673,89.89905745157165,6.0,1.0,4,Octahedron
