element,CN,n_points,beta,beta0,method
Sn,4.0,37,-1.4993864179678162,3.3916466377175585,OLS
Sn,5.0,23,-1.140835650403181,2.777619404236217,OLS
Sn,6.0,489,-1.7742428458888992,3.819311182490752,OLS
Sb,2.0,8,-1.423805272176242,3.075420346208536,OLS
Sb,3.0,71,-2.4074232711174055,5.1829972519609475,OLS
Sb,4.0,69,-2.5687161402597005,5.620593914369198,OLS
Sb,5.0,43,-2.13776541937126,4.692883244930072,OLS
Sb,6.0,476,-2.4529376048010008,5.140783691528881,OLS
Sb,7.0,5,-1.779064172771516,4.11519687671975,OLS
Te,2.0,11,0.7163602684484349,-1.1891739178025236,OLS
Te,3.0,240,3.5888518521922124,-6.757034607639714,OLS
Te,4.0,240,4.256536538803442,-7.892753802840018,OLS
Te,5.0,99,-3.9438142935897145,8.690607979047465,OLS
Te,6.0,254,-2.243549638811898,4.781729946229994,OLS
Tl,2.0,6,-0.6954791212619008,1.9050345852268176,OLS
Tl,3.0,18,-0.7389136739920091,2.0198666574526034,OLS
Tl,4.0,36,-3.244288383427888,7.274075644391316,OLS
Tl,5.0,25,-0.6783863951388679,1.9128101675947875,OLS
Tl,6.0,89,-0.9505211942464185,2.625887537391354,OLS
Tl,7.0,32,-0.636876865013705,1.8448219696504757,OLS
Tl,8.0,33,-0.6715413418388931,1.986240299406274,OLS
Tl,9.0,24,-0.46183123253174607,1.4219529031478992,OLS
Tl,10.0,13,-0.4214479587315837,1.322672601730914,OLS
Tl,11.0,8,-0.3006889254801059,0.9992800395193047,OLS
Tl,12.0,11,-0.3875768322750748,1.2515888517227163,OLS
Pb,2.0,23,-1.2015107232086795,2.94282372594119,OLS
Pb,3.0,92,-1.4378732001075252,3.4764691906574865,OLS
Pb,4.0,109,-1.0434722660825435,2.641059656621293,OLS
Pb,5.0,126,-1.0869174909989523,2.8366996702995557,OLS
Pb,6.0,198,-1.0121049482839897,2.600904554478763,OLS
Pb,7.0,134,-0.792943116505327,2.1261784859038704,OLS
Pb,8.0,146,-0.7556253149176739,2.0558636387852847,OLS
Pb,9.0,89,-0.681788820710364,1.8921549823319914,OLS
Pb,10.0,40,-0.650900604984589,1.8259137549090472,OLS
Pb,11.0,9,-0.5835768793269969,1.6739042044634385,OLS
Pb,12.0,28,-0.561506251743058,1.5930946657918466,OLS
Bi,2.0,8,-0.8911830064853845,2.2817690339517083,OLS
Bi,3.0,54,-1.8485502344288756,4.346188729863148,OLS
Bi,4.0,137,-2.208693129157632,5.138853005507273,OLS
Bi,5.0,152,-1.8810116938811448,4.46783935742892,OLS
Bi,6.0,359,-1.5824821698358762,3.696223240995286,OLS
Bi,7.0,179,-1.2331533915619113,3.0804836890130303,OLS
Bi,8.0,246,-1.0482934616829735,2.645123409710853,OLS
Bi,9.0,26,-0.917558937644008,2.3805465559691714,OLS
B,2.0,5,-5.111007664635993,7.316129389311467,Huber
B,3.0,986,-4.168653851264799,6.093722753885935,Huber
B,4.0,508,-3.455415042937488,5.1172840106606845,Huber
C,1.0,7,1.7443092880341793,-2.1874574114275394,Huber
C,2.0,64,2.4700438383184604,-3.1321776191950366,Huber
C,3.0,772,3.466597110708771,-4.501796470910081,Huber
N,2.0,6,2.229413371592627,-2.761318654077352,Huber
N,3.0,214,1.959749363933049,-2.484825495751479,Huber
N,4.0,5,4.436037579268119,-6.219389025131131,Huber
Al,1.0,8,-2.203070211834399,4.021689204813353,Huber
Al,2.0,7,-2.334288122374047,4.222678505476576,Huber
Al,3.0,11,-1.2785587529315239,2.467494440915518,Huber
Al,4.0,503,-3.498737638474946,6.196408745085689,Huber
Al,5.0,62,-2.037295008501548,3.804429720411711,Huber
Al,6.0,543,-1.492437637278107,2.8690760107927358,Huber
Si,1.0,14,-5.865066725644276,9.95373081148221,Huber
Si,2.0,7,-6.181200918870284,10.447129360131859,Huber
Si,3.0,5,-25.163492734907724,41.86747523716178,Huber
Si,4.0,2281,1.7262557944818366,-2.581258350062677,Huber
Si,6.0,23,-2.676712863525107,4.79101454936331,Huber
P,1.0,7,2.9427500298045315,-4.449263784085381,Huber
P,2.0,27,2.9686150085831557,-4.516913984002116,Huber
P,3.0,91,3.363901526389964,-5.1773433286555735,Huber
P,4.0,3726,4.316090610477451,-6.688727230892213,Huber
S,3.0,33,2.269968030421759,-3.3565080315963263,Huber
S,4.0,1708,2.460195640110533,-3.6577504033817516,Huber
Ga,4.0,264,-3.4052614666165266,6.3585248935642396,Huber
Ga,5.0,49,-1.9669448964556286,3.8384327309580284,Huber
Ga,6.0,315,-1.4619049489876341,2.9267594516824036,Huber
Ge,4.0,430,0.7919880976544588,-1.0687895354785293,Huber
Ge,5.0,44,-3.399487864070888,6.531047089588337,Huber
Ge,6.0,132,-2.636877943959417,5.011993269490846,Huber
As,3.0,40,2.9588908341152447,-4.934483396119895,Huber
As,4.0,426,4.356165553321045,-7.507860251939267,Huber
As,5.0,7,-1.2672489795908077,2.8852334570437086,Huber
As,6.0,32,1.3782159794982742,-2.1409600111728837,Huber
Se,3.0,355,3.4317443418550346,-5.952722256946251,Huber
Se,4.0,199,2.4561652144731454,-4.122381097217237,Huber
In,4.0,29,-3.255064040833477,6.888775540255694,Huber
In,5.0,28,-1.6524755785430632,3.5823757574051127,Huber
In,6.0,397,-1.3674923740357925,2.985340770741432,Huber
In,7.0,14,-1.2284451962011815,2.78598966051605,Huber
In,8.0,9,-1.1191728872992979,2.586855382878507,Huber
Sn,3.0,39,-2.0540457445121794,4.517783377643361,Huber
Sn,4.0,37,-1.5159466038971254,3.4514858609829338,Huber
Sn,5.0,23,-1.0949578744847406,2.692799399438564,Huber
Sn,6.0,489,-2.231366724329104,4.681426543871464,Huber
Sb,2.0,8,-1.4570668241065925,3.2291510136275274,Huber
Sb,3.0,71,-2.6562812041134825,5.6899216481240265,Huber
Sb,4.0,69,-2.976338799288779,6.37532969692771,Huber
Sb,5.0,43,-2.1587742579180884,4.750630100405909,Huber
Sb,6.0,476,-3.026581853629359,6.222702563513309,Huber
Sb,7.0,5,-2.209521106420774,5.031061312576393,Huber
Te,2.0,11,1.003105727526895,-1.8282938686489845,Huber
Te,3.0,240,3.6941481477579052,-7.000221025970574,Huber
Te,4.0,240,3.3606763177856447,-6.150500205189501,Huber
Te,5.0,99,-3.5087939626683604,7.781919294124005,Huber
Te,6.0,254,-2.1899499353812244,4.654897033226066,Huber
Tl,2.0,6,-0.764809952137042,2.042673043197787,Huber
Tl,3.0,18,-0.7453913850482782,2.0181152352859777,Huber
Tl,4.0,36,-3.374914621042144,7.437884767840776,Huber
Tl,5.0,25,-0.6243102410626472,1.7756871823674365,Huber
Tl,6.0,89,-0.774088724799995,2.2285285963640726,Huber
Tl,7.0,32,-0.5375726464581965,1.6130316203900954,Huber
Tl,8.0,33,-0.5247442556616553,1.595528403702156,Huber
Tl,9.0,24,-0.46213051329060817,1.4151821217069847,Huber
Tl,10.0,13,-0.4324528998311537,1.346078854647458,Huber
Tl,11.0,8,-0.3067477471391585,1.0138082940990976,Huber
Tl,12.0,11,-0.3913626500655037,1.2597606182374117,Huber
Pb,2.0,23,-1.2365883315930781,3.006511256769361,Huber
Pb,3.0,92,-1.1536154896955073,2.885214401133495,Huber
Pb,4.0,109,-1.0230890921214708,2.6060271162649773,Huber
Pb,5.0,126,-1.058632866247368,2.732813450288149,Huber
Pb,6.0,198,-0.9203703741656084,2.399353119971764,Huber
Pb,7.0,134,-0.7815857597831823,2.091620019454027,Huber
Pb,8.0,146,-0.735277997061863,2.0014794641194387,Huber
Pb,9.0,89,-0.6810942717483041,1.8863586153069514,Huber
Pb,10.0,40,-0.6542230506127626,1.8346416116161568,Huber
Pb,11.0,9,-0.5502620007141747,1.595603340222909,Huber
Pb,12.0,28,-0.561399079155198,1.5970929080870697,Huber
Bi,2.0,8,-0.8854105641267805,2.273543676340295,Huber
Bi,3.0,54,-1.71920221649325,4.074332227993379,Huber
Bi,4.0,137,-2.0454336790775196,4.768395737737144,Huber
Bi,5.0,152,-1.7242638477934167,4.113823050850469,Huber
Bi,6.0,359,-1.5040365629296535,3.5724728237632704,Huber
Bi,7.0,179,-1.2330984652145967,3.0685101267983486,Huber
Bi,8.0,246,-1.0534002349641383,2.652522108575602,Huber
Bi,9.0,26,-0.9185538001591075,2.376028787248143,Huber
B,2.0,5,-4.8382659587995915,6.930238395394757,RANSAC
B,3.0,986,-4.487128544635162,6.531272294828311,RANSAC
B,4.0,508,-3.464135520329791,5.128608040007343,RANSAC
C,1.0,7,1.751995484355541,-2.2046346138043957,RANSAC
C,2.0,64,2.438448687153204,-3.0945031928302527,RANSAC
C,3.0,772,3.4559864208319357,-4.484037113884563,RANSAC
N,2.0,6,2.194648938902828,-2.739593099565842,RANSAC
N,3.0,214,1.9557650967706601,-2.477707285003939,RANSAC
N,4.0,5,4.457549809701929,-6.2498105451042605,RANSAC
Al,1.0,8,-2.1642848611263688,3.9543114711994907,RANSAC
Al,2.0,7,-2.3143035979181366,4.194928477944586,RANSAC
Al,3.0,11,-1.2363616998220555,2.384223983885187,RANSAC
Al,4.0,503,-3.5135371973840916,6.221508146585834,RANSAC
Al,5.0,62,-2.0320533024919096,3.7927899193823205,RANSAC
Al,6.0,543,-1.4864332037136123,2.859875176740385,RANSAC
Si,1.0,14,-5.812740138907176,9.887532847359324,RANSAC
Si,2.0,7,-5.314623019185755,8.97950709280964,RANSAC
Si,3.0,5,-24.685832097665813,41.0702315031115,RANSAC
Si,4.0,2281,2.1494333430413746,-3.2741985760833168,RANSAC
Si,6.0,23,-2.7902707175258654,4.982437026057156,RANSAC
P,1.0,7,-0.43713523184617764,0.7349948757406312,RANSAC
P,2.0,27,3.071353361857581,-4.669554492555655,RANSAC
P,3.0,91,3.3623724162090007,-5.157990844964975,RANSAC
P,4.0,3726,4.357951485930368,-6.755615025211361,RANSAC
S,3.0,33,2.735925802527561,-4.093550109293852,RANSAC
S,4.0,1708,2.455476254565775,-3.651288111755361,RANSAC
Ga,4.0,264,-3.414905674949675,6.377488812715183,RANSAC
Ga,5.0,49,-1.9890320356982665,3.884232629195731,RANSAC
Ga,6.0,315,-1.458616403742161,2.922278028093545,RANSAC
Ge,4.0,430,0.5840176661571398,-0.6933195265100917,RANSAC
Ge,5.0,44,-3.5273133188356485,6.721098908168225,RANSAC
Ge,6.0,132,-2.653013652850443,5.03864584037881,RANSAC
As,3.0,40,5.086430413725605,-8.781210022548127,RANSAC
As,4.0,426,4.3363747624985525,-7.462984322246397,RANSAC
As,5.0,7,-1.5813921459344051,3.4223067144274237,RANSAC
As,6.0,32,1.5978427531091484,-2.545817145790494,RANSAC
Se,3.0,355,3.4401388887476885,-5.963084670478418,RANSAC
Se,4.0,199,2.4790777879479813,-4.163307940434628,RANSAC
In,4.0,29,-1.406838229210916,3.151235786948093,RANSAC
In,5.0,28,-1.6648387934259519,3.611534099988257,RANSAC
In,6.0,397,-1.3687874239083364,2.988658168778014,RANSAC
In,7.0,14,-1.1948891706248934,2.7398866038043757,RANSAC
In,8.0,9,-1.1189529017680235,2.586331803277176,RANSAC
Sn,3.0,39,-2.18349052987435,4.782006914106228,RANSAC
Sn,4.0,37,-1.4728197833677177,3.4097083903515704,RANSAC
Sn,5.0,23,-1.0985531138730635,2.6944522457234026,RANSAC
Sn,6.0,489,-2.3229866410885003,4.854515112098813,RANSAC
Sb,2.0,8,-1.4674684995676832,3.2773640540052718,RANSAC
Sb,3.0,71,-2.7442312839558047,5.880106824724797,RANSAC
Sb,4.0,69,-3.098497053184909,6.601694280490864,RANSAC
Sb,5.0,43,-2.202553636204678,4.828096283760186,RANSAC
Sb,6.0,476,-3.57179253702661,7.270824545233216,RANSAC
Sb,7.0,5,-2.345817914669134,5.321053996600456,RANSAC
Te,2.0,11,1.076470618539557,-2.0186701861048464,RANSAC
Te,3.0,240,3.621154412286598,-6.851537808673309,RANSAC
Te,4.0,240,3.588915647935688,-6.662521922418585,RANSAC
Te,5.0,99,-2.6817777417764685,6.067647148853538,RANSAC
Te,6.0,254,-2.889455213086757,5.967173526765657,RANSAC
Tl,2.0,6,-0.7982027108834753,2.1089657364252443,RANSAC
Tl,3.0,18,-0.7288103064936801,1.9913208443049761,RANSAC
Tl,4.0,36,-3.368552345676859,7.378487067419449,RANSAC
Tl,5.0,25,-0.6038763277020424,1.7475308062453427,RANSAC
Tl,6.0,89,-0.6743764289635498,1.9904958696454718,RANSAC
Tl,7.0,32,-0.5287226741069363,1.5920677361075894,RANSAC
Tl,8.0,33,-0.48397503031646755,1.4918010085386437,RANSAC
Tl,9.0,24,-0.4618312325317462,1.4219529031479,RANSAC
Tl,10.0,13,-0.42144795873158347,1.3226726017309136,RANSAC
Tl,11.0,8,-0.3006889254801058,0.9992800395193042,RANSAC
Tl,12.0,11,-0.3875768322750743,1.251588851722715,RANSAC
Pb,2.0,23,-1.2015107232086795,2.942823725941191,RANSAC
Pb,3.0,92,-1.0453173270869462,2.6689131798232277,RANSAC
Pb,4.0,109,-1.066879490350273,2.7025898510229855,RANSAC
Pb,5.0,126,-1.1536167859919888,2.9468262305274004,RANSAC
Pb,6.0,198,-0.9025610741132791,2.3591410685563594,RANSAC
Pb,7.0,134,-0.8009712147705027,2.1349806029758134,RANSAC
Pb,8.0,146,-0.736671675372859,2.008101399639243,RANSAC
Pb,9.0,89,-0.6661629174702737,1.8558098018763427,RANSAC
Pb,10.0,40,-0.650900604984589,1.8259137549090474,RANSAC
Pb,11.0,9,-0.5835768793269971,1.673904204463439,RANSAC
Pb,12.0,28,-0.5615062517430585,1.593094665791848,RANSAC
Bi,2.0,8,-0.8589461937308558,2.1858261648310617,RANSAC
Bi,3.0,54,-1.3390104443106006,3.2822881073388483,RANSAC
Bi,4.0,137,-2.00261277388692,4.669187163519245,RANSAC
Bi,5.0,152,-1.5442042134107448,3.743062695128634,RANSAC
Bi,6.0,359,-1.5324467617957032,3.605575379988193,RANSAC
Bi,7.0,179,-1.2235228982927016,3.049765098303498,RANSAC
Bi,8.0,246,-1.0448937665547322,2.6350076118419437,RANSAC
Bi,9.0,26,-0.9353520891981738,2.404237216677643,RANSAC
