element,CN,method,beta,beta0,n_points
Ba,6.0,RANSAC,-0.726148361960342,2.0841295537415774,236
Ba,7.0,RANSAC,-0.7798307837125615,2.2324056804893044,162
Ba,8.0,RANSAC,-0.7070296410083345,2.0560906263722254,418
Ba,9.0,RANSAC,-0.6648050040928478,1.94474885787479,488
Ba,10.0,RANSAC,-0.6100836231648832,1.8080438939843069,468
Ba,11.0,RANSAC,-0.6092753754852586,1.8235457416710505,124
Ba,12.0,RANSAC,-0.5570045780218986,1.6725251597663153,644
Ba,13.0,RANSAC,-0.5843236394744122,1.749082079734246,10
Be,3.0,RANSAC,-2.5181594001230914,3.8945208166730985,17
Be,4.0,RANSAC,-1.4407433706242863,2.3705071303412515,126
Ca,3.0,RANSAC,-0.8061966192414671,1.9950495790752358,10
Ca,4.0,RANSAC,-0.896380536138843,2.210750182852352,44
Ca,5.0,RANSAC,-1.0554855601325925,2.517717114676708,79
Ca,6.0,RANSAC,-0.872352835999544,2.081519886846238,738
Ca,7.0,RANSAC,-0.8122221116842399,2.0166817393936,372
Ca,8.0,RANSAC,-0.7511930442250659,1.8936250795954246,795
Ca,9.0,RANSAC,-0.6661846325337998,1.7239188476514409,153
Ca,10.0,RANSAC,-0.6611631530108584,1.7281111605792616,20
Ca,12.0,RANSAC,-0.5803593658912227,1.5774196602555848,29
Cs,2.0,RANSAC,-0.927079320556484,2.834548232361289,12
Cs,3.0,RANSAC,-0.6685837637543451,2.1357440335031477,26
Cs,4.0,RANSAC,-0.6682876631942617,2.1116619273018675,57
Cs,5.0,RANSAC,-0.612782222237054,1.9607120673449847,67
Cs,6.0,RANSAC,-0.5462902700774567,1.776042322113035,111
Cs,7.0,RANSAC,-0.5014434921376993,1.6477894300352238,57
Cs,8.0,RANSAC,-0.4626397217017391,1.5333023212995702,82
Cs,9.0,RANSAC,-0.4374072396432916,1.4649082272254732,82
Cs,10.0,RANSAC,-0.44033014017220823,1.4863660509432672,73
Cs,11.0,RANSAC,-0.43566283009679646,1.4725131683869104,20
Cs,12.0,RANSAC,-0.38208854596124503,1.3028682035092165,42
K,1.0,RANSAC,-0.644665755920465,1.9188114546902744,15
K,2.0,RANSAC,-0.5916833596561066,1.6867682329047187,37
K,3.0,RANSAC,-0.5535541711525044,1.6047884695226948,41
K,4.0,RANSAC,-0.6068184785448332,1.7315344560858077,133
K,5.0,RANSAC,-0.589173339463572,1.6840732517812715,151
K,6.0,RANSAC,-0.5223716623163395,1.5161153320268377,360
K,7.0,RANSAC,-0.503573562633915,1.468680623018831,230
K,8.0,RANSAC,-0.4646590012832785,1.3800954824950376,295
K,9.0,RANSAC,-0.4497526720773298,1.3532032167479693,267
K,10.0,RANSAC,-0.43647782219282294,1.3260109052955311,188
K,11.0,RANSAC,-0.3812741900647464,1.1983497903821552,25
K,12.0,RANSAC,-0.3872377804738343,1.1905944321474622,109
K,13.0,RANSAC,-0.39442324390394695,1.2154879632752225,11
Li,1.0,RANSAC,-0.8097584331192327,1.784550154232699,30
Li,2.0,RANSAC,-0.8851305300740866,1.7981042753153784,33
Li,3.0,RANSAC,-0.8116015903896185,1.6400960043029988,230
Li,4.0,RANSAC,-0.7244211963889957,1.4705605531793502,2782
Li,5.0,RANSAC,-0.6347343314715882,1.356833624185591,1056
Li,6.0,RANSAC,-0.5727558631574301,1.2490133642684078,1933
Li,7.0,RANSAC,-0.551615477193895,1.2851318967949825,46
Li,8.0,RANSAC,-0.5114829393509133,1.232649457889831,33
Mg,4.0,RANSAC,-1.0602723896818873,2.1696185934486465,167
Mg,5.0,RANSAC,-1.0793892047844034,2.2385010045121985,107
Mg,6.0,RANSAC,-0.9203291840114177,1.9345005293777042,1084
Na,2.0,RANSAC,-0.6105471398439557,1.4883585083857092,32
Na,3.0,RANSAC,-0.595186120718378,1.4984907490829666,85
Na,4.0,RANSAC,-0.620469975144783,1.5264096354434402,387
Na,5.0,RANSAC,-0.5924473697149386,1.4688777623679499,502
Na,6.0,RANSAC,-0.49824208577747214,1.2841189218966105,2396
Na,7.0,RANSAC,-0.48978187516672783,1.2632878508435366,759
Na,8.0,RANSAC,-0.4732611470830001,1.2337079934218644,1170
Na,9.0,RANSAC,-0.4570880448328241,1.2255926613384973,150
Na,10.0,RANSAC,-0.4186263128722723,1.157720068328397,33
Na,12.0,RANSAC,-0.38471176211108055,1.0804065310895148,79
Rb,2.0,RANSAC,-0.6480613082704055,1.9172617029121808,13
Rb,3.0,RANSAC,-0.6173513155972499,1.861408920121429,25
Rb,4.0,RANSAC,-0.639777387569895,1.9237482808365904,83
Rb,5.0,RANSAC,-0.5965206072294614,1.802100301955254,98
Rb,6.0,RANSAC,-0.5346648511496234,1.6509711398372013,136
Rb,7.0,RANSAC,-0.5145094326369789,1.5791544760892462,71
Rb,8.0,RANSAC,-0.44481471416353763,1.3922551627048438,116
Rb,9.0,RANSAC,-0.4532383705551312,1.418901353619927,97
Rb,10.0,RANSAC,-0.4429911040171081,1.4014025633536589,93
Rb,11.0,RANSAC,-0.44365134844093174,1.4177819652425565,13
Rb,12.0,RANSAC,-0.35637151514622073,1.1670229323520325,78
Sr,1.0,RANSAC,-0.9744286882112225,2.4661139046526204,10
Sr,2.0,RANSAC,-0.621980501021943,1.6533954845413144,13
Sr,4.0,RANSAC,-0.7175815468801668,1.976584421335937,73
Sr,5.0,RANSAC,-0.8173599966467553,2.173954428079665,30
Sr,6.0,RANSAC,-0.8216838398348524,2.1622771613632237,207
Sr,7.0,RANSAC,-0.7945966378707716,2.109417916749493,184
Sr,8.0,RANSAC,-0.7394189185495859,2.0165259861902123,635
Sr,9.0,RANSAC,-0.6663742698733398,1.8166604079530984,503
Sr,10.0,RANSAC,-0.6093697146982552,1.702632145029097,145
Sr,11.0,RANSAC,-0.534510136973862,1.5061456594694393,55
Sr,12.0,RANSAC,-0.5511562283715075,1.5711101435448886,301
