material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Re_wyckoff,num_Re_chemenvs,CN,element,charge_range,is_single_charge
mp-1209145,RePbBrO4,1.9072218429046195,0.2760558993040612,[4.0],7.0,7.0,7.0,Tetrahedron,2a,1,4.0,Re,0.0,True
mp-1209366,Pr3(ReO5)2,1.9728691688366025,0.2899945165334764,[6.0],6.0,6.0,6.0,Octahedron,2i,1,6.0,Re,0.0,True
mp-1209401,Sr5Re3IO15,2.1106273413904617,0.8033091097130776,[5.0],7.0,7.0,7.0,Square pyramid,"8d, 4c",1,5.0,Re,0.0,True
mp-1209462,Rb3NaRe2O9,2.159388396093169,1.5533010307699553,[6.0],7.0,7.0,7.0,Octahedron,4f,1,6.0,Re,0.0,True
mp-1209784,Pr3Re2O9,1.9429711975516253,0.070643886887378,"[6.0, 4.0]",4.5,4.0,5.0,"Square non-coplanar, Octahedron",2i,2,6.0,Re,1.0,False
mp-1209784,Pr3Re2O9,1.9429711975516253,0.070643886887378,"[6.0, 4.0]",4.5,4.0,5.0,"Square non-coplanar, Octahedron",2i,2,4.0,Re,1.0,False
mp-1210151,Nd3Re2O9,1.941940395381217,0.0717786688602865,"[6.0, 4.0]",4.5,4.0,5.0,"Square non-coplanar, Octahedron",2i,2,6.0,Re,1.0,False
mp-1210151,Nd3Re2O9,1.941940395381217,0.0717786688602865,"[6.0, 4.0]",4.5,4.0,5.0,"Square non-coplanar, Octahedron",2i,2,4.0,Re,1.0,False
mp-1210574,Lu5(ReO6)2,1.719276937676104,0.9561227606366476,[6.0],4.5,4.5,4.5,Octahedron,1a,1,6.0,Re,0.0,True
mp-1213202,Er5(ReO6)2,1.7101802942736797,1.0013038146551492,[6.0],4.5,4.5,4.5,Octahedron,2h,1,6.0,Re,0.0,True
mp-1214601,Ba5Re3IO15,4.51885120990187,7.969434995823474,[5.0],7.0,7.0,7.0,Square pyramid,6c,1,5.0,Re,0.0,True
mp-1218565,Sr4Co3ReO12,1.889349518740776,-0.0001743979999516,[6.0],7.0,7.0,7.0,Octahedron,1c,1,6.0,Re,0.0,True
mp-1224026,K3ReMoO8,1.805029011069324,0.112471859536676,[4.0],7.0,7.0,7.0,Tetrahedron,1a,1,4.0,Re,0.0,True
mp-1225661,Dy5(ReO6)2,1.9188018839096688,0.5406812341159764,[6.0],5.0,5.0,5.0,Octahedron,4f,1,6.0,Re,0.0,True
mp-1227487,Ca2MgReO6,1.940382479614397,-0.0550354308904095,[6.0],6.0,6.0,6.0,Octahedron,2b,1,6.0,Re,0.0,True
mp-1228167,Ba4ScReWO12,2.141605549995716,1.4688336143913376,[6.0],7.0,7.0,7.0,Octahedron,1a,1,6.0,Re,0.0,True
mp-1228183,Ba4Re2NiO12,2.2119205239291,1.95322835227884,[6.0],7.0,7.0,7.0,Octahedron,1a,1,6.0,Re,0.0,True
mp-1228593,Ba6Y(ReO6)3,2.1690203192245248,1.6630742224949528,[6.0],7.0,7.0,7.0,Octahedron,"4j, 2i",1,6.0,Re,0.0,True
mp-1229259,Ba6Gd(ReO6)3,2.148343213583412,1.546521428368343,[6.0],7.0,7.0,7.0,Octahedron,"4j, 2i",1,6.0,Re,0.0,True
mp-1272927,CrReO4,1.870928088778807,0.6174012072627105,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Re,0.0,True
mp-1276532,VReO4,1.913019789482624,0.3852781158679147,[6.0],5.0,5.0,5.0,Octahedron,2h,1,6.0,Re,0.0,True
mp-1276812,VReO4,1.8891508258626253,0.4867393294483566,[6.0],5.0,5.0,5.0,Octahedron,2e,1,6.0,Re,0.0,True
mp-1278503,CrReO4,1.8756063368799964,0.5710164750621154,[6.0],5.0,5.0,5.0,Octahedron,1a,1,6.0,Re,0.0,True
mp-1279065,VReO4,1.866858353614229,0.6509402556755809,[6.0],5.0,5.0,5.0,Octahedron,2e,1,6.0,Re,0.0,True
mp-1284292,VReO4,1.863895180732409,0.6706941000613662,[6.0],5.0,5.0,5.0,Octahedron,2b,1,6.0,Re,0.0,True
mp-1289654,CrReO4,1.876457481793964,0.5672677184769206,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Re,0.0,True
mp-1297017,VReO4,1.9254677250293315,0.3317739691604366,[6.0],5.0,5.0,5.0,Octahedron,2e,1,6.0,Re,0.0,True
mp-1343817,CaFeReO6,2.0037779798369604,0.6787349085373303,[6.0],7.0,7.0,7.0,Octahedron,2a,1,6.0,Re,0.0,True
mp-13627,Y3ReO8,2.054511512863216,1.1081859179487303,[6.0],7.0,7.0,7.0,Octahedron,4e,1,6.0,Re,0.0,True
mp-1366463,Ca3Fe2(ReO6)2,1.9284219787030843,0.8442436714270729,[6.0],6.0,6.0,6.0,Octahedron,1a,1,6.0,Re,0.0,True
mp-13758,Nd4Re2O11,1.9051595096954632,0.5892469800226274,[6.0],5.0,5.0,5.0,Octahedron,8g,1,6.0,Re,0.0,True
mp-1410067,TaReO6,1.9248166871821744,0.2543020475915771,[6.0],7.0,7.0,7.0,Octahedron,2b,1,6.0,Re,0.0,True
mp-1445115,ReSbO6,1.900435592988272,0.1305329603741757,[6.0],7.0,7.0,7.0,Octahedron,2b,1,6.0,Re,0.0,True
mp-15281,Sm3ReO7,1.9778069609225384,0.0322993181657313,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Re,0.0,True
mp-1541458,Mg(ReO4)2,1.7875015376737573,0.0905117255922245,[4.0],7.0,7.0,7.0,Tetrahedron,2d,1,4.0,Re,0.0,True
mp-15910,Re2SbO6,1.9413385498965696,0.1506350258127802,[6.0],4.5,4.5,4.5,Octahedron,4f,1,6.0,Re,0.0,True
mp-16163,Pr3ReO8,2.04818424090326,1.0229548430006423,[6.0],7.0,7.0,7.0,Octahedron,4e,1,6.0,Re,0.0,True
mp-17621,CsReO4,1.7763305477492106,0.0583264312988445,[4.0],7.0,7.0,7.0,Tetrahedron,4c,1,4.0,Re,0.0,True
mp-24635,Re2Ni(H2O3)4,1.7634460552486275,0.017372731679878,[4.0],7.0,7.0,7.0,Tetrahedron,2i,1,4.0,Re,0.0,True
mp-27360,ReBiO4,1.8978443996459504,0.1973595128239366,[6.0],5.0,5.0,5.0,Octahedron,2c,1,6.0,Re,0.0,True
mp-2741754,Pr(ReO4)2,1.874962427474348,0.2078401663162571,[4.0],7.0,7.0,7.0,Tetrahedron,2d,1,4.0,Re,0.0,True
mp-2751042,Cs3ReO5,2.360128392897876,1.5914385734547327,[5.0],7.0,7.0,7.0,Trigonal bipyramid,4c,1,5.0,Re,0.0,True
mp-2764339,Er(ReO4)2,1.827148198330946,0.1408541608807668,[4.0],6.5,6.5,6.5,Tetrahedron,2d,1,4.0,Re,0.0,True
mp-2766000,ReH3O5,1.7973926154686044,0.0979239304772914,[4.0],7.0,7.0,7.0,Tetrahedron,1a,1,4.0,Re,0.0,True
mp-2766424,ReH3O5,1.8316898268278272,0.159887619286597,[4.0],7.0,7.0,7.0,Tetrahedron,1a,1,4.0,Re,0.0,True
mp-28121,La3ReO8,1.845098982730884,-0.2905730114750872,[6.0],7.0,7.0,7.0,Octahedron,2e,1,6.0,Re,0.0,True
mp-28205,Na3ReO5,1.1807816598776584,-1.9174218617707963,[5.0],7.0,7.0,7.0,Trigonal bipyramid,3a,1,5.0,Re,0.0,True
mp-28287,ReBi3O8,1.8616612043665848,0.2067605457000524,[4.0],7.0,7.0,7.0,Tetrahedron,4a,1,4.0,Re,0.0,True
mp-28808,TlReO4,1.8088786673446808,0.1142297302100323,[4.0],7.0,7.0,7.0,Tetrahedron,4e,1,4.0,Re,0.0,True
mp-2929310,Eu(ReO4)2,1.848543295729252,0.1631387760833842,[4.0],7.0,7.0,7.0,Tetrahedron,2d,1,4.0,Re,0.0,True
mp-29305,Re2PbO8,1.815588869615088,0.1318820392174254,[4.0],7.0,7.0,7.0,Tetrahedron,3c,1,4.0,Re,0.0,True
mp-29326,La3(ReO5)2,1.9761787129923227,0.2549829103137658,[6.0],6.0,6.0,6.0,Octahedron,2i,1,6.0,Re,0.0,True
mp-29532,Ca11(ReO6)4,1.9393936226037527,0.1642521373650293,"[6.0, 6.0]",6.5,6.0,7.0,Octahedron,4b,1,6.0,Re,1.0,False
mp-29532,Ca11(ReO6)4,1.9393936226037527,0.1642521373650293,"[6.0, 6.0]",6.5,6.0,7.0,Octahedron,4b,1,6.0,Re,1.0,False
