material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ga_wyckoff,num_Ga_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-28146,LiGa5O8,1.7836733140502985,0.3082513807545538,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","12d, 8c",2,4.0,Ga,0.0,True,9.0,4.0,1.8631665198860192,1.900403214632146,1.872475693572551,0.016123961801556022,0.037236694746126675,109.47093312439533,0.17573354812709377,109.2951995762682,109.6466666725224,4.0,1.0,5,"Tetrahedron, Octahedron"
mp-28146,LiGa5O8,1.7836733140502985,0.3082513807545538,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","12d, 8c",2,4.0,Ga,0.0,True,10.0,4.0,1.8631665198860183,1.9004032146321461,1.872475693572551,0.016123961801556088,0.037236694746127785,109.47093312439533,0.17573354812709616,109.2951995762682,109.6466666725224,4.0,1.0,6,"Tetrahedron, Octahedron"
mp-28146,LiGa5O8,1.7836733140502985,0.3082513807545538,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","12d, 8c",2,4.0,Ga,0.0,True,11.0,4.0,1.8631665198860181,1.9004032146321475,1.8724756935725513,0.016123961801556792,0.03723669474612934,109.47093312439529,0.17573354812709377,109.29519957626819,109.64666667252241,4.0,1.0,7,"Tetrahedron, Octahedron"
mp-28146,LiGa5O8,1.7836733140502985,0.3082513807545538,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","12d, 8c",2,4.0,Ga,0.0,True,12.0,4.0,1.8631665198860186,1.9004032146321452,1.872475693572551,0.016123961801555543,0.037236694746126675,39.55082365759791,10.382026474675113,29.16879718292279,49.932850132273025,4.0,1.0,8,"Tetrahedron, Octahedron"
mp-28146,LiGa5O8,1.7836733140502985,0.3082513807545538,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","12d, 8c",2,6.0,Ga,0.0,True,4.0,6.0,1.9358967983970543,2.035427264843272,1.9845223763708972,0.040665094614520676,0.09953046644621777,83.00646454726106,38.00540704970517,3.160565682188468,174.96841265005378,6.0,1.0,1,"Tetrahedron, Octahedron"
mp-28146,LiGa5O8,1.7836733140502985,0.3082513807545538,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","12d, 8c",2,6.0,Ga,0.0,True,13.0,6.0,1.9358967983970539,2.035427264843271,1.9845223763708975,0.04066509461452079,0.09953046644621732,83.44087797551688,37.29929672001598,3.283598974576253,171.2039454398184,6.0,1.0,2,"Tetrahedron, Octahedron"
mp-28146,LiGa5O8,1.7836733140502985,0.3082513807545538,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","12d, 8c",2,6.0,Ga,0.0,True,14.0,6.0,1.935896798397055,2.035427264843272,1.9845223763708983,0.040665094614520836,0.0995304664462171,84.93346716530952,38.17074716215897,3.160565682188468,174.96841265005386,6.0,1.0,3,"Tetrahedron, Octahedron"
mp-28146,LiGa5O8,1.7836733140502985,0.3082513807545538,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","12d, 8c",2,6.0,Ga,0.0,True,15.0,6.0,1.9358967983970534,2.0354272648432716,1.9845223763708975,0.04066509461452119,0.09953046644621821,106.69544788712014,33.766393166017274,83.67544558386157,174.96841265005378,6.0,1.0,4,"Tetrahedron, Octahedron"
mp-28146,LiGa5O8,1.7836733140502985,0.3082513807545538,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","12d, 8c",2,6.0,Ga,0.0,True,16.0,6.0,1.9358967983970534,2.035427264843271,1.9845223763708972,0.04066509461452049,0.09953046644621777,83.00646454726106,38.00540704970515,3.1605656821885835,174.96841265005378,6.0,1.0,5,"Tetrahedron, Octahedron"
mp-28146,LiGa5O8,1.7836733140502985,0.3082513807545538,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","12d, 8c",2,6.0,Ga,0.0,True,17.0,6.0,1.9358967983970534,2.035427264843271,1.9845223763708972,0.040665094614521204,0.09953046644621777,83.00646454726106,38.00540704970516,3.1605656821885835,174.96841265005386,6.0,1.0,6,"Tetrahedron, Octahedron"
mp-28146,LiGa5O8,1.7836733140502985,0.3082513807545538,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","12d, 8c",2,6.0,Ga,0.0,True,18.0,6.0,1.9358967983970545,2.035427264843272,1.984522376370898,0.04066509461452094,0.09953046644621755,83.4408779755169,37.299296720015995,3.283598974576253,171.20394543981843,6.0,1.0,7,"Tetrahedron, Octahedron"
mp-28146,LiGa5O8,1.7836733140502985,0.3082513807545538,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","12d, 8c",2,6.0,Ga,0.0,True,19.0,6.0,1.935896798397054,2.035427264843272,1.984522376370898,0.04066509461452126,0.09953046644621799,106.69544788712011,33.76639316601729,83.67544558386157,174.96841265005392,6.0,1.0,8,"Tetrahedron, Octahedron"
mp-28146,LiGa5O8,1.7836733140502985,0.3082513807545538,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","12d, 8c",2,6.0,Ga,0.0,True,20.0,6.0,1.935896798397054,2.035427264843271,1.9845223763708972,0.040665094614520704,0.0995304664462171,84.9334671653095,38.170747162158975,3.160565682188468,174.96841265005378,6.0,1.0,9,"Tetrahedron, Octahedron"
mp-28146,LiGa5O8,1.7836733140502985,0.3082513807545538,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","12d, 8c",2,6.0,Ga,0.0,True,21.0,6.0,1.9358967983970545,2.035427264843271,1.984522376370898,0.040665094614520524,0.09953046644621666,83.44087797551688,37.299296720015974,3.283598974576253,171.20394543981834,6.0,1.0,10,"Tetrahedron, Octahedron"
mp-28146,LiGa5O8,1.7836733140502985,0.3082513807545538,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","12d, 8c",2,6.0,Ga,0.0,True,22.0,6.0,1.935896798397053,2.035427264843271,1.9845223763708972,0.040665094614521384,0.09953046644621821,106.69544788712014,33.76639316601728,83.67544558386157,174.96841265005386,6.0,1.0,11,"Tetrahedron, Octahedron"
mp-28146,LiGa5O8,1.7836733140502985,0.3082513807545538,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","12d, 8c",2,6.0,Ga,0.0,True,23.0,6.0,1.9358967983970543,2.035427264843271,1.984522376370898,0.04066509461452064,0.09953046644621688,84.93346716530951,38.17074716215894,3.160565682188468,174.96841265005372,6.0,1.0,12,"Tetrahedron, Octahedron"
