material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Ga_wyckoff,num_Ga_chemenvs,CN,element,charge_range,is_single_charge
mp-1208802,Sr3Ga2Cl2O5,1.7681129014692525,0.2746982188329391,[4.0],3.0,3.0,3.0,Tetrahedron,4a,1,4.0,Ga,0.0,True
mp-1209020,Sr2Ca2Ga(CuO3)3,2.417958103757118,-1.8690668727386075,[4.0],3.0,3.0,3.0,Tetrahedron,2b,1,4.0,Ga,0.0,True
mp-1209621,PrGaGe2O7,1.9685809850709952,-0.0424546574847565,[5.0],3.0,3.0,3.0,Trigonal bipyramid,4e,1,5.0,Ga,0.0,True
mp-1210014,Nd2BeGa2O7,1.791610076938288,0.2222168614216785,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,Ga,0.0,True
mp-1210032,Pr3Ga5O12,1.7734882322471328,0.3791836608372065,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","12d, 8a",2,4.0,Ga,0.0,True
mp-1210032,Pr3Ga5O12,1.7734882322471328,0.3791836608372065,"[4.0, 6.0]",3.0,3.0,3.0,"Tetrahedron, Octahedron","12d, 8a",2,6.0,Ga,0.0,True
mp-1210086,NaGa(SO4)2,1.5564787382621863,0.6268209759075026,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Ga,0.0,True
mp-1210133,NaGaP2O7,1.5201941820764762,0.6853067644495037,[6.0],3.0,3.0,3.0,Octahedron,4e,1,6.0,Ga,0.0,True
mp-1210165,NaGa(WO4)2,2.4682724442373343,-0.578182908421062,[6.0],3.0,3.0,3.0,Octahedron,2e,1,6.0,Ga,0.0,True
mp-1210623,MgGaBO4,1.640142718692113,0.5745850304488649,[6.0],3.0,3.0,3.0,Octahedron,4c,1,6.0,Ga,0.0,True
mp-1210845,NaGaGeO4,1.8621348835723084,-0.0028882512185369,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,Ga,0.0,True
mp-1210869,LiGaPO4F,1.6262617221600302,0.5147826961431666,[4.0],3.0,3.0,3.0,Octahedron,"1c, 1g",1,4.0,Ga,0.0,True
mp-1211020,LiGa(PO3)4,1.734979740478418,0.3531935432095549,[6.0],3.0,3.0,3.0,Octahedron,4c,1,6.0,Ga,0.0,True
mp-1211258,La3TiGa5O14,1.8143345578692287,0.1666653846228543,[4.0],3.0,3.0,3.0,Tetrahedron,"2d, 3f",1,4.0,Ga,0.0,True
mp-1211276,La3NbGa5O14,1.827408188833552,0.1446044922031362,[4.0],3.0,3.0,3.0,Tetrahedron,"2d, 3f",1,4.0,Ga,0.0,True
mp-1211277,La3ZrGa5O14,1.82309736025928,0.1524607389660412,[4.0],3.0,3.0,3.0,Tetrahedron,"2d, 3f",1,4.0,Ga,0.0,True
mp-1211281,La3HfGa5O14,1.819555345715533,0.1618695370929504,[4.0],3.0,3.0,3.0,Tetrahedron,"2d, 3f",1,4.0,Ga,0.0,True
mp-1211518,La2BeGa2O7,1.7834752627933117,0.2475388143180767,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,Ga,0.0,True
mp-1211711,KNa2Ga3(SiO4)3,1.870879100800376,-0.0564662941360935,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,Ga,0.0,True
mp-1211796,Pr10Ti9GaO34,2.025697779027896,-0.022563358610171,[6.0],3.0,3.0,3.0,Octahedron,2b,1,6.0,Ga,0.0,True
mp-1212081,InGaSnO5,1.810148398314329,0.2654491113916367,[4.0],3.0,3.0,3.0,Tetrahedron,"2m, 2n",1,4.0,Ga,0.0,True
mp-1212281,NaGaGeO4,1.83770139640394,0.0687027121176917,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,Ga,0.0,True
mp-1212345,Nd10Ti9GaO34,2.0290775490722703,-0.0294722485386176,[6.0],3.0,3.0,3.0,Octahedron,2b,1,6.0,Ga,0.0,True
mp-1212633,LaGaGe2O7,1.989163400252488,-0.076286261786414,[5.0],3.0,3.0,3.0,Trigonal bipyramid,4e,1,5.0,Ga,0.0,True
mp-1212668,GaAg(SO4)2,1.6738880880966651,0.4562055450383379,[6.0],3.0,3.0,3.0,Octahedron,1a,1,6.0,Ga,0.0,True
mp-1213088,ErGaO3,1.6353492475685345,0.6398562189946702,[5.0],3.0,3.0,3.0,Trigonal bipyramid,6c,1,5.0,Ga,0.0,True
mp-1213126,DyGaGe2O7,1.9973915819862555,-0.1092884263052891,[5.0],3.0,3.0,3.0,Trigonal bipyramid,4e,1,5.0,Ga,0.0,True
mp-1213396,KGaGeO4,1.7999947742557785,0.1976196267879799,[4.0],3.0,3.0,3.0,Tetrahedron,6c,1,4.0,Ga,0.0,True
mp-1214038,Ca3NbGa3(SiO7)2,1.840007036658512,0.0933262056367683,[4.0],3.0,3.0,3.0,Tetrahedron,3f,1,4.0,Ga,0.0,True
mp-1214167,Ca2PrGaCu2O7,1.5751815880283364,1.06568857392397,[4.0],3.0,3.0,3.0,Tetrahedron,2b,1,4.0,Ga,0.0,True
