element,CN,method,beta,beta0,n_points,Z,group,Z_over_CN,Z_times_CN,beta_x_Z,beta_x_CN,ionic_radius,radius_cn_used,radius_match_type,beta0_over_beta,beta_x_radius,ratio_pred,ratio_resid
Ca,8.0,Huber,-0.7583980132878936,1.9020999109512904,795,2,Group2,0.25,16.0,-1.5167960265757872,-6.067184106303149,1.12,8,exact,-2.50804970164029,-0.8494057748824408,-2.5834233134771645,0.07537361183687441
Ca,9.0,Huber,-0.6696651326310844,1.7272858343556123,153,2,Group2,0.2222222222222222,18.0,-1.3393302652621688,-6.026986193679759,1.18,9,exact,-2.5793277120001505,-0.7902048565046795,-2.6457621228413086,0.06643441084115809
Ca,10.0,Huber,-0.6686341303569617,1.732671783716149,20,2,Group2,0.2,20.0,-1.3372682607139235,-6.686341303569617,1.23,10,exact,-2.5913600653187308,-0.8224199803390629,-2.697711130644762,0.10635106532603134
Ca,12.0,Huber,-0.5799652331890722,1.5711806133033182,29,2,Group2,0.16666666666666666,24.0,-1.1599304663781445,-6.959582798268867,1.34,12,exact,-2.709094482549963,-0.7771534124733568,-2.8119989478123597,0.10290446526239672
Cs,2.0,Huber,-0.9261127025197816,2.850880503877059,12,1,Group1,0.5,2.0,-0.9261127025197816,-1.8522254050395632,1.67,6,nearest,-3.0783299873982286,-1.5466082132080352,-3.1548623993151526,0.07653241191692395
Cs,3.0,Huber,-0.6331412575512796,2.029767815476427,26,1,Group1,0.3333333333333333,3.0,-0.6331412575512796,-1.8994237726538388,1.67,6,nearest,-3.205868818795198,-1.057345900110637,-3.1548623993151526,-0.05100641948004547
Cs,4.0,Huber,-0.6527497797370228,2.0629705622861176,57,1,Group1,0.25,4.0,-0.6527497797370228,-2.610999118948091,1.67,6,nearest,-3.160430882285765,-1.090092132160828,-3.1548623993151526,-0.0055684829706126315
Cs,5.0,Huber,-0.610915889468754,1.9512774415566991,67,1,Group1,0.2,5.0,-0.610915889468754,-3.05457944734377,1.67,6,nearest,-3.1940197909298274,-1.020229535412819,-3.1548623993151526,-0.0391573916146748
Cs,6.0,Huber,-0.5409314054243239,1.7594624869315143,111,1,Group1,0.16666666666666666,6.0,-0.5409314054243239,-3.2455884325459436,1.67,6,exact,-3.252653606886321,-0.9033554470586209,-3.1548623993151526,-0.09779120757116866
Cs,7.0,Huber,-0.5035104037213379,1.654053543411116,57,1,Group1,0.14285714285714285,7.0,-0.5035104037213379,-3.5245728260493654,1.67,6,nearest,-3.285043429463144,-0.8408623742146343,-3.1548623993151526,-0.13018103014799154
Cs,8.0,Huber,-0.4558153167365915,1.515526836443681,82,1,Group1,0.125,8.0,-0.4558153167365915,-3.646522533892732,1.74,8,exact,-3.324870360421609,-0.7931186511216691,-3.2275910102399874,-0.09727935018162182
Cs,9.0,Huber,-0.4437852689017762,1.4820952331548545,82,1,Group1,0.1111111111111111,9.0,-0.4437852689017762,-3.994067420115986,1.78,9,exact,-3.3396674856345654,-0.7899377786451617,-3.26915021648275,-0.07051726915181522
Cs,10.0,Huber,-0.4432914852665517,1.4874656822826011,73,1,Group1,0.1,10.0,-0.4432914852665517,-4.432914852665517,1.81,10,exact,-3.3555024892665966,-0.8023575883324586,-3.3003196211648222,-0.05518286810177431
Cs,11.0,Huber,-0.4375385817233887,1.4772418096587203,20,1,Group1,0.09090909090909091,11.0,-0.4375385817233887,-4.812924398957276,1.85,11,exact,-3.3762549666822994,-0.8094463761882692,-3.341878827407585,-0.03437613927471439
Cs,12.0,Huber,-0.3774096448341487,1.2841858638625605,42,1,Group1,0.08333333333333333,12.0,-0.3774096448341487,-4.528915738009784,1.88,12,exact,-3.4026312825865683,-0.7095301322881995,-3.373048232089657,-0.029583050496911234
K,1.0,Huber,-0.6731723471258115,1.9868012242493416,15,1,Group1,1.0,1.0,-0.6731723471258115,-0.6731723471258115,1.37,4,nearest,-2.9514005332099913,-0.9222461155623619,-2.843168352494432,-0.10823218071555951
K,2.0,Huber,-0.7608316371068391,2.1178691400143688,37,1,Group1,0.5,2.0,-0.7608316371068391,-1.5216632742136782,1.37,4,nearest,-2.7836239145730595,-1.0423393428363696,-2.843168352494432,0.05954443792137232
K,3.0,Huber,-0.7183360986552043,2.030684671744919,41,1,Group1,0.3333333333333333,3.0,-0.7183360986552043,-2.155008295965613,1.37,4,nearest,-2.826928335561251,-0.98412045515763,-2.843168352494432,0.01624001693318089
K,4.0,Huber,-0.6010674863396308,1.7116360359468852,133,1,Group1,0.25,4.0,-0.6010674863396308,-2.4042699453585232,1.37,4,exact,-2.847660329076146,-0.8234624562852942,-2.843168352494432,-0.0044919765817144075
K,5.0,Huber,-0.5893222147213534,1.680142483857683,151,1,Group1,0.2,5.0,-0.5893222147213534,-2.9466110736067668,1.37,4,nearest,-2.8509742919704757,-0.8073714341682542,-2.843168352494432,-0.0078059394760439105
K,6.0,Huber,-0.5288283262093528,1.529616528085496,360,1,Group1,0.16666666666666666,6.0,-0.5288283262093528,-3.172969957256117,1.38,6,exact,-2.892463304773789,-0.7297830901689069,-2.8535581540551225,-0.038905150718666626
K,7.0,Huber,-0.5054403163202198,1.4740698137371322,230,1,Group1,0.14285714285714285,7.0,-0.5054403163202198,-3.5380822142415385,1.46,7,exact,-2.9164072713250695,-0.7379428618275209,-2.936676566540648,0.02026929521557852
K,8.0,Huber,-0.4693779600427403,1.389059543350739,295,1,Group1,0.125,8.0,-0.4693779600427403,-3.7550236803419224,1.51,8,exact,-2.9593625214619257,-0.7087607196645378,-2.9886255743441015,0.02926305288217579
K,9.0,Huber,-0.4455917173256933,1.3395345090073634,267,1,Group1,0.1111111111111111,9.0,-0.4455917173256933,-4.010325455931239,1.55,9,exact,-3.0061925680460226,-0.6906671618548247,-3.0301847805868642,0.023992212540841606
K,10.0,Huber,-0.4288782429840233,1.3017079512979013,188,1,Group1,0.1,10.0,-0.4288782429840233,-4.288782429840233,1.59,10,exact,-3.0351456913294457,-0.681916406344597,-3.071743986829627,0.036598295500181344
K,11.0,Huber,-0.3875876721253825,1.2082347537664628,25,1,Group1,0.09090909090909091,11.0,-0.3875876721253825,-4.263464393379207,1.59,10,nearest,-3.1173198753741724,-0.6162643986793581,-3.071743986829627,-0.04557588854454542
K,12.0,Huber,-0.390183099675326,1.19917061202214,109,1,Group1,0.08333333333333333,12.0,-0.390183099675326,-4.682197196103912,1.64,12,exact,-3.073353543554239,-0.6399002834675346,-3.1236929946330805,0.050339451078841524
K,13.0,Huber,-0.3968609097761283,1.225256698899543,11,1,Group1,0.07692307692307693,13.0,-0.3968609097761283,-5.159191827089668,1.64,12,nearest,-3.0873705842954347,-0.6508518920328504,-3.1236929946330805,0.03632241033764583
Li,1.0,Huber,-0.8527060099569623,1.8503531776865416,30,1,Group1,1.0,1.0,-0.8527060099569623,-0.8527060099569623,0.59,4,nearest,-2.169977877580495,-0.5030965458746077,-2.0327638307605578,-0.13721404681993743
Li,2.0,Huber,-0.831233335559124,1.715873089026823,33,1,Group1,0.5,2.0,-0.831233335559124,-1.662466671118248,0.59,4,nearest,-2.064249610336731,-0.4904276679798832,-2.0327638307605578,-0.03148577957617338
Li,3.0,Huber,-0.7316151118799618,1.5034428787452,230,1,Group1,0.3333333333333333,3.0,-0.7316151118799618,-2.194845335639885,0.59,4,nearest,-2.054964221394971,-0.43165291600917743,-2.0327638307605578,-0.022200390634413036
Li,4.0,Huber,-0.7280969825378777,1.475324395940628,2782,1,Group1,0.25,4.0,-0.7280969825378777,-2.9123879301515108,0.59,4,exact,-2.0262745641359357,-0.4295772196973478,-2.0327638307605578,0.006489266624622125
Li,5.0,Huber,-0.6404559956941149,1.3626614879896164,1056,1,Group1,0.2,5.0,-0.6404559956941149,-3.2022799784705747,0.59,4,nearest,-2.12764264391465,-0.37786903745952777,-2.0327638307605578,-0.09487881315409208
Li,6.0,Huber,-0.5730557352203782,1.245394179000544,1933,1,Group1,0.16666666666666666,6.0,-0.5730557352203782,-3.4383344113222694,0.76,6,exact,-2.1732514002701793,-0.43552235876748746,-2.2093904572922995,0.03613905702212028
Li,7.0,Huber,-0.5526381455856734,1.2857691004666263,46,1,Group1,0.14285714285714285,7.0,-0.5526381455856734,-3.8684670190997137,0.76,6,nearest,-2.3266021550213427,-0.42000499064511176,-2.2093904572922995,-0.11721169772904316
Li,8.0,Huber,-0.5112446005967957,1.232386400484376,33,1,Group1,0.125,8.0,-0.5112446005967957,-4.089956804774365,0.92,8,exact,-2.4105612050391607,-0.470345032549052,-2.3756272822633506,-0.03493392277581009
Mg,4.0,Huber,-1.0931163484088042,2.229131981787704,167,2,Group2,0.5,8.0,-2.1862326968176085,-4.372465393635217,0.57,4,exact,-2.039244939509451,-0.6230763185930184,-2.0119842276391764,-0.02726071187027479
Mg,5.0,Huber,-1.0875644335815635,2.2509569894187456,107,2,Group2,0.4,10.0,-2.175128867163127,-5.437822167907818,0.66,5,exact,-2.0697228779410355,-0.7177925261638319,-2.1054924416853926,0.035769563744357136
Mg,6.0,Huber,-0.9184051846888684,1.9306458810962153,1084,2,Group2,0.3333333333333333,12.0,-1.836810369377737,-5.5104311081332105,0.72,6,exact,-2.1021722364843436,-0.6612517329759853,-2.167831251049537,0.06565901456519319
Na,2.0,Huber,-0.60274713202497,1.476701893310287,32,1,Group1,0.5,2.0,-0.60274713202497,-1.20549426404994,0.99,4,nearest,-2.4499525835140954,-0.5967196607047203,-2.4483558931881855,-0.0015966903259099219
Na,3.0,Huber,-0.6035177009682519,1.5092401985756838,85,1,Group1,0.3333333333333333,3.0,-0.6035177009682519,-1.8105531029047555,0.99,4,nearest,-2.500738911475734,-0.5974825239585694,-2.4483558931881855,-0.052383018287548655
Na,4.0,Huber,-0.6276897440672231,1.5395913800139422,387,1,Group1,0.25,4.0,-0.6276897440672231,-2.5107589762688924,0.99,4,exact,-2.452790402528957,-0.6214128466265508,-2.4483558931881855,-0.0044345093407716085
Na,5.0,Huber,-0.5878271631086571,1.4592443274675628,502,1,Group1,0.2,5.0,-0.5878271631086571,-2.9391358155432856,1.0,5,exact,-2.482437728380082,-0.5878271631086571,-2.458745694748876,-0.023692033631205867
Na,6.0,Huber,-0.4935354173151819,1.272986290562242,2396,1,Group1,0.16666666666666666,6.0,-0.4935354173151819,-2.9612125038910913,1.02,6,exact,-2.5793210495150474,-0.5034061256614856,-2.4795252978702575,-0.09979575164478982
Na,7.0,Huber,-0.4809487282408693,1.241201210288783,759,1,Group1,0.14285714285714285,7.0,-0.4809487282408693,-3.3666410976860854,1.12,7,exact,-2.5807349877577037,-0.5386625756297737,-2.5834233134771645,0.00268832571946076
Na,8.0,Huber,-0.4744349382061073,1.237519153696487,1170,1,Group1,0.125,8.0,-0.4744349382061073,-3.7954795056488586,1.18,8,exact,-2.6084064516320997,-0.5598332270832066,-2.6457621228413086,0.03735567120920891
Na,9.0,Huber,-0.4622145556727921,1.2306378324706628,150,1,Group1,0.1111111111111111,9.0,-0.4622145556727921,-4.15993100105513,1.24,9,exact,-2.6624817790070803,-0.5731460490342623,-2.708100932205453,0.04561915319837251
Na,10.0,Huber,-0.4139712428044504,1.14351301412393,33,1,Group1,0.1,10.0,-0.4139712428044504,-4.139712428044504,1.24,9,nearest,-2.762300604209111,-0.5133243410775185,-2.708100932205453,-0.05419967200365816
Na,12.0,Huber,-0.3928306986680568,1.105503597827829,79,1,Group1,0.08333333333333333,12.0,-0.3928306986680568,-4.713968384016682,1.39,12,exact,-2.8141985887971117,-0.5460346711485989,-2.863947955615813,0.04974936681870146
Rb,2.0,Huber,-0.7252853117134707,2.110806843527832,13,1,Group1,0.5,2.0,-0.7252853117134707,-1.4505706234269413,1.52,6,nearest,-2.9103124100791415,-1.1024336738044753,-2.999015375904792,0.08870296582565063
Rb,3.0,Huber,-0.6343683785745784,1.900298488443137,25,1,Group1,0.3333333333333333,3.0,-0.6343683785745784,-1.9031051357237352,1.52,6,nearest,-2.9955756822449056,-0.9642399354333592,-2.999015375904792,0.0034396936598866112
Rb,4.0,Huber,-0.6291417681010937,1.8914694756851775,83,1,Group1,0.25,4.0,-0.6291417681010937,-2.5165670724043747,1.52,6,nearest,-3.0064280764478615,-0.9562954875136624,-2.999015375904792,-0.007412700543069306
Rb,5.0,Huber,-0.5990575592908278,1.8061527525949823,98,1,Group1,0.2,5.0,-0.5990575592908278,-2.9952877964541393,1.52,6,nearest,-3.0149903370439555,-0.9105674901220583,-2.999015375904792,-0.015974961139163302
Rb,6.0,Huber,-0.5446220384606021,1.6706373290255423,136,1,Group1,0.16666666666666666,6.0,-0.5446220384606021,-3.2677322307636123,1.52,6,exact,-3.0675169402759965,-0.8278254984601152,-2.999015375904792,-0.06850156437120436
Rb,7.0,Huber,-0.5155701278674385,1.579502581631273,71,1,Group1,0.14285714285714285,7.0,-0.5155701278674385,-3.6089908950720693,1.56,7,exact,-3.0636037587448994,-0.8042893994732041,-3.040574582147555,-0.023029176597344492
Rb,8.0,Huber,-0.4502900733638203,1.4104586942179316,116,1,Group1,0.125,8.0,-0.4502900733638203,-3.6023205869105626,1.61,8,exact,-3.1323335282106584,-0.7249670181157507,-3.0925235899510084,-0.03980993825964996
Rb,9.0,Huber,-0.4511076572508261,1.412147949605857,97,1,Group1,0.1111111111111111,9.0,-0.4511076572508261,-4.059968915257435,1.63,9,exact,-3.130401195607883,-0.7353054813188464,-3.11330319307239,-0.01709800253549343
Rb,10.0,Huber,-0.4417429327150807,1.3969872797235736,93,1,Group1,0.1,10.0,-0.4417429327150807,-4.417429327150807,1.66,10,exact,-3.1624439832852174,-0.7332932683070339,-3.144472597754462,-0.0179713855307555
Rb,11.0,Huber,-0.4409485837483533,1.4121082611299844,13,1,Group1,0.09090909090909091,11.0,-0.4409485837483533,-4.850434421231886,1.69,11,exact,-3.2024329211495237,-0.745203106534717,-3.175642002436534,-0.026790918712989775
Rb,12.0,Huber,-0.3380053974269026,1.108073923055801,78,1,Group1,0.08333333333333333,12.0,-0.3380053974269026,-4.056064769122831,1.72,12,exact,-3.2782728663243734,-0.5813692835742725,-3.206811407118606,-0.07146145920576741
Sr,1.0,Huber,-0.9563577732372052,2.4191388787577655,10,2,Group2,2.0,2.0,-1.9127155464744103,-0.9563577732372052,1.18,6,nearest,-2.529533346677517,-1.128502172419902,-2.6457621228413086,0.11622877616379146
Sr,2.0,Huber,-0.6357673154117971,1.7011107015922102,13,2,Group2,1.0,4.0,-1.2715346308235942,-1.2715346308235942,1.18,6,nearest,-2.675681275767334,-0.7502054321859205,-2.6457621228413086,-0.029919152926025205
Sr,4.0,Huber,-0.7232632949303949,1.996090184176765,73,2,Group2,0.5,8.0,-1.4465265898607897,-2.8930531797215795,1.18,6,nearest,-2.7598389109029293,-0.8534506880178659,-2.6457621228413086,-0.1140767880616207
Sr,5.0,Huber,-0.7783040831838889,2.0820286570027196,30,2,Group2,0.4,10.0,-1.5566081663677778,-3.8915204159194445,1.18,6,nearest,-2.67508381619373,-0.9183988181569889,-2.6457621228413086,-0.029321693352421185
Sr,6.0,Huber,-0.8156555637046291,2.1481872824785335,207,2,Group2,0.3333333333333333,12.0,-1.6313111274092582,-4.893933382227774,1.18,6,exact,-2.63369414501591,-0.9624735651714623,-2.6457621228413086,0.01206797782539848
Sr,7.0,Huber,-0.8009175024841964,2.119402140302408,184,2,Group2,0.2857142857142857,14.0,-1.6018350049683927,-5.606422517389374,1.21,7,exact,-2.646217786137378,-0.9691101780058775,-2.6769315275233807,0.030713741386002802
Sr,8.0,Huber,-0.765585947481673,2.0623631302734537,635,2,Group2,0.25,16.0,-1.531171894963346,-6.124687579853384,1.26,8,exact,-2.693836187899496,-0.9646382938269079,-2.728880535326834,0.035044347427338085
Sr,9.0,Huber,-0.6748472448458646,1.8330937943103431,503,2,Group2,0.2222222222222222,18.0,-1.3496944896917291,-6.073625203612781,1.31,9,exact,-2.716309221546904,-0.8840498907480826,-2.7808295431302876,0.06452032158338383
Sr,10.0,Huber,-0.6102582645102974,1.7045653062103154,145,2,Group2,0.2,20.0,-1.2205165290205948,-6.102582645102974,1.36,10,exact,-2.793186762621144,-0.8299512397340045,-2.832778550933741,0.03959178831259713
Sr,11.0,Huber,-0.5339765012093353,1.5048362794001882,55,2,Group2,0.18181818181818182,22.0,-1.0679530024186705,-5.873741513302688,1.36,10,nearest,-2.8181694812263767,-0.726208041644696,-2.832778550933741,0.01460906970736442
Sr,12.0,Huber,-0.5533535163799964,1.572770856011471,301,2,Group2,0.16666666666666666,24.0,-1.1067070327599928,-6.6402421965599565,1.44,12,exact,-2.842253296410653,-0.7968290635871949,-2.9158969634192666,0.0736436670086138
