material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Se_wyckoff,num_Se_chemenvs,CN,element,charge_range,is_single_charge
mp-18817,NiSeO4,1.8923290242833932,0.5690145774623607,[4.0],6.0,6.0,6.0,Tetrahedron,2c,1,4.0,Se,0.0,True
mp-18973,CoSe2O5,1.8394095124613965,0.3616954640708998,[3.0],4.0,4.0,4.0,Triangular non-coplanar,8d,1,3.0,Se,0.0,True
mp-19175,MnSe2O5,1.8264971410903024,0.3509927093152637,[3.0],4.0,4.0,4.0,Triangular non-coplanar,8f,1,3.0,Se,0.0,True
mp-22038,RbFe(SeO4)2,1.8658696382836872,0.478763814810172,[4.0],6.0,6.0,6.0,Tetrahedron,8d,1,4.0,Se,0.0,True
mp-22579,MnSeO4,1.7885269065641185,0.3224064815177865,[4.0],6.0,6.0,6.0,Tetrahedron,4c,1,4.0,Se,0.0,True
mp-22688,CuSeO3,1.8175639503836445,0.3187459645713281,[3.0],4.0,4.0,4.0,Triangular non-coplanar,8c,1,3.0,Se,0.0,True
mp-23086,ErSeClO3,1.8523070771091512,0.40692349704719,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4c,1,3.0,Se,0.0,True
mp-23096,LuSeClO3,1.853222142586004,0.4120335633765066,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4c,1,3.0,Se,0.0,True
mp-23119,Cu5Se2(ClO4)2,1.835596240822256,0.3893070211468771,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Se,0.0,True
mp-23587,HoSeClO3,1.8488450407514088,0.394599188467155,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4c,1,3.0,Se,0.0,True
mp-23843,LiHSeO3,2.072704444643715,1.140201283174394,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4a,1,3.0,Se,0.0,True
mp-23897,Rb3H(SeO4)2,2.2838965245941054,1.4832068339872868,[4.0],6.0,6.0,6.0,Tetrahedron,4f,1,4.0,Se,0.0,True
mp-23955,CuH2SeO5,1.6168237032517516,-0.1674870003248598,[4.0],6.0,6.0,6.0,Tetrahedron,2i,1,4.0,Se,0.0,True
mp-23968,NiH2SeO5,1.7193361510205487,0.1555795840162767,[4.0],6.0,6.0,6.0,Tetrahedron,4e,1,4.0,Se,0.0,True
mp-23969,ZnH2SeO5,1.7368830121139027,0.1474395803732615,[4.0],6.0,6.0,6.0,Tetrahedron,2e,1,4.0,Se,0.0,True
mp-23979,K3H(SeO4)2,2.4266584629769414,1.8376913957139616,[4.0],6.0,6.0,6.0,Tetrahedron,4f,1,4.0,Se,0.0,True
mp-23980,Cs3H(SeO4)2,2.4334894995564915,1.851768095242209,[4.0],6.0,6.0,6.0,Tetrahedron,2i,1,4.0,Se,0.0,True
mp-24022,RbH3(SeO3)2,0.9369629859918852,-2.815470387624722,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4a,1,3.0,Se,0.0,True
mp-24141,CsHSeO4,2.063828949771099,0.930910563479088,[4.0],6.0,6.0,6.0,Tetrahedron,4e,1,4.0,Se,0.0,True
mp-24164,CuH2(SeO3)2,1.850175908045356,0.353093105274249,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Se,0.0,True
mp-24165,Li2H2SeO5,1.6941436668104042,0.0512705288636498,[4.0],6.0,6.0,6.0,Tetrahedron,2a,1,4.0,Se,0.0,True
mp-24178,Mn3H2Se3O10,1.811987283683976,0.2625551576860508,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Se,0.0,True
mp-24335,YH5(SeO4)2,1.7051581543478918,-0.1230244424377936,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4a,1,3.0,Se,0.0,True
mp-24426,HgH2SeO5,1.810790506348308,0.3135326644404806,[4.0],6.0,6.0,6.0,Tetrahedron,4e,1,4.0,Se,0.0,True
mp-24433,KHSeO3,1.882301026123259,0.4872632774586078,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Se,0.0,True
mp-24500,ZnH12SeO10,1.6845198717257877,0.0133466570268868,[4.0],6.0,6.0,6.0,Tetrahedron,4a,1,4.0,Se,0.0,True
mp-24523,CsAlH24(SeO10)2,1.6477275560630074,-0.0174986691891405,[4.0],6.0,6.0,6.0,Tetrahedron,8c,1,4.0,Se,0.0,True
mp-24534,CaH4SeO6,1.6518239659810643,-0.0587623120118925,[4.0],6.0,6.0,6.0,Tetrahedron,2e,1,4.0,Se,0.0,True
mp-24540,Ni3H2Se3O10,1.8241754181113596,0.2823741512646392,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Se,0.0,True
mp-24544,NiH4SeO5,1.671073325620086,-0.2317640390521564,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Se,0.0,True
mp-24546,MgH2(SeO4)2,1.7896018301852952,0.2761368124240694,[4.0],6.0,6.0,6.0,Tetrahedron,4e,1,4.0,Se,0.0,True
mp-24547,ZnH2(SeO4)2,1.7814091352523718,0.242410591436831,[4.0],6.0,6.0,6.0,Tetrahedron,4e,1,4.0,Se,0.0,True
mp-24574,NdH5(SeO4)2,1.7047871985816905,-0.1222658131538185,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4a,1,3.0,Se,0.0,True
mp-24578,MgH10(SeO5)2,1.6482010146064598,-0.3326605570838365,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4f,1,3.0,Se,0.0,True
mp-24591,ZnH2SeO4,1.877938774995324,0.4795780105158846,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Se,0.0,True
mp-24755,Rb2NiH12(SeO7)2,1.662187524913249,-0.0425551315366018,[4.0],6.0,6.0,6.0,Tetrahedron,4e,1,4.0,Se,0.0,True
mp-27441,Au2Se4O11,1.793931151297779,0.2175968766425219,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4f,1,3.0,Se,0.0,True
mp-2748718,Ag2SeO3,1.6860301052805111,-0.1297528570047393,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Se,0.0,True
mp-2763164,Rb2SeO4,1.8203966488498664,0.4038997772241415,[4.0],6.0,6.0,6.0,Tetrahedron,2b,1,4.0,Se,0.0,True
mp-27723,USeO5,1.7240817199833878,0.0012001963899195,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2e,1,3.0,Se,0.0,True
mp-27845,CaSe2O5,1.8495429135548969,0.4224824653706556,[3.0],4.0,4.0,4.0,Triangular non-coplanar,8c,1,3.0,Se,0.0,True
mp-27996,H2SeO3,1.565234190701253,-0.5724120049894809,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4a,1,3.0,Se,0.0,True
mp-28299,USe2O7,1.8176373291690944,0.3209474478191939,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Se,0.0,True
mp-28346,SrSe2O5,1.8703994255963567,0.4946924825504583,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Se,0.0,True
mp-28535,Ca2Se3O8,1.8386558146669512,0.4145290175429529,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2i,1,3.0,Se,0.0,True
mp-28536,BaSe2O5,1.8607805199702323,0.4523267901958954,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Se,0.0,True
mp-28619,VSeO4,1.8895988659246952,0.5657615450116865,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Se,0.0,True
mp-29173,V2Se3O11,1.7191611014861163,-0.0080043482392747,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Se,0.0,True
mp-29193,Nb2Se4O13,1.7809327603325833,0.2122513821754984,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2a,1,3.0,Se,0.0,True
