material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Se_wyckoff,num_Se_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-558345,ZnFe2(SeO3)4,1.8463453698556829,0.3732886526975243,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2a,1,3.0,Se,0.0,True,9.0,3.0,1.694675780547582,1.762546308970068,1.7384785732383838,0.031023716862765807,0.06787052842248587,83.03845467415881,16.135000707430446,63.48008851496814,102.99654273564883,3.0,1.0,1,Triangular non-coplanar
mp-558345,ZnFe2(SeO3)4,1.8463453698556829,0.3732886526975243,[3.0],4.0,4.0,4.0,Triangular non-coplanar,2a,1,3.0,Se,0.0,True,12.0,3.0,1.6946757805475816,1.762546308970067,1.7384785732383836,0.03102371686276579,0.06787052842248542,102.05869893198633,1.653610693897091,99.73451984032798,103.44503421998216,3.0,1.0,2,Triangular non-coplanar
mp-558486,Fe2Cu3(SeO3)6,1.8248448515462925,0.2797772145692936,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Se,0.0,True,,,,,,,,,,,,,,0,Triangular non-coplanar
mp-558516,TmSeClO3,1.852513285455745,0.4079751235250975,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4c,1,3.0,Se,0.0,True,4.0,3.0,1.6996473962843226,1.7541257981846283,1.7359663308845263,0.025681364941274692,0.05447840190030573,98.07896044453531,5.934882357943523,89.68576932284277,102.27555600538159,3.0,1.0,1,Triangular non-coplanar
mp-558516,TmSeClO3,1.852513285455745,0.4079751235250975,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4c,1,3.0,Se,0.0,True,5.0,3.0,1.6996473962843228,1.754125798184628,1.7359663308845257,0.025681364941274328,0.054478401900305284,98.07896044453533,5.934882357943506,89.68576932284282,102.2755560053816,3.0,1.0,2,Triangular non-coplanar
mp-558516,TmSeClO3,1.852513285455745,0.4079751235250975,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4c,1,3.0,Se,0.0,True,6.0,3.0,1.6996473962843226,1.7541257981846274,1.7359663308845257,0.025681364941274328,0.05447840190030484,98.07896044453533,5.934882357943557,89.68576932284273,102.27555600538162,3.0,1.0,3,Triangular non-coplanar
mp-558516,TmSeClO3,1.852513285455745,0.4079751235250975,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4c,1,3.0,Se,0.0,True,7.0,3.0,1.6996473962843235,1.7541257981846279,1.7359663308845263,0.025681364941274175,0.054478401900304396,98.07896044453533,5.934882357943557,89.68576932284273,102.27555600538162,3.0,1.0,4,Triangular non-coplanar
mp-558538,HoSeO3F,1.8449370696655805,0.3486805963786775,[3.0],4.0,4.0,4.0,Triangular non-coplanar,4e,1,3.0,Se,0.0,True,,,,,,,,,,,,,,0,Triangular non-coplanar
mp-558550,Ag4Mo2Se3O16,1.6793266192030665,-0.0639121210647451,"[3.0, 4.0]",5.33,5.33,5.33,"Tetrahedron, Triangular non-coplanar","8e, 4d",2,3.0,Se,0.0,True,,,,,,,,,,,,,,0,"Tetrahedron, Triangular non-coplanar"
mp-558550,Ag4Mo2Se3O16,1.6793266192030665,-0.0639121210647451,"[3.0, 4.0]",5.33,5.33,5.33,"Tetrahedron, Triangular non-coplanar","8e, 4d",2,4.0,Se,0.0,True,,,,,,,,,,,,,,0,"Tetrahedron, Triangular non-coplanar"
mp-558555,LiFe(SeO3)2,1.813630499933032,0.2712663462135301,[3.0],4.0,4.0,4.0,Triangular non-coplanar,8e,1,3.0,Se,0.0,True,,,,,,,,,,,,,,0,Triangular non-coplanar
