material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,B_wyckoff,num_B_chemenvs,CN,element,charge_range,is_single_charge
mp-1019889,KSi2BO6,1.4287745862179368,0.1816006112465606,[4.0],3.0,3.0,3.0,Tetrahedron,4a,1,4.0,B,0.0,True
mp-1019892,La2B8O15,1.3685326593519715,0.4057402129196699,[4.0],3.0,3.0,3.0,Tetrahedron,4g,1,4.0,B,0.0,True
mp-1019894,La4B10O21,1.383182037501569,0.3589381015128169,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane",4e,2,3.0,B,0.0,True
mp-1019894,La4B10O21,1.383182037501569,0.3589381015128169,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane",4e,2,4.0,B,0.0,True
mp-1020014,Li3B11O18,1.3819483107359047,0.3056942580459572,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane",4e,2,3.0,B,0.0,True
mp-1020014,Li3B11O18,1.3819483107359047,0.3056942580459572,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane",4e,2,4.0,B,0.0,True
mp-1020018,Li5B(SO4)4,1.485201489444668,-0.0036245803117385,[4.0],3.0,3.0,3.0,Tetrahedron,4e,1,4.0,B,0.0,True
mp-1020022,Li3B(PO4)2,1.3699469189434086,0.392553967288296,[4.0],3.0,3.0,3.0,Tetrahedron,2i,1,4.0,B,0.0,True
mp-1020024,Li6B4O9,1.38642327259571,0.4802082198337606,[3.0],3.0,3.0,3.0,Trigonal plane,4e,1,3.0,B,0.0,True
mp-1020025,LiB3O5,1.374698868569435,0.3997684642840519,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane",8d,2,3.0,B,0.0,True
mp-1020025,LiB3O5,1.374698868569435,0.3997684642840519,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane",8d,2,4.0,B,0.0,True
mp-1020026,LiBeBO3,1.3853280542068511,0.3773395976711159,[3.0],3.0,3.0,3.0,"Tetrahedron, Trigonal plane",2i,2,3.0,B,0.0,True
mp-1020060,LiB(S2O7)2,1.4514358307068542,0.0979045412872394,[4.0],3.0,3.0,3.0,Tetrahedron,4a,1,4.0,B,0.0,True
mp-1020142,Na2B4O7,1.3845877716284547,0.3474794447157243,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane",6c,2,3.0,B,0.0,True
mp-1020142,Na2B4O7,1.3845877716284547,0.3474794447157243,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane",6c,2,4.0,B,0.0,True
mp-1020144,Na2Be4B4O11,1.3821867532697003,0.2650765892629875,[3.0],3.0,3.0,3.0,"Tetrahedron, Trigonal plane",1a,2,3.0,B,0.0,True
mp-1020160,Na3Zn(BO2)5,1.381911331147729,0.352373221196156,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane",8c,2,3.0,B,0.0,True
mp-1020160,Na3Zn(BO2)5,1.381911331147729,0.352373221196156,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane",8c,2,4.0,B,0.0,True
mp-1020599,Na5B(SO4)4,1.4576706195909104,0.0905467023518913,[4.0],3.0,3.0,3.0,Tetrahedron,4a,1,4.0,B,0.0,True
mp-1020611,SrGe2(BO4)2,1.3977899669028129,0.3211348598296324,[4.0],3.0,3.0,3.0,Tetrahedron,8d,1,4.0,B,0.0,True
mp-1020620,Rb5Li6(BO2)11,1.3930844208589337,0.292367008602579,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane","2c, 1b",2,3.0,B,0.0,True
mp-1020620,Rb5Li6(BO2)11,1.3930844208589337,0.292367008602579,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane","2c, 1b",2,4.0,B,0.0,True
mp-1020621,RbBe2B3O7,1.380386225802032,0.534878612446711,[3.0],3.0,3.0,3.0,"Tetrahedron, Trigonal plane","4b, 2a",2,3.0,B,0.0,True
mp-1020624,NaBe(BO2)3,1.3802740354047385,0.323605063158085,[3.0],3.0,3.0,3.0,"Tetrahedron, Trigonal plane",4a,2,3.0,B,0.0,True
mp-1020632,RbB3O5,1.375601407950757,0.4066686909065946,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane",4f,2,3.0,B,0.0,True
mp-1020632,RbB3O5,1.375601407950757,0.4066686909065946,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane",4f,2,4.0,B,0.0,True
mp-1020634,SrMgB2O5,1.3880696970316957,0.5662651159817915,[3.0],3.0,3.0,3.0,Trigonal plane,4e,1,3.0,B,0.0,True
mp-1020637,Sr3BeB6O13,1.38009056737518,0.3429909755827788,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane","4c, 8d",2,3.0,B,0.0,True
mp-1020637,Sr3BeB6O13,1.38009056737518,0.3429909755827788,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane","4c, 8d",2,4.0,B,0.0,True
mp-1020642,Sr3Y2(BO3)4,1.3895342722758173,0.420245274958697,[3.0],3.0,3.0,3.0,Trigonal plane,"4c, 8d",1,3.0,B,0.0,True
mp-1020643,Rb3Zn(BO2)5,1.3841711795230291,0.3682250605168183,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane",4e,2,3.0,B,0.0,True
mp-1020643,Rb3Zn(BO2)5,1.3841711795230291,0.3682250605168183,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane",4e,2,4.0,B,0.0,True
mp-1020646,NaLi2B(PO4)2,1.441386607823911,0.1473329166101706,[4.0],3.0,3.0,3.0,Tetrahedron,2i,1,4.0,B,0.0,True
mp-1020647,Sr2LiBeB3O8,1.3778452148585232,0.3971457979777382,[3.0],3.0,3.0,3.0,"Tetrahedron, Trigonal plane",4e,2,3.0,B,0.0,True
mp-1020650,Sr3Ge2(B3O8)2,1.3921815101332158,0.3282267186858969,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane",2i,2,3.0,B,0.0,True
mp-1020650,Sr3Ge2(B3O8)2,1.3921815101332158,0.3282267186858969,"[3.0, 4.0]",3.0,3.0,3.0,"Tetrahedron, Trigonal plane",2i,2,4.0,B,0.0,True
