element,CN,Z,beta,beta0,ionic_radius,radius_cn_used,radius_match_type,c1_target
Li,6.0,1,-0.5730557352203782,1.245394179000544,0.76,6,exact,-1.5757005433055238
Li,7.0,1,-0.5526381455856734,1.2857691004666263,0.76,6,nearest,-1.735976316025931
Li,8.0,1,-0.5112446005967957,1.232386400484376,0.92,8,exact,-1.7809021672784064
Mg,4.0,2,-1.0931163484088042,2.229131981787704,0.57,4,exact,-1.7411172261519634
Mg,5.0,2,-1.0875644335815635,2.2509569894187456,0.66,5,exact,-1.773005314770819
Mg,6.0,2,-0.9184051846888684,1.9306458810962153,0.72,6,exact,-1.748089953315852
Na,2.0,1,-0.60274713202497,1.476701893310287,0.99,4,nearest,-1.9427299154871696
Na,3.0,1,-0.6035177009682519,1.5092401985756838,0.99,4,nearest,-2.0043787867535547
Na,4.0,1,-0.6276897440672231,1.5395913800139422,0.99,4,exact,-1.9700806993162012
Na,5.0,1,-0.5878271631086571,1.4592443274675628,1.0,5,exact,-1.9663610393378272
Na,6.0,1,-0.4935354173151819,1.272986290562242,1.02,6,exact,-1.964210224929154
Na,7.0,1,-0.4809487282408693,1.241201210288783,1.12,7,exact,-1.945671832825047
Na,8.0,1,-0.4744349382061073,1.237519153696487,1.18,8,exact,-1.9696857275923336
Na,9.0,1,-0.4622145556727921,1.2306378324706628,1.24,9,exact,-2.017141003937697
Na,10.0,1,-0.4139712428044504,1.14351301412393,1.24,9,nearest,-2.0495922122546966
Na,12.0,1,-0.3928306986680568,1.105503597827829,1.39,12,exact,-2.06775997387558
Rb,2.0,1,-0.7252853117134707,2.110806843527832,1.52,6,nearest,-2.576114956408835
Rb,3.0,1,-0.6343683785745784,1.900298488443137,1.52,6,nearest,-2.620474086019868
Rb,4.0,1,-0.6291417681010937,1.8914694756851775,1.52,6,nearest,-2.6296723478826456
Rb,5.0,1,-0.5990575592908278,1.8061527525949823,1.52,6,nearest,-2.617238689763672
Rb,6.0,1,-0.5446220384606021,1.6706373290255423,1.52,6,exact,-2.6328819261379737
Rb,7.0,1,-0.5155701278674385,1.579502581631273,1.56,7,exact,-2.5976423935255046
Rb,8.0,1,-0.4502900733638203,1.4104586942179316,1.61,8,exact,-2.5991564233460465
Rb,9.0,1,-0.4511076572508261,1.412147949605857,1.63,9,exact,-2.5979152854368888
Rb,10.0,1,-0.4417429327150807,1.3969872797235736,1.66,10,exact,-2.624742734537874
Rb,11.0,1,-0.4409485837483533,1.4121082611299844,1.69,11,exact,-2.6752076547799706
Rb,12.0,1,-0.3380053974269026,1.108073923055801,1.72,12,exact,-2.554874509694914
Sr,1.0,2,-0.9563577732372052,2.4191388787577655,1.18,6,nearest,-2.2410480043907737
Sr,2.0,2,-0.6357673154117971,1.7011107015922102,1.18,6,nearest,-2.2418513915299636
Sr,4.0,2,-0.7232632949303949,1.996090184176765,1.18,6,nearest,-2.400414393637357
Sr,5.0,2,-0.7783040831838889,2.0820286570027196,1.18,6,nearest,-2.332329549863302
Sr,6.0,2,-0.8156555637046291,2.1481872824785335,1.18,6,exact,-2.303045439829468
Sr,7.0,2,-0.8009175024841964,2.119402140302408,1.21,7,exact,-2.3104033421378585
Sr,8.0,2,-0.765585947481673,2.0623631302734537,1.26,8,exact,-2.3473499345724598
Sr,9.0,2,-0.6748472448458646,1.8330937943103431,1.31,9,exact,-2.3190400689278583
Sr,10.0,2,-0.6102582645102974,1.7045653062103154,1.36,10,exact,-2.3606972978014475
Sr,11.0,2,-0.5339765012093353,1.5048362794001882,1.36,10,nearest,-2.3154163338339138
Sr,12.0,2,-0.5533535163799964,1.572770856011471,1.44,12,exact,-2.366300948931617
