material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Bi_wyckoff,num_Bi_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1042216,Ca(BiO2)2,1.8415209973689788,1.080925803171623,[6.0],3.0,3.0,3.0,Octahedron,2i,1,6.0,Bi,0.0,True,4.0,6.0,2.1753164928262585,2.994726511789215,2.4791712347036854,0.2812643284600463,0.8194100189629565,12.272911498869831,10.170329689237292,0.0,22.784584034140902,6.0,1.0,3,Octahedron
mp-1042216,Ca(BiO2)2,1.8415209973689788,1.080925803171623,[6.0],3.0,3.0,3.0,Octahedron,2i,1,6.0,Bi,0.0,True,5.0,6.0,2.2333295664484067,2.766023290660143,2.465184714547384,0.2382604384052969,0.5326937242117364,75.63682865885681,57.92572168174069,8.537736462515939e-07,177.37809307944605,6.0,1.0,4,Octahedron
mp-1042238,Mg(BiO2)2,1.9087813875598945,0.93400403811802,[6.0],3.0,3.0,3.0,Octahedron,2i,1,6.0,Bi,0.0,True,2.0,6.0,2.201931994989705,2.6700360568877795,2.444593323002464,0.22388691305455904,0.4681040618980745,71.98674881121148,64.73712599317483,0.0,169.21724612287727,6.0,1.0,1,Octahedron
mp-1042238,Mg(BiO2)2,1.9087813875598945,0.93400403811802,[6.0],3.0,3.0,3.0,Octahedron,2i,1,6.0,Bi,0.0,True,3.0,6.0,2.178452683699597,2.807569348915472,2.4433412808815356,0.2329101433048032,0.6291166652158751,15.037869812392024,11.231870495958166,8.537736462515939e-07,29.449979553363793,6.0,1.0,2,Octahedron
mp-1042238,Mg(BiO2)2,1.9087813875598945,0.93400403811802,[6.0],3.0,3.0,3.0,Octahedron,2i,1,6.0,Bi,0.0,True,4.0,6.0,2.1784526836995948,2.807569348915473,2.4433412808815356,0.23291014330480406,0.6291166652158782,15.037869698555472,11.231870648368998,0.0,29.449979553363782,6.0,1.0,3,Octahedron
mp-1042238,Mg(BiO2)2,1.9087813875598945,0.93400403811802,[6.0],3.0,3.0,3.0,Octahedron,2i,1,6.0,Bi,0.0,True,5.0,6.0,2.2019319949897023,2.670036056887779,2.4445933230024637,0.22388691305455952,0.46810406189807674,71.98674881121143,64.73712599317481,0.0,169.21724612287716,6.0,1.0,4,Octahedron
mp-1042362,ZnBi2O5,2.222197785299838,0.2070117837191398,[6.0],4.0,4.0,4.0,"Pentagonal bipyramid, Octahedron",8c,2,6.0,Bi,0.0,True,16.0,6.0,2.1920009088635344,2.7494703516706633,2.4237681530384427,0.21869162695521982,0.557469442807129,55.66692279453719,23.545893371880148,18.512016824906222,103.01083551398776,6.0,1.0,1,"Pentagonal bipyramid, Octahedron"
mp-1042362,ZnBi2O5,2.222197785299838,0.2070117837191398,[6.0],4.0,4.0,4.0,"Pentagonal bipyramid, Octahedron",8c,2,6.0,Bi,0.0,True,17.0,6.0,2.192000908863536,2.7494703516706633,2.4237681530384427,0.21869162695521882,0.5574694428071272,55.6669227945372,23.54589337188015,18.512016824906205,103.01083551398774,6.0,1.0,2,"Pentagonal bipyramid, Octahedron"
mp-1042362,ZnBi2O5,2.222197785299838,0.2070117837191398,[6.0],4.0,4.0,4.0,"Pentagonal bipyramid, Octahedron",8c,2,6.0,Bi,0.0,True,18.0,6.0,2.1920009088635366,2.7494703516706656,2.4237681530384427,0.2186916269552191,0.557469442807129,103.36489067470231,30.81960570965514,74.49239685467099,168.35647077227904,6.0,1.0,3,"Pentagonal bipyramid, Octahedron"
mp-1042362,ZnBi2O5,2.222197785299838,0.2070117837191398,[6.0],4.0,4.0,4.0,"Pentagonal bipyramid, Octahedron",8c,2,6.0,Bi,0.0,True,19.0,6.0,2.192000908863538,2.7494703516706633,2.4237681530384427,0.2186916269552182,0.5574694428071254,58.31603413016148,22.54318743076985,18.512016824906205,96.48765921344508,6.0,1.0,4,"Pentagonal bipyramid, Octahedron"
mp-1042362,ZnBi2O5,2.222197785299838,0.2070117837191398,[6.0],4.0,4.0,4.0,"Pentagonal bipyramid, Octahedron",8c,2,6.0,Bi,0.0,True,20.0,6.0,2.192000908863536,2.7494703516706656,2.423768153038443,0.2186916269552194,0.5574694428071294,90.88827337749215,33.981530444828415,26.791187732754768,164.0201841476779,6.0,1.0,5,"Pentagonal bipyramid, Octahedron"
mp-1042362,ZnBi2O5,2.222197785299838,0.2070117837191398,[6.0],4.0,4.0,4.0,"Pentagonal bipyramid, Octahedron",8c,2,6.0,Bi,0.0,True,21.0,6.0,2.1920009088635366,2.749470351670662,2.423768153038443,0.21869162695521863,0.5574694428071254,103.3648906747023,30.819605709655132,74.49239685467096,168.35647077227907,6.0,1.0,6,"Pentagonal bipyramid, Octahedron"
mp-1042362,ZnBi2O5,2.222197785299838,0.2070117837191398,[6.0],4.0,4.0,4.0,"Pentagonal bipyramid, Octahedron",8c,2,6.0,Bi,0.0,True,22.0,6.0,2.192000908863536,2.7494703516706633,2.4237681530384423,0.2186916269552191,0.5574694428071272,90.88827337749218,33.98153044482842,26.791187732754825,164.02018414767798,6.0,1.0,7,"Pentagonal bipyramid, Octahedron"
mp-1042362,ZnBi2O5,2.222197785299838,0.2070117837191398,[6.0],4.0,4.0,4.0,"Pentagonal bipyramid, Octahedron",8c,2,6.0,Bi,0.0,True,23.0,6.0,2.192000908863536,2.749470351670667,2.4237681530384427,0.2186916269552197,0.5574694428071307,58.31603413016147,22.543187430769844,18.512016824906247,96.48765921344507,6.0,1.0,8,"Pentagonal bipyramid, Octahedron"
mp-1042364,CaTaBiO5,2.0055449138241306,0.6419821967111827,[5.0],3.0,3.0,3.0,Square pyramid,8c,1,5.0,Bi,0.0,True,16.0,5.0,2.1281610765448145,2.4899851930142387,2.3046828577336647,0.12637213022895194,0.36182411646942425,61.95316784270034,25.808026871979223,21.741344201843038,100.55177623378479,5.0,1.0,1,Square pyramid
