material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Bi_wyckoff,num_Bi_chemenvs,CN,element,charge_range,is_single_charge
mp-1191534,Sr4BiO7,2.141542102244389,-0.0131278153062434,[6.0],5.0,5.0,5.0,Octahedron,2a,1,6.0,Bi,0.0,True
mp-1191650,VCuBi2O7,2.635594844996164,-0.2472548533700641,"[6.0, 7.0]",3.0,3.0,3.0,"Square-face bicapped trigonal prism, Square antiprism",2i,2,6.0,Bi,0.0,True
mp-1191650,VCuBi2O7,2.635594844996164,-0.2472548533700641,"[6.0, 7.0]",3.0,3.0,3.0,"Square-face bicapped trigonal prism, Square antiprism",2i,2,7.0,Bi,0.0,True
mp-1192345,AgBi(WO4)2,2.4139301371553388,0.0955877360477308,[8.0],3.0,3.0,3.0,Square antiprism,2g,1,8.0,Bi,0.0,True
mp-1192577,FeBi2Se2Cl3O7,2.223215033587752,0.200089451457861,"[4.0, 4.0]",3.0,3.0,3.0,"Bicapped octahedron (cap faces with one edge in common), Square pyramid",2e,2,4.0,Bi,0.0,True
mp-1192577,FeBi2Se2Cl3O7,2.223215033587752,0.200089451457861,"[4.0, 4.0]",3.0,3.0,3.0,"Bicapped octahedron (cap faces with one edge in common), Square pyramid",2e,2,4.0,Bi,0.0,True
mp-1192658,Bi2Te2SeO10,1.7794545677499798,0.9685888124673326,[7.0],3.0,3.0,3.0,Square-face capped trigonal prism,4f,1,7.0,Bi,0.0,True
mp-1193553,BiBPbO4,1.9547460324543948,0.622971146085981,[6.0],3.0,3.0,3.0,Octahedron,4d,1,6.0,Bi,0.0,True
mp-1193554,Bi2Se3O10,2.3659440032383694,0.4909715683312362,[7.0],5.0,5.0,5.0,Square-face capped trigonal prism,4f,1,7.0,Bi,0.0,True
mp-1194190,Ba3BiIr2O9,2.3822912203155204,-0.1137897741948501,[6.0],3.0,3.0,3.0,Octahedron,2a,1,6.0,Bi,0.0,True
mp-1194570,TlBi(SO4)2,2.56101724371696,-0.0650249015174953,[8.0],3.0,3.0,3.0,no_data,no_data,1,8.0,Bi,0.0,True
mp-1194603,MnBiO3,2.010123282560209,0.6713872808345102,"[6.0, 7.0]",3.0,3.0,3.0,"End-trigonal-face capped trigonal prism, Square-face capped trigonal prism",4e,2,6.0,Bi,0.0,True
mp-1194603,MnBiO3,2.010123282560209,0.6713872808345102,"[6.0, 7.0]",3.0,3.0,3.0,"End-trigonal-face capped trigonal prism, Square-face capped trigonal prism",4e,2,7.0,Bi,0.0,True
mp-1194678,Bi2TeIClO8,2.361835114600454,0.1197257525590599,"[6.0, 6.0, 7.0]",3.0,3.0,3.0,"Face-capped octahedron, Square-face capped trigonal prism",2a,2,6.0,Bi,0.0,True
mp-1194678,Bi2TeIClO8,2.361835114600454,0.1197257525590599,"[6.0, 6.0, 7.0]",3.0,3.0,3.0,"Face-capped octahedron, Square-face capped trigonal prism",2a,2,6.0,Bi,0.0,True
mp-1194678,Bi2TeIClO8,2.361835114600454,0.1197257525590599,"[6.0, 6.0, 7.0]",3.0,3.0,3.0,"Face-capped octahedron, Square-face capped trigonal prism",2a,2,7.0,Bi,0.0,True
mp-1195032,BiTeNO6,1.8936779065667144,0.7157495874124891,[8.0],3.0,3.0,3.0,Square antiprism,4e,1,8.0,Bi,0.0,True
mp-1195166,Ta7BiO19,2.011466183487505,0.4982048521196042,[8.0],3.0,3.0,3.0,Bicapped octahedron (opposed cap faces),2a,1,8.0,Bi,0.0,True
mp-1195168,Bi26Mo10O69,2.099936902557095,0.4764358587801623,"[4.0, 5.0, 6.0, 7.0, 8.0]",3.0,3.0,3.0,"Pentagonal pyramid, Square-face capped trigonal prism, Square pyramid, Octahedron, Cube, See-saw","1a, 2i, 1b",6,4.0,Bi,0.0,True
mp-1195168,Bi26Mo10O69,2.099936902557095,0.4764358587801623,"[4.0, 5.0, 6.0, 7.0, 8.0]",3.0,3.0,3.0,"Pentagonal pyramid, Square-face capped trigonal prism, Square pyramid, Octahedron, Cube, See-saw","1a, 2i, 1b",6,5.0,Bi,0.0,True
mp-1195168,Bi26Mo10O69,2.099936902557095,0.4764358587801623,"[4.0, 5.0, 6.0, 7.0, 8.0]",3.0,3.0,3.0,"Pentagonal pyramid, Square-face capped trigonal prism, Square pyramid, Octahedron, Cube, See-saw","1a, 2i, 1b",6,6.0,Bi,0.0,True
mp-1195168,Bi26Mo10O69,2.099936902557095,0.4764358587801623,"[4.0, 5.0, 6.0, 7.0, 8.0]",3.0,3.0,3.0,"Pentagonal pyramid, Square-face capped trigonal prism, Square pyramid, Octahedron, Cube, See-saw","1a, 2i, 1b",6,7.0,Bi,0.0,True
mp-1195168,Bi26Mo10O69,2.099936902557095,0.4764358587801623,"[4.0, 5.0, 6.0, 7.0, 8.0]",3.0,3.0,3.0,"Pentagonal pyramid, Square-face capped trigonal prism, Square pyramid, Octahedron, Cube, See-saw","1a, 2i, 1b",6,8.0,Bi,0.0,True
mp-1195213,Bi2(SO4)3,1.7435922047466874,0.760369675796511,[9.0],3.0,3.0,3.0,Tricapped triangular prism (three square-face caps),4f,1,9.0,Bi,0.0,True
mp-1195268,CoBi2SO7,2.213409102275796,0.4070547402680053,"[4.0, 8.0]",3.0,3.0,3.0,"Square antiprism, Square-face capped trigonal prism",8c,2,4.0,Bi,0.0,True
