material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Hf_wyckoff,num_Hf_chemenvs,CN,element,charge_range,is_single_charge
mp-532704,K2YHf(PO4)3,2.0310786729712116,0.1033926027254456,[6.0],4.0,4.0,4.0,no_data,no_data,1,6.0,Hf,0.0,True
mp-545548,BaHf(PO4)2,1.8297893842410011,0.5830718496807423,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Hf,0.0,True
mp-550908,SrHfO3,2.064087203199501,0.0073599184461985,[6.0],4.0,4.0,4.0,Octahedron,2b,1,6.0,Hf,0.0,True
mp-555344,Hf2P2O9,1.915909581715605,0.3744497617205621,"[6.0, 7.0]",4.0,4.0,4.0,"Pentagonal bipyramid, Octahedron",2i,2,6.0,Hf,0.0,True
mp-555344,Hf2P2O9,1.915909581715605,0.3744497617205621,"[6.0, 7.0]",4.0,4.0,4.0,"Pentagonal bipyramid, Octahedron",2i,2,7.0,Hf,0.0,True
mp-555607,K8Hf(MoO4)6,1.8403587371872263,0.607710699841159,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Hf,0.0,True
mp-555720,Dy2Hf2(MoO4)7,1.9164744097789503,0.4026848915330071,[6.0],4.0,4.0,4.0,Octahedron,4f,1,6.0,Hf,0.0,True
mp-558067,Na8Hf(MoO4)6,2.142003837619307,-0.1490578849038177,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Hf,0.0,True
mp-558164,CaHf4O9,1.8910065041945232,0.4920101006942404,"[6.0, 7.0, 8.0]",4.0,4.0,4.0,"Cube, Square-face capped trigonal prism, Octahedron","4f, 2e",3,6.0,Hf,0.0,True
mp-558164,CaHf4O9,1.8910065041945232,0.4920101006942404,"[6.0, 7.0, 8.0]",4.0,4.0,4.0,"Cube, Square-face capped trigonal prism, Octahedron","4f, 2e",3,7.0,Hf,0.0,True
mp-558164,CaHf4O9,1.8910065041945232,0.4920101006942404,"[6.0, 7.0, 8.0]",4.0,4.0,4.0,"Cube, Square-face capped trigonal prism, Octahedron","4f, 2e",3,8.0,Hf,0.0,True
mp-558489,Ca6Hf19O44,1.7509901303677378,0.7913995662232202,"[6.0, 7.0, 8.0]",4.0,4.0,4.0,"Cube, Pentagonal bipyramid, Square-face capped trigonal prism, Octahedron","6e, 2a, 12f",4,6.0,Hf,0.0,True
mp-558489,Ca6Hf19O44,1.7509901303677378,0.7913995662232202,"[6.0, 7.0, 8.0]",4.0,4.0,4.0,"Cube, Pentagonal bipyramid, Square-face capped trigonal prism, Octahedron","6e, 2a, 12f",4,7.0,Hf,0.0,True
mp-558489,Ca6Hf19O44,1.7509901303677378,0.7913995662232202,"[6.0, 7.0, 8.0]",4.0,4.0,4.0,"Cube, Pentagonal bipyramid, Square-face capped trigonal prism, Octahedron","6e, 2a, 12f",4,8.0,Hf,0.0,True
mp-558963,HfNi5(BO5)2,1.9240648814568055,0.4020264369400913,[6.0],4.0,4.0,4.0,Octahedron,4c,1,6.0,Hf,0.0,True
mp-559188,Hf(MoO4)2,2.177564413206168,0.02195031828683,[8.0],4.0,4.0,4.0,Dodecahedron with triangular faces - p2345 plane normalized,2e,1,8.0,Hf,0.0,True
mp-559617,HfB2O5,1.9210033882906523,0.4350556508462525,[8.0],4.0,4.0,4.0,Square antiprism,4e,1,8.0,Hf,0.0,True
mp-647350,Rb5HfFe(MoO4)6,1.9178601169755436,0.3891979164738952,[6.0],4.0,4.0,4.0,Octahedron,2b,1,6.0,Hf,0.0,True
mp-669414,HfPbO3,1.992442596722671,0.2963218458998832,[6.0],4.0,4.0,4.0,Octahedron,4c,1,6.0,Hf,0.0,True
mp-675093,Hf2N2O,1.839176821303734,0.5162788213502851,"[2.0, 1.0, 3.0]",4.0,4.0,4.0,"Trigonal prism, Octahedron",1a,2,2.0,Hf,0.0,True
mp-675093,Hf2N2O,1.839176821303734,0.5162788213502851,"[2.0, 1.0, 3.0]",4.0,4.0,4.0,"Trigonal prism, Octahedron",1a,2,1.0,Hf,0.0,True
mp-675093,Hf2N2O,1.839176821303734,0.5162788213502851,"[2.0, 1.0, 3.0]",4.0,4.0,4.0,"Trigonal prism, Octahedron",1a,2,3.0,Hf,0.0,True
mp-676653,Lu4Hf3O12,1.87395348868459,0.5384682935201213,"[6.0, 7.0]",4.0,4.0,4.0,"Square-face capped trigonal prism, Octahedron",2i,2,6.0,Hf,0.0,True
mp-676653,Lu4Hf3O12,1.87395348868459,0.5384682935201213,"[6.0, 7.0]",4.0,4.0,4.0,"Square-face capped trigonal prism, Octahedron",2i,2,7.0,Hf,0.0,True
mp-685097,HfO2,2.0025144135103985,0.32394227681866,[7.0],4.0,4.0,4.0,Square-face capped trigonal prism,4a,1,7.0,Hf,0.0,True
