material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,As_wyckoff,num_As_chemenvs,CN,element,charge_range,is_single_charge
mp-1195114,KAsO3,1.8037194824092413,0.4156039716117393,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-1195165,CdCuAsHO5,1.9808231789319295,1.0552992073354768,[4.0],5.0,5.0,5.0,Tetrahedron,4c,1,4.0,As,0.0,True
mp-1195266,SrZnAsHO5,1.7702582319998073,0.1618522922028014,[4.0],5.0,5.0,5.0,Tetrahedron,4a,1,4.0,As,0.0,True
mp-1195470,Rb4U3(AsO8)2,1.759174006852707,0.1679922456742567,[4.0],5.0,5.0,5.0,Tetrahedron,4f,1,4.0,As,0.0,True
mp-1195548,K2Th(AsO4)2,1.7209987213827873,-0.023532991701002,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-1195622,Rb2Th(AsO4)2,1.7054786526295298,-0.0914828563018491,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-1195682,Th(As4O9)2,1.7485897827766554,-0.0138220183526094,"[3.0, 4.0]",4.0,4.0,4.0,"Tetrahedron, Triangular non-coplanar",4f,2,3.0,As,0.0,True
mp-1195682,Th(As4O9)2,1.7485897827766554,-0.0138220183526094,"[3.0, 4.0]",4.0,4.0,4.0,"Tetrahedron, Triangular non-coplanar",4f,2,4.0,As,0.0,True
mp-1195747,Na7Fe4(AsO4)6,1.90894779093136,0.8161140830654373,[4.0],5.0,5.0,5.0,Tetrahedron,12f,1,4.0,As,0.0,True
mp-1195770,LiZr2(AsO4)3,1.7316346409800882,0.090899333170337,[4.0],5.0,5.0,5.0,Tetrahedron,6e,1,4.0,As,0.0,True
mp-1195773,Ba3As4(HO7)2,1.8288627277532017,0.4305254120664587,[4.0],5.0,5.0,5.0,Tetrahedron,4f,1,4.0,As,0.0,True
mp-1196329,K2AsH13O10,1.739610140959538,0.0609404954333373,[4.0],5.0,5.0,5.0,Tetrahedron,2a,1,4.0,As,0.0,True
mp-1196334,Ba2U(AsO5)2,1.774386055299296,0.2249466587140909,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-1196336,Cs2UAs2O9,1.8614930586055571,0.5678153462377159,[4.0],5.0,5.0,5.0,Tetrahedron,"4f, 4e",1,4.0,As,0.0,True
mp-1196688,Te3As2O11,1.7609474231064255,0.2668429174228341,[4.0],5.0,5.0,5.0,Tetrahedron,2i,1,4.0,As,0.0,True
mp-1196745,Sr2As2O7,1.7900633669735186,0.3913262933589285,[4.0],5.0,5.0,5.0,Tetrahedron,4a,1,4.0,As,0.0,True
mp-1197751,Cu2AsO5,1.6203103255114857,-0.4074593204250182,[4.0],5.0,5.0,5.0,Tetrahedron,4g,1,4.0,As,0.0,True
mp-1198036,Cu2AsO5,1.7022942710136042,-0.0258111163619685,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-1198282,KAs2HO6,1.806087269107799,0.3263786292925917,"[4.0, 6.0]",5.0,5.0,5.0,"Octahedron, Tetrahedron",4e,2,4.0,As,0.0,True
mp-1198282,KAs2HO6,1.806087269107799,0.3263786292925917,"[4.0, 6.0]",5.0,5.0,5.0,"Octahedron, Tetrahedron",4e,2,6.0,As,0.0,True
mp-1198481,KAsW2O9,1.8238269997999392,0.4640477587813094,[4.0],5.0,5.0,5.0,Tetrahedron,4a,1,4.0,As,0.0,True
mp-1199256,Ag13As3(IO3)4,1.722889123784448,-0.0612609980082294,[4.0],5.0,5.0,5.0,Tetrahedron,2e,1,4.0,As,0.0,True
mp-1199276,CsScAs2(HO4)2,1.7900800500215663,0.2949478185920178,[4.0],5.0,5.0,5.0,Tetrahedron,2i,1,4.0,As,0.0,True
mp-1199328,Ba3U2As4O19,1.8114450023042967,0.3884242831946293,[4.0],5.0,5.0,5.0,Tetrahedron,4f,1,4.0,As,0.0,True
mp-1199333,Zn3As2(HO)16,1.7410926590024716,0.0598278371596551,[4.0],5.0,5.0,5.0,Tetrahedron,2i,1,4.0,As,0.0,True
mp-1199640,Fe2AsH19SO18,1.7444986671474276,0.0946452480117317,[4.0],5.0,5.0,5.0,Tetrahedron,2i,1,4.0,As,0.0,True
mp-1199861,Ni2As2O7,1.8174029933722693,0.4206030432683839,"[4.0, 5.0]",5.0,5.0,5.0,"Trigonal bipyramid, Tetrahedron",1a,2,4.0,As,0.0,True
mp-1199861,Ni2As2O7,1.8174029933722693,0.4206030432683839,"[4.0, 5.0]",5.0,5.0,5.0,"Trigonal bipyramid, Tetrahedron",1a,2,5.0,As,0.0,True
mp-1200118,V2AsO6,1.7924693571002794,0.3892059009749301,[4.0],5.0,5.0,5.0,Tetrahedron,4a,1,4.0,As,0.0,True
mp-1200428,KMgAs(H6O5)2,1.7294606463852766,0.0201834468085449,[4.0],5.0,5.0,5.0,Tetrahedron,2a,1,4.0,As,0.0,True
mp-1200457,KMn6As7O24,1.7972598193098477,0.3197177718315594,[4.0],5.0,5.0,5.0,Tetrahedron,"2e, 4f",1,4.0,As,0.0,True
mp-1200529,CuAsPbO5,1.763639625784559,0.1141845142038297,[4.0],5.0,5.0,5.0,Tetrahedron,4a,1,4.0,As,0.0,True
mp-1200791,In4As5(BrO4)3,1.8026343465683297,0.0866649634014669,[3.0],3.0,3.0,3.0,Triangular non-coplanar,2i,1,3.0,As,0.0,True
mp-1200852,NaTi2(AsO4)3,1.6698776345769897,-0.1736255703028295,[4.0],5.0,5.0,5.0,Tetrahedron,6e,1,4.0,As,0.0,True
mp-1201174,CsAlAs3H5O12,1.781113311795751,0.2345528116067476,[4.0],5.0,5.0,5.0,Tetrahedron,2a,1,4.0,As,0.0,True
mp-1201259,NaTiAsO5,1.778822281396359,0.2529477326282806,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-1201630,TiAs2Pb2O9,1.8398383905936804,0.488534344909836,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-1201715,NaZnAsO4,1.6976541058396009,-0.1142384311687891,[4.0],5.0,5.0,5.0,Tetrahedron,6c,1,4.0,As,0.0,True
mp-1201749,Sr2As2O7,1.809131029059448,0.3680074512805384,[4.0],5.0,5.0,5.0,Tetrahedron,4a,1,4.0,As,0.0,True
mp-1202137,Ca2CuAs2(H2O5)2,1.6455647247001397,-0.3658126158530489,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-1202171,TeAsHO5,1.6960103650049418,-0.1529556518178164,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-1202551,CuAsH3O5,1.6840265483072652,-0.2155109920619585,[4.0],5.0,5.0,5.0,Tetrahedron,2i,1,4.0,As,0.0,True
mp-1202591,Mn2AsHO5,1.6614299357982727,-0.1931347431671762,[4.0],5.0,5.0,5.0,Tetrahedron,4g,1,4.0,As,0.0,True
mp-1202910,Zn2As(HO2)3,1.717861176574949,-0.0376670965898497,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-1202958,Co2AsHO5,1.7178666199286827,-0.0430027785636345,[4.0],5.0,5.0,5.0,Tetrahedron,4g,1,4.0,As,0.0,True
mp-1203059,LiAs3H2O9,1.7699364462790754,0.2757732685801274,"[4.0, 6.0]",5.0,5.0,5.0,"Octahedron, Tetrahedron",4e,2,4.0,As,0.0,True
mp-1203059,LiAs3H2O9,1.7699364462790754,0.2757732685801274,"[4.0, 6.0]",5.0,5.0,5.0,"Octahedron, Tetrahedron",4e,2,6.0,As,0.0,True
mp-1203089,K2Cr2AsHO10,1.7714970730779225,0.2147008536444114,[4.0],5.0,5.0,5.0,Tetrahedron,3b,1,4.0,As,0.0,True
mp-1203129,MgAl2As2(HO)18,1.7296104622214012,0.0360495801443076,[4.0],5.0,5.0,5.0,Tetrahedron,2i,1,4.0,As,0.0,True
mp-1203323,TeAsHO5,1.7587916246358486,0.1250381646697777,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-1203433,Hg3AsO5,1.7042926460523546,-0.0210324338650555,[4.0],5.0,5.0,5.0,Tetrahedron,4e,1,4.0,As,0.0,True
mp-1203695,KMo4AsO15,1.7201265042836944,0.0241442174829395,[4.0],5.0,5.0,5.0,Tetrahedron,4a,1,4.0,As,0.0,True
mp-1204184,Mn5As4(HO2)10,1.6855418523400876,-0.1874057786929784,[4.0],5.0,5.0,5.0,Tetrahedron,4f,1,4.0,As,0.0,True
mp-1204387,V3As2H4O13,1.752850682391901,0.1267907819671459,[4.0],5.0,5.0,5.0,Tetrahedron,2i,1,4.0,As,0.0,True
mp-1204715,KFe3As4(HO8)2,1.7971021527360511,0.3180178081881806,[4.0],5.0,5.0,5.0,Tetrahedron,4f,1,4.0,As,0.0,True
mp-1204772,Co2As2O7,1.769820474608364,0.1959496530124027,[4.0],5.0,5.0,5.0,Tetrahedron,2i,1,4.0,As,0.0,True
mp-1204976,V2Ag6As2O13,1.7372434868094668,0.0181684489230897,[4.0],5.0,5.0,5.0,Tetrahedron,4f,1,4.0,As,0.0,True
mp-1205062,Mn2AsO5,1.8776527880536429,0.7549145957418135,[4.0],5.0,5.0,5.0,Tetrahedron,4g,1,4.0,As,0.0,True
mp-1205185,Rb3Sc2(AsO4)3,1.791788627629272,0.3192133229688561,[4.0],5.0,5.0,5.0,Tetrahedron,24d,1,4.0,As,0.0,True
mp-1207469,ZnCuAsO5,1.4055277095002645,-1.4959777718803813,[4.0],5.0,5.0,5.0,Tetrahedron,4g,1,4.0,As,0.0,True
mp-1207481,Zn3SbAs2Pb3O14,1.7433199165520086,-0.0972259196066618,[4.0],3.5,3.5,3.5,Tetrahedron,2d,1,4.0,As,0.0,True
