material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Y_wyckoff,num_Y_chemenvs,CN,element,charge_range,is_single_charge
mp-1201418,Na2YPWO8,1.9351076385610968,0.4864077600672834,[8.0],3.0,3.0,3.0,Dodecahedron with triangular faces - p2345 plane normalized,4d,1,8.0,Y,0.0,True
mp-1202176,LiY3Si2(O4F)2,2.352643841802567,0.0468765908627301,"[6.0, 6.0]",3.0,3.0,3.0,"Square-face capped trigonal prism, Square antiprism","4f, 2e",2,6.0,Y,0.0,True
mp-1202176,LiY3Si2(O4F)2,2.352643841802567,0.0468765908627301,"[6.0, 6.0]",3.0,3.0,3.0,"Square-face capped trigonal prism, Square antiprism","4f, 2e",2,6.0,Y,0.0,True
mp-1202901,Na2YHC2O7,2.1790411449277327,0.2227691061780954,[8.0],3.0,3.0,3.0,Square-face bicapped trigonal prism,4f,1,8.0,Y,0.0,True
mp-1203085,Na3Y(SiO3)3,2.1608773771802627,0.1655057638366597,[6.0],3.0,3.0,3.0,Octahedron,4a,1,6.0,Y,0.0,True
mp-1203448,Y2Mo4O15,2.212046512990841,0.1400656817994505,[7.0],3.0,3.0,3.0,Square-face capped trigonal prism,4e,1,7.0,Y,0.0,True
mp-1204162,Ba2YFeO5,2.319063661793856,0.0001771701148282,[6.0],3.0,3.0,3.0,Octahedron,4e,1,6.0,Y,0.0,True
mp-1204472,Y3Se2ClO8,1.8953706859099413,0.5061787055817091,"[6.0, 6.0]",3.0,3.0,3.0,"Square-face bicapped trigonal prism, Square-face capped trigonal prism","8d, 4c",2,6.0,Y,0.0,True
mp-1204472,Y3Se2ClO8,1.8953706859099413,0.5061787055817091,"[6.0, 6.0]",3.0,3.0,3.0,"Square-face bicapped trigonal prism, Square-face capped trigonal prism","8d, 4c",2,6.0,Y,0.0,True
mp-1204562,Y2Mo(SeO4)3,2.3262504521970664,0.0472862570623689,[8.0],3.0,3.0,3.0,"Square-face bicapped trigonal prism, Dodecahedron with triangular faces - p2345 plane normalized",2i,2,8.0,Y,0.0,True
mp-1205054,Ba2YCoO5,2.1144629070885563,0.2277655645987205,[6.0],3.0,3.0,3.0,Octahedron,4e,1,6.0,Y,0.0,True
mp-1205167,Na3LiY3P3CO15F2,1.707631355316454,0.6596315610865042,"[4.0, 8.0]",3.0,3.0,3.0,"Square antiprism, Dodecahedron with triangular faces - p2345 plane normalized","6f, 6g",2,4.0,Y,0.0,True
mp-1205167,Na3LiY3P3CO15F2,1.707631355316454,0.6596315610865042,"[4.0, 8.0]",3.0,3.0,3.0,"Square antiprism, Dodecahedron with triangular faces - p2345 plane normalized","6f, 6g",2,8.0,Y,0.0,True
mp-1205425,Ba8CaY2U4O24,1.791118054009803,0.6639148138134685,[6.0],3.0,3.0,3.0,Octahedron,2d,1,6.0,Y,0.0,True
mp-1207485,Y2MgTiO6,0.7373305090286834,1.9303138903164037,[8.0],3.0,3.0,3.0,Square-face bicapped trigonal prism,4e,1,8.0,Y,0.0,True
mp-1207601,YWClO4,1.6360655332884082,0.8021181068282951,[6.0],3.0,3.0,3.0,Dodecahedron with triangular faces - p2345 plane normalized,2i,1,6.0,Y,0.0,True
mp-1207618,YSeClO3,1.9735926493515847,0.4157665942598442,[5.0],3.0,3.0,3.0,Pentagonal bipyramid,4c,1,5.0,Y,0.0,True
mp-1207629,YRhO3,0.7930270090679429,1.798632687529281,[8.0],3.0,3.0,3.0,Square-face bicapped trigonal prism,4c,1,8.0,Y,0.0,True
mp-1207646,YTl(WO4)2,2.3077819742690044,0.0080267950796304,[6.0],3.0,3.0,3.0,Dodecahedron with triangular faces - p2345 plane normalized,2e,1,6.0,Y,0.0,True
mp-1207651,YMnFeO5,1.1883269829616063,1.2767095338695262,[8.0],3.0,3.0,3.0,Square-face bicapped trigonal prism,4h,1,8.0,Y,0.0,True
mp-1207659,YAg(WO4)2,2.4347440213541183,-0.0303372258033367,[8.0],3.0,3.0,3.0,Square antiprism,2g,1,8.0,Y,0.0,True
mp-1207680,YGeBiO5,2.175811249482673,0.2328509295484001,[7.0],3.0,3.0,3.0,Face-capped octahedron,8c,1,7.0,Y,0.0,True
mp-1207709,YMnGaO5,1.3263918754716422,1.0995865883233602,[8.0],3.0,3.0,3.0,Square-face bicapped trigonal prism,4h,1,8.0,Y,0.0,True
