material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Pb_wyckoff,num_Pb_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1101033,TiPb15O17,2.0311625346170863,0.4418529124025239,"[4.0, 6.0]",2.0,2.0,2.0,"Square non-coplanar, Pentagonal pyramid","1c, 2g, 2h",2,4.0,Pb,0.0,True,11.0,4.0,2.302671859103286,2.3550905278233603,2.327949773630282,0.02531221145306886,0.05241866872007428,97.16286533656888,43.59215990073554,1.2074182697257333e-06,124.23096993884921,4.0,1.0,10,"Square non-coplanar, Pentagonal pyramid"
mp-1101033,TiPb15O17,2.0311625346170863,0.4418529124025239,"[4.0, 6.0]",2.0,2.0,2.0,"Square non-coplanar, Pentagonal pyramid","1c, 2g, 2h",2,4.0,Pb,0.0,True,12.0,4.0,2.2991599128722213,2.390686770342179,2.33476484529396,0.03839402697619499,0.0915268574699577,96.89148792539645,43.58107608646439,0.0,126.47936154194444,4.0,1.0,11,"Square non-coplanar, Pentagonal pyramid"
mp-1101033,TiPb15O17,2.0311625346170863,0.4418529124025239,"[4.0, 6.0]",2.0,2.0,2.0,"Square non-coplanar, Pentagonal pyramid","1c, 2g, 2h",2,4.0,Pb,0.0,True,13.0,4.0,2.299159912872221,2.3906867703421817,2.3347648452939596,0.0383940269761959,0.09152685746996081,72.61958060504074,44.163558479710666,0.0,113.657527447091,4.0,1.0,12,"Square non-coplanar, Pentagonal pyramid"
mp-1101033,TiPb15O17,2.0311625346170863,0.4418529124025239,"[4.0, 6.0]",2.0,2.0,2.0,"Square non-coplanar, Pentagonal pyramid","1c, 2g, 2h",2,4.0,Pb,0.0,True,14.0,4.0,2.302213013101064,2.3500680244423418,2.3256003083506513,0.023399769949496996,0.0478550113412779,97.21280029396338,43.59807940625581,0.0,123.83092419211712,4.0,1.0,13,"Square non-coplanar, Pentagonal pyramid"
mp-1101033,TiPb15O17,2.0311625346170863,0.4418529124025239,"[4.0, 6.0]",2.0,2.0,2.0,"Square non-coplanar, Pentagonal pyramid","1c, 2g, 2h",2,6.0,Pb,0.0,True,6.0,6.0,2.3670624351720275,2.9953531113312555,2.5858867714778357,0.28987925351388,0.628290676159228,67.70083944081696,48.340412935947676,0.0,146.9664109632067,6.0,1.0,1,"Square non-coplanar, Pentagonal pyramid"
mp-1101033,TiPb15O17,2.0311625346170863,0.4418529124025239,"[4.0, 6.0]",2.0,2.0,2.0,"Square non-coplanar, Pentagonal pyramid","1c, 2g, 2h",2,6.0,Pb,0.0,True,15.0,6.0,2.3670624351720275,2.9953531113312577,2.5858867714778384,0.28987925351388,0.6282906761592302,67.70083944081696,48.340412935947704,0.0,146.96641096320678,6.0,1.0,2,"Square non-coplanar, Pentagonal pyramid"
mp-1101267,V3Pb2O9,2.576538971650059,0.0999132428393718,"[7.0, 9.0]",2.0,2.0,2.0,"Tricapped octahedron (cap faces are aligned), Square-face bicapped square antiprism",2i,2,7.0,Pb,0.0,True,14.0,7.0,2.441663557777678,2.8902542332495123,2.6623911044195445,0.1275535563845684,0.4485906754718343,74.2985233451504,32.500258769858405,14.994107206183873,122.94100336161516,7.0,1.0,1,"Tricapped octahedron (cap faces are aligned), Square-face bicapped square antiprism"
mp-1101267,V3Pb2O9,2.576538971650059,0.0999132428393718,"[7.0, 9.0]",2.0,2.0,2.0,"Tricapped octahedron (cap faces are aligned), Square-face bicapped square antiprism",2i,2,7.0,Pb,0.0,True,15.0,7.0,2.427816644047976,2.900928033259201,2.6686120263133484,0.13206265769684897,0.4731113892112253,93.35603633415037,37.23905689672985,18.466841755450186,170.8952839479841,7.0,1.0,2,"Tricapped octahedron (cap faces are aligned), Square-face bicapped square antiprism"
mp-1101267,V3Pb2O9,2.576538971650059,0.0999132428393718,"[7.0, 9.0]",2.0,2.0,2.0,"Tricapped octahedron (cap faces are aligned), Square-face bicapped square antiprism",2i,2,7.0,Pb,0.0,True,16.0,7.0,2.427816644047974,2.9009280332592007,2.668612026313348,0.13206265769684936,0.47311138921122664,93.35603633415037,37.23905689672985,18.46684175545017,170.89528394798407,7.0,1.0,3,"Tricapped octahedron (cap faces are aligned), Square-face bicapped square antiprism"
mp-1101267,V3Pb2O9,2.576538971650059,0.0999132428393718,"[7.0, 9.0]",2.0,2.0,2.0,"Tricapped octahedron (cap faces are aligned), Square-face bicapped square antiprism",2i,2,7.0,Pb,0.0,True,17.0,7.0,2.441663557777677,2.8902542332495114,2.6623911044195445,0.1275535563845682,0.4485906754718343,74.2985233451504,32.50025876985842,14.994107206183848,122.9410033616152,7.0,1.0,4,"Tricapped octahedron (cap faces are aligned), Square-face bicapped square antiprism"
mp-1101267,V3Pb2O9,2.576538971650059,0.0999132428393718,"[7.0, 9.0]",2.0,2.0,2.0,"Tricapped octahedron (cap faces are aligned), Square-face bicapped square antiprism",2i,2,9.0,Pb,0.0,True,12.0,9.0,2.4685540364921468,3.0001657112940667,2.7847023279059995,0.16987751789268257,0.53161167480192,64.98636560831856,32.43377020608864,12.179987629276262,147.5711753465127,9.0,1.0,1,"Tricapped octahedron (cap faces are aligned), Square-face bicapped square antiprism"
mp-1101267,V3Pb2O9,2.576538971650059,0.0999132428393718,"[7.0, 9.0]",2.0,2.0,2.0,"Tricapped octahedron (cap faces are aligned), Square-face bicapped square antiprism",2i,2,9.0,Pb,0.0,True,13.0,9.0,2.472576513177707,3.0000985514546774,2.7856211349428253,0.17857934631152944,0.5275220382769703,77.62036733072568,31.468089472654267,23.902299606205766,154.06322510170523,9.0,1.0,2,"Tricapped octahedron (cap faces are aligned), Square-face bicapped square antiprism"
mp-1101267,V3Pb2O9,2.576538971650059,0.0999132428393718,"[7.0, 9.0]",2.0,2.0,2.0,"Tricapped octahedron (cap faces are aligned), Square-face bicapped square antiprism",2i,2,9.0,Pb,0.0,True,18.0,9.0,2.4725765131777067,3.0000985514546765,2.7856211349428253,0.1785793463115292,0.5275220382769699,77.62036733072568,31.468089472654277,23.90229960620575,154.06322510170529,9.0,1.0,3,"Tricapped octahedron (cap faces are aligned), Square-face bicapped square antiprism"
mp-1101267,V3Pb2O9,2.576538971650059,0.0999132428393718,"[7.0, 9.0]",2.0,2.0,2.0,"Tricapped octahedron (cap faces are aligned), Square-face bicapped square antiprism",2i,2,9.0,Pb,0.0,True,19.0,9.0,2.4685540364921463,3.0001657112940667,2.784702327905999,0.16987751789268257,0.5316116748019204,64.98636560831856,32.43377020608864,12.179987629276262,147.5711753465127,9.0,1.0,4,"Tricapped octahedron (cap faces are aligned), Square-face bicapped square antiprism"
mp-1101724,Nb10Pb14O39,2.1080742045387924,0.4020093631076622,"[6.0, 7.0, 8.0]",2.0,2.0,2.0,"Hexagonal bipyramid, Pentagonal pyramid, Face-capped octahedron","2c, 2d, 2e",3,6.0,Pb,0.0,True,10.0,6.0,2.2023719803289943,2.876085709451057,2.5410342541282236,0.23736567253428228,0.6737137291220625,67.72724203164229,30.29381163445618,11.793807958331048,113.25334780140712,6.0,1.0,1,"Hexagonal bipyramid, Pentagonal pyramid, Face-capped octahedron"
mp-1101724,Nb10Pb14O39,2.1080742045387924,0.4020093631076622,"[6.0, 7.0, 8.0]",2.0,2.0,2.0,"Hexagonal bipyramid, Pentagonal pyramid, Face-capped octahedron","2c, 2d, 2e",3,6.0,Pb,0.0,True,16.0,6.0,2.227395145210228,2.836834776463445,2.539521885331076,0.21370209666954876,0.6094396312532173,62.06721627781949,30.269210523551205,16.02399107096962,108.72166654562109,6.0,1.0,2,"Hexagonal bipyramid, Pentagonal pyramid, Face-capped octahedron"
mp-1101724,Nb10Pb14O39,2.1080742045387924,0.4020093631076622,"[6.0, 7.0, 8.0]",2.0,2.0,2.0,"Hexagonal bipyramid, Pentagonal pyramid, Face-capped octahedron","2c, 2d, 2e",3,6.0,Pb,0.0,True,17.0,6.0,2.202371980328997,2.8760857094510555,2.5410342541282245,0.2373656725342812,0.6737137291220585,67.7272420316423,30.293811634456194,11.793807958331017,113.25334780140714,6.0,1.0,3,"Hexagonal bipyramid, Pentagonal pyramid, Face-capped octahedron"
mp-1101724,Nb10Pb14O39,2.1080742045387924,0.4020093631076622,"[6.0, 7.0, 8.0]",2.0,2.0,2.0,"Hexagonal bipyramid, Pentagonal pyramid, Face-capped octahedron","2c, 2d, 2e",3,6.0,Pb,0.0,True,23.0,6.0,2.2273951452102274,2.8368347764634425,2.5395218853310753,0.2137020966695483,0.6094396312532151,62.067216277819504,30.269210523551205,16.023991070969643,108.72166654562116,6.0,1.0,4,"Hexagonal bipyramid, Pentagonal pyramid, Face-capped octahedron"
mp-1101724,Nb10Pb14O39,2.1080742045387924,0.4020093631076622,"[6.0, 7.0, 8.0]",2.0,2.0,2.0,"Hexagonal bipyramid, Pentagonal pyramid, Face-capped octahedron","2c, 2d, 2e",3,7.0,Pb,0.0,True,11.0,7.0,2.3292997141508733,2.851377812354567,2.6910166850013977,0.16412540701301612,0.5220780982036937,73.14472664498346,37.61803130810164,1.3163129384596508,127.50151508499245,7.0,1.0,1,"Hexagonal bipyramid, Pentagonal pyramid, Face-capped octahedron"
mp-1101724,Nb10Pb14O39,2.1080742045387924,0.4020093631076622,"[6.0, 7.0, 8.0]",2.0,2.0,2.0,"Hexagonal bipyramid, Pentagonal pyramid, Face-capped octahedron","2c, 2d, 2e",3,7.0,Pb,0.0,True,12.0,7.0,2.2562135722370638,3.0469107079781064,2.7009098671215037,0.25463348903137467,0.7906971357410426,78.20541897394685,56.12399919940455,3.1244338063719406,173.0653997810644,7.0,1.0,2,"Hexagonal bipyramid, Pentagonal pyramid, Face-capped octahedron"
mp-1101724,Nb10Pb14O39,2.1080742045387924,0.4020093631076622,"[6.0, 7.0, 8.0]",2.0,2.0,2.0,"Hexagonal bipyramid, Pentagonal pyramid, Face-capped octahedron","2c, 2d, 2e",3,7.0,Pb,0.0,True,13.0,7.0,2.256213572237065,3.0469107079781064,2.700909867121504,0.25463348903137417,0.7906971357410413,64.1255498204447,47.42073381373646,3.1244338063719406,126.62498613121717,7.0,1.0,3,"Hexagonal bipyramid, Pentagonal pyramid, Face-capped octahedron"
mp-1101724,Nb10Pb14O39,2.1080742045387924,0.4020093631076622,"[6.0, 7.0, 8.0]",2.0,2.0,2.0,"Hexagonal bipyramid, Pentagonal pyramid, Face-capped octahedron","2c, 2d, 2e",3,7.0,Pb,0.0,True,14.0,7.0,2.235339149521563,2.795457985429834,2.6778872837200476,0.1843262547722879,0.5601188359082712,102.53874123421477,37.84000841986008,60.99938465264089,178.87970722711188,7.0,1.0,4,"Hexagonal bipyramid, Pentagonal pyramid, Face-capped octahedron"
mp-1101724,Nb10Pb14O39,2.1080742045387924,0.4020093631076622,"[6.0, 7.0, 8.0]",2.0,2.0,2.0,"Hexagonal bipyramid, Pentagonal pyramid, Face-capped octahedron","2c, 2d, 2e",3,7.0,Pb,0.0,True,15.0,7.0,2.329299714150874,2.851377812354566,2.6910166850013977,0.16412540701301584,0.5220780982036923,73.14472664498346,37.61803130810164,1.3163129384596508,127.50151508499245,7.0,1.0,5,"Hexagonal bipyramid, Pentagonal pyramid, Face-capped octahedron"
mp-1101724,Nb10Pb14O39,2.1080742045387924,0.4020093631076622,"[6.0, 7.0, 8.0]",2.0,2.0,2.0,"Hexagonal bipyramid, Pentagonal pyramid, Face-capped octahedron","2c, 2d, 2e",3,7.0,Pb,0.0,True,19.0,7.0,2.235339149521565,2.7954579854298336,2.677887283720048,0.18432625477228715,0.5601188359082685,93.03202028950363,36.88921248454407,12.818898089233965,178.12733549948928,7.0,1.0,6,"Hexagonal bipyramid, Pentagonal pyramid, Face-capped octahedron"
mp-1101724,Nb10Pb14O39,2.1080742045387924,0.4020093631076622,"[6.0, 7.0, 8.0]",2.0,2.0,2.0,"Hexagonal bipyramid, Pentagonal pyramid, Face-capped octahedron","2c, 2d, 2e",3,7.0,Pb,0.0,True,20.0,7.0,2.3317663482557105,3.0638930690294135,2.696890781264088,0.25712650645014057,0.732126720773703,79.06913661838745,56.57002262488436,3.0911931952449407,173.41402663117583,7.0,1.0,7,"Hexagonal bipyramid, Pentagonal pyramid, Face-capped octahedron"
mp-1101724,Nb10Pb14O39,2.1080742045387924,0.4020093631076622,"[6.0, 7.0, 8.0]",2.0,2.0,2.0,"Hexagonal bipyramid, Pentagonal pyramid, Face-capped octahedron","2c, 2d, 2e",3,7.0,Pb,0.0,True,21.0,7.0,2.33176634825571,3.063893069029415,2.6968907812640883,0.2571265064501411,0.7321267207737048,68.42772882615034,48.25056468654313,3.0911931952449407,139.31412132551068,7.0,1.0,8,"Hexagonal bipyramid, Pentagonal pyramid, Face-capped octahedron"
mp-1101724,Nb10Pb14O39,2.1080742045387924,0.4020093631076622,"[6.0, 7.0, 8.0]",2.0,2.0,2.0,"Hexagonal bipyramid, Pentagonal pyramid, Face-capped octahedron","2c, 2d, 2e",3,8.0,Pb,0.0,True,18.0,8.0,2.4736168694930565,2.844311359641116,2.6976888040766243,0.13669722790477698,0.37069449014805933,91.71617606661566,39.08617542264871,1.4040171270833688,176.5706051443609,8.0,1.0,1,"Hexagonal bipyramid, Pentagonal pyramid, Face-capped octahedron"
mp-1101724,Nb10Pb14O39,2.1080742045387924,0.4020093631076622,"[6.0, 7.0, 8.0]",2.0,2.0,2.0,"Hexagonal bipyramid, Pentagonal pyramid, Face-capped octahedron","2c, 2d, 2e",3,8.0,Pb,0.0,True,22.0,8.0,2.4736168694930565,2.8443113596411163,2.6976888040766243,0.1366972279047771,0.3706944901480598,91.71617606661565,39.086175422648694,1.4040171270833688,176.5706051443608,8.0,1.0,2,"Hexagonal bipyramid, Pentagonal pyramid, Face-capped octahedron"
mp-1105235,BH(PbO2)2,2.2641515391608364,0.0913762510587356,[3.0],2.0,2.0,2.0,"Triangular non-coplanar, Octahedron",2i,2,3.0,Pb,0.0,True,4.0,3.0,2.247253592065303,2.317062828956175,2.293793083325884,0.03290838986332883,0.06980923689087204,53.047047262650004,18.403003560413914,27.02127003911228,66.05993587441885,3.0,1.0,1,"Triangular non-coplanar, Octahedron"
mp-1105235,BH(PbO2)2,2.2641515391608364,0.0913762510587356,[3.0],2.0,2.0,2.0,"Triangular non-coplanar, Octahedron",2i,2,3.0,Pb,0.0,True,5.0,3.0,2.2472535920653014,2.3170628289561743,2.2937930833258835,0.03290838986332946,0.06980923689087293,16.808655462460084,4.779214154161361,13.42924072530984,23.56748493676054,3.0,1.0,2,"Triangular non-coplanar, Octahedron"
mp-1105390,Mn7PbO12,3.14946326953744,-0.2255979030208985,[12.0],2.0,2.0,2.0,Icosahedron,1a,1,12.0,Pb,0.0,True,7.0,12.0,2.7085830326493636,2.776774460354065,2.7426787324443676,0.03409563544185998,0.06819142770470155,54.91577322444303,21.73361720726753,14.385767384760713,98.41359480650819,12.0,1.0,1,Icosahedron
mp-1105409,YSb(PbO3)2,2.1270190898932286,0.6806677955860261,[4.0],2.0,2.0,2.0,Square-face bicapped square antiprism,4f,1,4.0,Pb,0.0,True,,,,,,,,,,,,,,0,Square-face bicapped square antiprism
mp-1105700,TePb2O5,2.7426629005978747,0.0757597692317965,[7.0],2.0,2.0,2.0,Pentagonal bipyramid,4f,1,7.0,Pb,0.0,True,2.0,7.0,2.3853420361559867,3.013169116345546,2.6379231492509345,0.2233568202413124,0.6278270801895594,89.60348954052013,33.95019538556986,18.492216543878413,156.53974637131932,7.0,1.0,1,Pentagonal bipyramid
mp-1105700,TePb2O5,2.7426629005978747,0.0757597692317965,[7.0],2.0,2.0,2.0,Pentagonal bipyramid,4f,1,7.0,Pb,0.0,True,3.0,7.0,2.385331429055525,3.0131669088217468,2.6379220398722265,0.2233588055413419,0.6278354797662216,48.67644860704433,19.25363966394597,18.077726659039673,89.65199231389488,7.0,1.0,2,Pentagonal bipyramid
mp-1105700,TePb2O5,2.7426629005978747,0.0757597692317965,[7.0],2.0,2.0,2.0,Pentagonal bipyramid,4f,1,7.0,Pb,0.0,True,4.0,7.0,2.3853420361559867,3.013169116345546,2.6379231492509336,0.22335682024131212,0.6278270801895594,89.60348954052013,33.950195385569856,18.492216543878413,156.53974637131927,7.0,1.0,3,Pentagonal bipyramid
mp-1105700,TePb2O5,2.7426629005978747,0.0757597692317965,[7.0],2.0,2.0,2.0,Pentagonal bipyramid,4f,1,7.0,Pb,0.0,True,5.0,7.0,2.385331429055524,3.0131669088217468,2.6379220398722265,0.22335880554134246,0.6278354797662229,48.67644860704435,19.25363966394598,18.077726659039715,89.65199231389494,7.0,1.0,4,Pentagonal bipyramid
mp-1106215,TiPbO3,2.087747135226838,0.4786253624583573,[5.0],2.0,2.0,2.0,Square pyramid,4h,1,5.0,Pb,0.0,True,4.0,5.0,2.233063612645334,2.5912643462796447,2.461420400937149,0.13054703839589785,0.3582007336343107,48.43247394696178,26.26277931855042,0.0,80.12154482142476,5.0,1.0,1,Square pyramid
