material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Pb_wyckoff,num_Pb_chemenvs,CN,element,charge_range,is_single_charge
mp-1192421,B2Pb2O5,1.9836991952733047,0.5392041203867318,"[3.0, 4.0, 5.0, 6.0]",2.0,2.0,2.0,"Square-face capped trigonal prism, Square pyramid, Octahedron, Trigonal prism, Trigonal bipyramid",1a,5,6.0,Pb,0.0,True
mp-1192446,Pb2SeN2O9,2.029572463195494,0.4923756650367701,"[10.0, 8.0]",2.0,2.0,2.0,"Bicapped square prism (opposite faces), Bicapped octahedron (cap faces with one atom in common)",2a,2,10.0,Pb,0.0,True
mp-1192446,Pb2SeN2O9,2.029572463195494,0.4923756650367701,"[10.0, 8.0]",2.0,2.0,2.0,"Bicapped square prism (opposite faces), Bicapped octahedron (cap faces with one atom in common)",2a,2,8.0,Pb,0.0,True
mp-1192530,CsPPbO4,0.2446757442450859,2.067190535210877,[7.0],2.0,2.0,2.0,Pentagonal bipyramid,4c,1,7.0,Pb,0.0,True
mp-1192537,Nb2PbO6,2.418769685056608,0.1777182694985202,"[12.0, 3.0]",2.0,2.0,2.0,"Triangular non-coplanar, Cuboctahedron",1a,2,12.0,Pb,0.0,True
mp-1192537,Nb2PbO6,2.418769685056608,0.1777182694985202,"[12.0, 3.0]",2.0,2.0,2.0,"Triangular non-coplanar, Cuboctahedron",1a,2,3.0,Pb,0.0,True
mp-1192566,VPb2Se2ClO8,2.767070678317759,-0.0083740824056694,"[6.0, 7.0]",2.0,2.0,2.0,"Square-face capped square prism, Square-face bicapped trigonal prism",2a,2,6.0,Pb,0.0,True
mp-1192566,VPb2Se2ClO8,2.767070678317759,-0.0083740824056694,"[6.0, 7.0]",2.0,2.0,2.0,"Square-face capped square prism, Square-face bicapped trigonal prism",2a,2,7.0,Pb,0.0,True
mp-1192704,MnV2HPb2O9,2.265078043018213,0.3628779104282402,"[11.0, 8.0]",2.0,2.0,2.0,"Hendecahedron, Bicapped octahedron (opposed cap faces)",2e,2,11.0,Pb,0.0,True
mp-1192704,MnV2HPb2O9,2.265078043018213,0.3628779104282402,"[11.0, 8.0]",2.0,2.0,2.0,"Hendecahedron, Bicapped octahedron (opposed cap faces)",2e,2,8.0,Pb,0.0,True
