material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,C_wyckoff,num_C_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1176329,Na5Ni2P(CO4)4,1.4158500496284174,0.4230370580779289,[3.0],4.0,4.0,4.0,Trigonal plane,4f,1,3.0,C,0.0,True,18.0,3.0,1.2845570026062165,1.302370965490644,1.2948650156476347,0.0075375940917442475,0.01781396288442738,92.7310970603235,20.692058569726466,68.91004828995403,119.36100181253609,3.0,1.0,2,Trigonal plane
mp-1176329,Na5Ni2P(CO4)4,1.4158500496284174,0.4230370580779289,[3.0],4.0,4.0,4.0,Trigonal plane,4f,1,3.0,C,0.0,True,20.0,3.0,1.2845570026062174,1.302370965490642,1.2948650156476342,0.007537594091743207,0.017813962884424495,92.73109706032353,20.69205856972644,68.91004828995406,119.36100181253607,3.0,1.0,3,Trigonal plane
mp-1176329,Na5Ni2P(CO4)4,1.4158500496284174,0.4230370580779289,[3.0],4.0,4.0,4.0,Trigonal plane,4f,1,3.0,C,0.0,True,23.0,3.0,1.2845570026062174,1.3023709654906432,1.2948650156476351,0.007537594091743759,0.017813962884425827,119.98864002725709,0.7107776970456072,119.36100181253617,120.98242979978822,3.0,1.0,4,Trigonal plane
mp-1176341,Na5Mn2P2(CO7)2,1.4491412396729466,0.5185222128559159,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1176343,Na5LiFe2P2(CO7)2,1.3757601183023804,0.2639749994145517,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1176345,Na5Fe2P2(CO7)2,1.46387531987078,0.5701121564493601,[3.0],4.0,4.0,4.0,Trigonal plane,2i,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1176347,Na5Fe2P2(CO7)2,1.4898334102134918,0.6635039556785103,[3.0],4.0,4.0,4.0,Trigonal plane,2i,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1176348,Na5Fe2P2(CO7)2,1.457708354407956,0.5494900257256692,[3.0],4.0,4.0,4.0,Trigonal plane,2i,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1176351,Na3Li3Fe2P2(CO7)2,1.334642868116831,0.1225165713801746,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1176352,Na5Mn2P2(CO7)2,1.4403772452465469,0.4879105056434935,[3.0],4.0,4.0,4.0,Trigonal plane,2i,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1176354,Na3Li3Fe2P2(CO7)2,1.3550426667791078,0.1865850099330242,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1176357,Na5Mn2P2(CO7)2,1.4465762263172524,0.5159238975671308,[3.0],4.0,4.0,4.0,Trigonal plane,"1b, 1a",1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1176362,Na3Li3Fe2P2(CO7)2,1.3614252954690058,0.2132618402275317,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,21.0,3.0,1.2944818910357447,1.3095167037740054,1.3015661374903609,0.006168429354558424,0.015034812738260683,79.48433324793147,30.93177065348527,43.59844161326435,119.09092926158272,3.0,1.0,1,Trigonal plane
mp-1176364,Na3Li3Fe2P2(CO7)2,1.33024684232178,0.0984438590013055,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1176367,Na3Li3Mn2P2(CO7)2,1.322227722723846,0.0707561672652578,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,21.0,3.0,1.2937835036452467,1.314759957108079,1.303001320964819,0.008750036959567522,0.02097645346283228,79.74458627261792,31.698030488367348,41.82183570779561,119.40732497536689,3.0,1.0,1,Trigonal plane
mp-1176370,Na5Co2P(CO4)4,1.461552933479778,0.5716491009654281,[3.0],4.0,4.0,4.0,"Octahedron, Trigonal plane",4b,2,3.0,C,0.0,True,16.0,3.0,1.2894375393683468,1.304111551379527,1.2947169280286162,0.00665998120844986,0.014674012011180126,91.3216318290108,23.052192115734034,63.67854231031548,120.10980758558402,3.0,1.0,1,"Octahedron, Trigonal plane"
mp-1176370,Na5Co2P(CO4)4,1.461552933479778,0.5716491009654281,[3.0],4.0,4.0,4.0,"Octahedron, Trigonal plane",4b,2,3.0,C,0.0,True,17.0,3.0,1.2894375400333524,1.3041155282857932,1.2947150020382185,0.006663861685580676,0.014677988252440821,119.97431075025781,0.5198253422737129,119.28078782832434,120.53225234113646,3.0,1.0,2,"Octahedron, Trigonal plane"
mp-1176370,Na5Co2P(CO4)4,1.461552933479778,0.5716491009654281,[3.0],4.0,4.0,4.0,"Octahedron, Trigonal plane",4b,2,3.0,C,0.0,True,20.0,3.0,1.289437540033351,1.3041155282857935,1.2947150020382177,0.006663861685581361,0.014677988252442375,92.53408349739966,52.68021102461103,18.8088115947125,138.68354681617384,3.0,1.0,3,"Octahedron, Trigonal plane"
mp-1176370,Na5Co2P(CO4)4,1.461552933479778,0.5716491009654281,[3.0],4.0,4.0,4.0,"Octahedron, Trigonal plane",4b,2,3.0,C,0.0,True,21.0,3.0,1.2894375393683484,1.3041115513795236,1.2947169280286157,0.0066599812084478845,0.014674012011175241,119.9743038356164,0.5196326583093985,119.28104720471055,120.53205671655459,3.0,1.0,4,"Octahedron, Trigonal plane"
mp-1176372,Na3Mn2P2(CO7)2,1.4154029937719803,0.4219681815341912,[3.0],4.0,4.0,4.0,Trigonal plane,2i,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1176374,Na4Ni2C4SO16,1.363571742899056,0.248930505615854,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,13.0,3.0,1.2810491167009275,1.2964879336280368,1.2876122729456883,0.006511529498133651,0.015438816927109356,119.98359048079111,0.9685493628434892,119.04825384934368,121.31785607426339,3.0,1.0,1,Trigonal plane
mp-1176374,Na4Ni2C4SO16,1.363571742899056,0.248930505615854,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,14.0,3.0,1.2875036576830121,1.295903569895266,1.292414190940021,0.003573456865600309,0.00839991221225378,119.9840865028471,0.7693156697266343,119.09412967120318,120.97105433543672,3.0,1.0,2,Trigonal plane
mp-1176376,Na3Mn2P2(CO7)2,1.4039949253886923,0.3883832116677684,[3.0],4.0,4.0,4.0,Trigonal plane,2a,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1176379,Na3Mn2P2(CO7)2,1.3781164572675506,0.2953905076186689,[3.0],4.0,4.0,4.0,Trigonal plane,2a,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1176381,Na2LiFePCO7,1.359305372875235,0.1990821767335296,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1176385,Na2MnPCO7,1.4701289625874905,0.6099744110788483,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1176390,Na2MnPCO7,1.46908494253985,0.6054260863873979,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1176391,Na2MnPCO7,1.4124270969372863,0.4104791436789295,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1176392,Na2LiFePCO7,1.373954833281692,0.2556206195705575,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1176394,Na2MnPCO7,1.4172188280693647,0.4259148225067508,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1176395,Na2MnPCO7,1.4721300714505583,0.6151079776498355,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1176399,Na2FePCO7,1.4577938818466307,0.5614497401545855,[3.0],4.0,4.0,4.0,Trigonal plane,2e,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1176400,Na2LiFePCO7,1.3442334091242425,0.1491494774676653,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,20.0,3.0,1.3004703899394114,1.3067365250087586,1.3035867889579669,0.0025582475375556446,0.006266135069347145,79.82481062364376,30.991370941266766,43.910146137642855,119.53760805064522,3.0,1.0,1,Trigonal plane
mp-1176402,Na2NiPCO7,1.361046592472888,0.2529605618641186,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1176404,Na2CuCSO7,1.467961879336359,0.6094440455449275,[3.0],4.0,4.0,4.0,"Octahedron, Trigonal plane",2e,2,3.0,C,0.0,True,6.0,3.0,1.2568696466107687,1.3150373028578028,1.2931835002574539,0.02585457877585406,0.05816765624703413,75.05272078864597,26.565996418856873,54.72191332181395,112.57908118296896,3.0,1.0,1,"Octahedron, Trigonal plane"
mp-1176404,Na2CuCSO7,1.467961879336359,0.6094440455449275,[3.0],4.0,4.0,4.0,"Octahedron, Trigonal plane",2e,2,3.0,C,0.0,True,7.0,3.0,1.2568696466107678,1.3150373028578037,1.2931835002574534,0.025854578775854606,0.058167656247035904,75.05272078864594,26.565996418856862,54.721913321813936,112.57908118296892,3.0,1.0,2,"Octahedron, Trigonal plane"
mp-1176405,Na2FePCO7,1.4731917621841637,0.6080483884540308,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
mp-1176409,Na2MnPCO7,1.4116447931190854,0.4035806185739915,[3.0],4.0,4.0,4.0,Trigonal plane,1a,1,3.0,C,0.0,True,,,,,,,,,,,,,,0,Trigonal plane
