material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Zn_wyckoff,num_Zn_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-2714687,Na2Ti3Zn5(SO4)12,1.847312710464277,0.2087554607249134,[6.0],2.0,2.0,2.0,Octahedron,1a,1,6.0,Zn,0.0,True,22.0,6.0,2.0260248797939973,2.086393663741212,2.0587926808733354,0.023413754374873377,0.06036878394721468,49.477087123924896,24.611679477527904,7.967419114192485,85.59467809163651,6.0,1.0,8,Octahedron
mp-2714687,Na2Ti3Zn5(SO4)12,1.847312710464277,0.2087554607249134,[6.0],2.0,2.0,2.0,Octahedron,1a,1,6.0,Zn,0.0,True,23.0,6.0,2.0177063660128076,2.121160119443108,2.0768815976592703,0.03323654583121405,0.10345375343030039,48.686794386640564,24.130681773748194,8.08293350477876,84.46305963561728,6.0,1.0,9,Octahedron
mp-2714687,Na2Ti3Zn5(SO4)12,1.847312710464277,0.2087554607249134,[6.0],2.0,2.0,2.0,Octahedron,1a,1,6.0,Zn,0.0,True,24.0,6.0,2.002882572976295,2.1586131920015776,2.082267154666874,0.05404943877083286,0.15573061902528273,105.3399108015158,31.694756066293543,81.16191157458817,167.98264966673855,6.0,1.0,10,Octahedron
mp-2714687,Na2Ti3Zn5(SO4)12,1.847312710464277,0.2087554607249134,[6.0],2.0,2.0,2.0,Octahedron,1a,1,6.0,Zn,0.0,True,25.0,6.0,2.014168699388698,2.135166642480591,2.0704930912843644,0.04598155745090632,0.12099794309189305,105.79867909895535,32.34275222681563,82.24170265250726,169.99271393355156,6.0,1.0,11,Octahedron
mp-2714687,Na2Ti3Zn5(SO4)12,1.847312710464277,0.2087554607249134,[6.0],2.0,2.0,2.0,Octahedron,1a,1,6.0,Zn,0.0,True,26.0,6.0,2.0291935237839622,2.1397639466741407,2.077656074737401,0.03391975566506482,0.11057042289017849,106.72159177523764,33.770184777220884,84.41658378629828,177.29047895142546,6.0,1.0,12,Octahedron
mp-2714687,Na2Ti3Zn5(SO4)12,1.847312710464277,0.2087554607249134,[6.0],2.0,2.0,2.0,Octahedron,1a,1,6.0,Zn,0.0,True,27.0,6.0,2.026727723189535,2.0900055208275705,2.058874278000844,0.026344666248678508,0.06327779763803543,106.99795535475174,34.19303819510192,84.69875184751945,176.65948581553192,6.0,1.0,13,Octahedron
mp-2714687,Na2Ti3Zn5(SO4)12,1.847312710464277,0.2087554607249134,[6.0],2.0,2.0,2.0,Octahedron,1a,1,6.0,Zn,0.0,True,28.0,6.0,2.017263216195293,2.1013016174940335,2.0542770643143355,0.02611199483779568,0.08403840129874052,107.4053924494687,34.87805908257544,87.26637877306554,178.48434359101532,6.0,1.0,14,Octahedron
mp-2714687,Na2Ti3Zn5(SO4)12,1.847312710464277,0.2087554607249134,[6.0],2.0,2.0,2.0,Octahedron,1a,1,6.0,Zn,0.0,True,29.0,6.0,2.031617997044045,2.097806119244812,2.070589586352391,0.023091082930314352,0.0661881222007672,107.28547729451732,34.65269229700993,87.00055092865227,177.92840475975234,6.0,1.0,15,Octahedron
mp-2714689,NaZnGa3(SO4)6,1.888528386857541,0.1571170860288038,[6.0],2.0,2.0,2.0,Octahedron,"1c, 1a",1,6.0,Zn,0.0,True,3.0,6.0,2.048430807132286,2.0689164161010725,2.0586736192260866,0.010242769708064918,0.020485608968786373,59.923749922801576,26.34506354932605,22.349410391626765,111.5990505220174,6.0,1.0,1,Octahedron
mp-2714689,NaZnGa3(SO4)6,1.888528386857541,0.1571170860288038,[6.0],2.0,2.0,2.0,Octahedron,"1c, 1a",1,6.0,Zn,0.0,True,4.0,6.0,2.038889671190287,2.0901444802141724,2.064517075226323,0.025627382160311303,0.05125480902388535,60.007012634403445,26.637802354315465,22.729146593249162,110.20859688990788,6.0,1.0,2,Octahedron
mp-2714689,NaZnGa3(SO4)6,1.888528386857541,0.1571170860288038,[6.0],2.0,2.0,2.0,Octahedron,"1c, 1a",1,6.0,Zn,0.0,True,5.0,6.0,2.0404510395175057,2.087847399621825,2.064149345335508,0.023695126213591922,0.047396360104319246,47.59270822051153,23.56111194397575,8.151432551662094,81.93417546593014,6.0,1.0,3,Octahedron
mp-2714694,Na2Zn2(SO4)3,1.6351090366636272,0.4257119142406533,[6.0],2.0,2.0,2.0,Octahedron,12f,1,6.0,Zn,0.0,True,12.0,6.0,2.0028699085386585,2.181572786732882,2.106825819964843,0.06407948377615594,0.17870287819422348,61.32997783528518,27.50819556964856,22.192187291455976,115.7312817432163,6.0,1.0,1,Octahedron
mp-2714694,Na2Zn2(SO4)3,1.6351090366636272,0.4257119142406533,[6.0],2.0,2.0,2.0,Octahedron,12f,1,6.0,Zn,0.0,True,13.0,6.0,2.002869916507358,2.1815727986958766,2.1068258208631128,0.06407949232467151,0.1787028821885186,61.32997817527396,27.50819576094683,22.192187166488043,115.73128132009235,6.0,1.0,2,Octahedron
mp-2714694,Na2Zn2(SO4)3,1.6351090366636272,0.4257119142406533,[6.0],2.0,2.0,2.0,Octahedron,12f,1,6.0,Zn,0.0,True,14.0,6.0,2.002869908538659,2.181572786732881,2.106825819964841,0.0640794837761562,0.17870287819422215,61.32997783528518,27.50819556964857,22.19218729145594,115.73128174321633,6.0,1.0,3,Octahedron
mp-2714694,Na2Zn2(SO4)3,1.6351090366636272,0.4257119142406533,[6.0],2.0,2.0,2.0,Octahedron,12f,1,6.0,Zn,0.0,True,15.0,6.0,2.0028699165073567,2.1815727986958784,2.1068258208631123,0.06407949232467239,0.1787028821885217,61.32997817527395,27.50819576094683,22.192187166488026,115.7312813200923,6.0,1.0,4,Octahedron
mp-2714694,Na2Zn2(SO4)3,1.6351090366636272,0.4257119142406533,[6.0],2.0,2.0,2.0,Octahedron,12f,1,6.0,Zn,0.0,True,16.0,6.0,2.00286990853866,2.1815727867328834,2.106825819964843,0.06407948377615635,0.17870287819422348,105.40784358479715,31.882686113761963,79.33990589998562,170.61916152655388,6.0,1.0,5,Octahedron
mp-2714694,Na2Zn2(SO4)3,1.6351090366636272,0.4257119142406533,[6.0],2.0,2.0,2.0,Octahedron,12f,1,6.0,Zn,0.0,True,17.0,6.0,2.002869916507357,2.1815727986958793,2.1068258208631128,0.06407949232467285,0.17870288218852215,105.40784358985738,31.882686144179175,79.33990378479903,170.61916165638604,6.0,1.0,6,Octahedron
mp-2714694,Na2Zn2(SO4)3,1.6351090366636272,0.4257119142406533,[6.0],2.0,2.0,2.0,Octahedron,12f,1,6.0,Zn,0.0,True,18.0,6.0,2.00286990853866,2.1815727867328794,2.106825819964842,0.06407948377615559,0.17870287819421948,47.86385039112015,23.69256391092669,8.172895322137041,84.5951572314382,6.0,1.0,7,Octahedron
mp-2714694,Na2Zn2(SO4)3,1.6351090366636272,0.4257119142406533,[6.0],2.0,2.0,2.0,Octahedron,12f,1,6.0,Zn,0.0,True,19.0,6.0,2.002869916507358,2.1815727986958797,2.1068258208631137,0.06407949232467239,0.1787028821885217,105.40784358985736,31.882686144179186,79.33990378479902,170.61916165638604,6.0,1.0,8,Octahedron
mp-2714694,Na2Zn2(SO4)3,1.6351090366636272,0.4257119142406533,[6.0],2.0,2.0,2.0,Octahedron,12f,1,6.0,Zn,0.0,True,20.0,6.0,2.002869908538658,2.181572786732881,2.106825819964842,0.06407948377615627,0.17870287819422304,47.86385039112012,23.692563910926676,8.172895322137041,84.59515723143815,6.0,1.0,9,Octahedron
mp-2714694,Na2Zn2(SO4)3,1.6351090366636272,0.4257119142406533,[6.0],2.0,2.0,2.0,Octahedron,12f,1,6.0,Zn,0.0,True,21.0,6.0,2.002869916507356,2.18157279869588,2.1068258208631128,0.06407949232467339,0.17870288218852437,105.40784358985736,31.882686144179154,79.33990378479903,170.61916165638596,6.0,1.0,10,Octahedron
mp-2714694,Na2Zn2(SO4)3,1.6351090366636272,0.4257119142406533,[6.0],2.0,2.0,2.0,Octahedron,12f,1,6.0,Zn,0.0,True,22.0,6.0,2.0028699085386608,2.1815727867328807,2.1068258199648424,0.06407948377615527,0.17870287819421993,105.40784358479719,31.882686113762013,79.3399058999857,170.61916152655405,6.0,1.0,11,Octahedron
mp-2714694,Na2Zn2(SO4)3,1.6351090366636272,0.4257119142406533,[6.0],2.0,2.0,2.0,Octahedron,12f,1,6.0,Zn,0.0,True,23.0,6.0,2.002869916507357,2.181572798695879,2.106825820863112,0.06407949232467217,0.1787028821885217,105.40784358985738,31.88268614417916,79.33990378479898,170.61916165638596,6.0,1.0,12,Octahedron
mp-2714703,NaLa3Zn(SO4)6,1.4820030596639169,0.6273273804595122,[6.0],2.0,2.0,2.0,Octahedron,"1c, 1a",1,6.0,Zn,0.0,True,12.0,6.0,2.126216422896398,2.160324761827329,2.1432705864054173,0.017054141277172467,0.034108338930931126,60.65832776828618,26.693340113751905,20.924180241721466,113.4778014510906,6.0,1.0,1,Octahedron
mp-2714703,NaLa3Zn(SO4)6,1.4820030596639169,0.6273273804595122,[6.0],2.0,2.0,2.0,Octahedron,"1c, 1a",1,6.0,Zn,0.0,True,13.0,6.0,2.089268580204443,2.296727784756001,2.192998203844652,0.10372956277945876,0.20745920455155797,61.73228879972326,27.412858173391275,21.310256861638205,115.99213451814305,6.0,1.0,2,Octahedron
mp-2714703,NaLa3Zn(SO4)6,1.4820030596639169,0.6273273804595122,[6.0],2.0,2.0,2.0,Octahedron,"1c, 1a",1,6.0,Zn,0.0,True,14.0,6.0,2.1007265717902035,2.2852305738456167,2.1929786290154887,0.09224843827275997,0.18450400205541317,47.088102011480366,23.601464289962255,7.407246134356834,81.35565987362261,6.0,1.0,3,Octahedron
mp-2714706,Na6Ti7Zn(PO4)12,1.730974523510086,0.307729319987727,[6.0],2.0,2.0,2.0,no_data,no_data,1,6.0,Zn,0.0,True,39.0,6.0,1.9512616655195794,2.220510203114854,2.081934117135227,0.09092845974649572,0.26924853759527445,104.25484152602752,30.599722771121538,78.28858789992934,166.84341751826815,6.0,1.0,1,no_data
mp-2714706,Na6Ti7Zn(PO4)12,1.730974523510086,0.307729319987727,[6.0],2.0,2.0,2.0,no_data,no_data,1,6.0,Zn,0.0,True,40.0,6.0,1.9518538502667762,2.2196154671191937,2.08213384041888,0.0904909021294762,0.2677616168524175,104.25457203894462,30.599384140356882,78.35010509647869,166.8113444487327,6.0,1.0,2,no_data
mp-2714706,Na6Ti7Zn(PO4)12,1.730974523510086,0.307729319987727,[6.0],2.0,2.0,2.0,no_data,no_data,1,6.0,Zn,0.0,True,41.0,6.0,1.952715160011746,2.201013513373791,2.0802045025053446,0.08073061083417171,0.2482983533620451,104.63487110961695,30.999069492834014,79.2962928149409,168.38997315288492,6.0,1.0,3,no_data
mp-2714707,NaAl3Zn(SO4)6,1.8772136028238773,0.164332567128241,[6.0],2.0,2.0,2.0,Octahedron,"1c, 1a",1,6.0,Zn,0.0,True,12.0,6.0,2.0489569651140815,2.062650118017749,2.0558035390779774,0.006846552695957721,0.01369315290366746,59.51049965181481,26.151049811668543,22.80378146620145,110.26688344809835,6.0,1.0,1,Octahedron
