material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Zn_wyckoff,num_Zn_chemenvs,CN,element,charge_range,is_single_charge
mp-1042827,Zn2Co3O8,1.80204805105704,0.2492637976279104,"[4.0, 6.0]",2.0,2.0,2.0,"Tetrahedron, Octahedron",2b,2,6.0,Zn,0.0,True
mp-1043166,ZnNi(GeO3)2,1.6217548225829934,0.4830252141376172,[6.0],2.0,2.0,2.0,Octahedron,2e,1,6.0,Zn,0.0,True
mp-1043196,ZnCo(GeO3)2,1.5097473908600805,0.7373792434969842,[4.0],2.0,2.0,2.0,See-saw,4i,1,4.0,Zn,0.0,True
mp-1043305,ZnNi(GeO3)2,1.5620836545483012,0.5444447268614406,[6.0],2.0,2.0,2.0,Octahedron,4e,1,6.0,Zn,0.0,True
mp-1043317,ZnCo(GeO3)2,1.5085077400594764,0.6044542041972429,[6.0],2.0,2.0,2.0,Octahedron,4e,1,6.0,Zn,0.0,True
mp-1043445,MnZn(GeO3)2,1.5032678765078908,0.7266613922189494,[4.0],2.0,2.0,2.0,See-saw,2i,1,4.0,Zn,0.0,True
mp-1043588,ZnFe(GeO3)2,1.1312224972867744,0.985474878713293,[6.0],2.0,2.0,2.0,Octahedron,4e,1,6.0,Zn,0.0,True
mp-1043811,ZnFe(GeO3)2,1.615659692694965,0.5098065648521898,[6.0],2.0,2.0,2.0,Octahedron,4e,1,6.0,Zn,0.0,True
mp-1044197,VZnBiO5,2.168441855840787,-0.0180546098095403,[6.0],2.0,2.0,2.0,Octahedron,4e,1,6.0,Zn,0.0,True
mp-1044245,MnZn(GeO3)2,1.4016687480197794,0.7164708540860221,[6.0],2.0,2.0,2.0,Octahedron,4e,1,6.0,Zn,0.0,True
mp-1044279,TiZnFe(PO4)3,1.9439404972582053,0.1827188425350052,[6.0],2.0,2.0,2.0,Octahedron,2a,1,6.0,Zn,0.0,True
mp-1044311,TiZnCr(PO4)3,2.089673015213589,0.0928100078582503,[6.0],2.0,2.0,2.0,Octahedron,2a,1,6.0,Zn,0.0,True
mp-1044316,TiMnZn(PO4)3,2.062180663015482,0.1198205790486734,[6.0],2.0,2.0,2.0,Octahedron,2a,1,6.0,Zn,0.0,True
mp-1044342,TiZnMo(PO4)3,2.6973028273248127,-0.4321979328200551,[6.0],2.0,2.0,2.0,Octahedron,2a,1,6.0,Zn,0.0,True
mp-1044402,TiVZn(PO4)3,2.1528665005957257,0.0427534160779918,[6.0],2.0,2.0,2.0,Octahedron,2a,1,6.0,Zn,0.0,True
mp-1044602,ZnCuP2O7,1.7677412602476816,0.311757695502331,[5.0],2.0,2.0,2.0,Trigonal bipyramid,4e,1,5.0,Zn,0.0,True
mp-1044778,PrZn(MoO3)2,2.658425274641281,-0.840996050127883,[4.0],2.0,2.0,2.0,Tetrahedron,2a,1,4.0,Zn,0.0,True
mp-1044935,ZnSb2P2O9,1.9215799229338093,0.1146283315168223,[4.0],2.0,2.0,2.0,Tetrahedron,4a,1,4.0,Zn,0.0,True
mp-1045062,Zn2MoWO6,1.6463529814202869,0.5647614214082586,"[3.0, 6.0]",2.0,2.0,2.0,Octahedron,1a,1,3.0,Zn,0.0,True
mp-1045062,Zn2MoWO6,1.6463529814202869,0.5647614214082586,"[3.0, 6.0]",2.0,2.0,2.0,Octahedron,1a,1,6.0,Zn,0.0,True
