element,method,R0_star,B_star,spread_var_star,spread_std_star,n_lines
Ti,Huber,1.867234000342174,0.24626680821752195,0.0034717809249658117,0.058921820448504574,7
V,Huber,1.8421062471660647,0.47671594404376827,0.014527112770778451,0.12052847286337968,7
Cr,Huber,1.8130871421005954,0.25151957648331236,0.01748349164146003,0.13222515510091123,5
Mn,Huber,1.8130859048785244,0.3764709128891147,0.0014251812713435455,0.03775157309760145,8
Fe,Huber,1.7490575628237721,0.4300825240655623,0.0008930925085337784,0.029884653394907867,6
Co,Huber,1.7743452290676154,0.33300104442391554,0.0045318401949915104,0.06731894380478284,6
Ni,Huber,1.8931261282526317,0.16968063398241878,0.0002766397997855552,0.016632492290259905,4
Cu,Huber,1.8000247976035972,0.2396872468054303,0.003084263646665691,0.05553614720761327,6
Zn,Huber,1.8271102499774272,0.23062564295238494,0.0020083263768987825,0.0448143545853199,5
Y,Huber,1.9863627878287546,0.43315030564113494,0.00035036804706461673,0.01871812082086812,9
Zr,Huber,1.998010255760201,0.3304089033172848,0.0005534140413053513,0.023524753799037967,8
Nb,Huber,1.9750471994352257,0.33728459860748666,0.0024718131736466706,0.04971733272860352,8
Mo,Huber,1.9512434620705488,0.37122378163718694,0.00017781329669598877,0.013334665226243544,4
Ru,Huber,1.917242980375752,0.4886061028215385,0.039672531979359944,0.19917964750285092,3
Pd,Huber,1.3125389035271708,1.0442207317508987,0.0,0.0,2
Ag,Huber,1.9171576298162842,0.37967827713883434,2.009758006331924e-05,0.004483032462889293,7
Cd,Huber,1.9935578430163048,0.34774526098787983,0.000260767714516587,0.016148303765924982,5
La,Huber,2.140138382516672,0.44338735451877165,0.0003092801722455744,0.017586363246719725,12
Hf,Huber,1.9328948850167733,0.39281041405573647,0.0005939727640375788,0.02437155645496567,8
Ta,Huber,1.9457620536215503,0.3368406619849762,0.04934195443600826,0.22213048965868745,8
W,Huber,1.947129645902865,0.3254627736581448,0.00460074929323054,0.06782882346930794,4
Re,Huber,1.9373933534328203,0.34205645207261554,0.002359005290692654,0.048569592243425865,3
Pt,Huber,1.9555383636203203,0.21666743020988682,0.004796257718883423,0.06925501944901484,3
Au,Huber,2.0134759666520603,0.0695030626475684,1.7532382260405136e-31,4.187168764261256e-16,3
Hg,Huber,2.2063071814279644,0.31002644365916576,0.004755505002950685,0.0689601696847585,8
Sc,RANSAC,1.9402546357468602,0.2969495055262811,0.0006560127245663098,0.025612745353950438,5
Ti,RANSAC,1.8691244710143466,0.24846495030139354,0.00508767158377101,0.07132791587990644,7
V,RANSAC,1.8391942374898071,0.4585128882559028,0.009177993808038942,0.09580184657948375,7
Cr,RANSAC,1.8161247565935286,0.26466668212437156,0.018146583918134025,0.13470925698753602,5
Mn,RANSAC,1.828673542244042,0.3459875826171532,0.0018827054082741774,0.04339015335619566,8
Fe,RANSAC,1.7726146197684585,0.38927898856178217,0.0007963534014556515,0.028219734255581705,6
Co,RANSAC,1.783924123267964,0.31617851325284274,0.003030463781189878,0.05504964832939333,6
Ni,RANSAC,1.8971455138875442,0.16843845300633042,0.00016802034069551662,0.012962266032431082,4
Cu,RANSAC,1.9552261458654367,0.061503198301084666,0.0053074504813347655,0.07285225103821272,6
Zn,RANSAC,1.8193227944199448,0.24791405761412244,0.0014241899931074302,0.03773844184790133,5
Y,RANSAC,1.9676728131986991,0.46234229317860304,0.0002451990549858478,0.0156588331297657,9
Zr,RANSAC,2.0077208758307106,0.32169081095802105,0.0007613620036374124,0.027592788978959927,8
Nb,RANSAC,1.9679793434001662,0.3604301466184093,0.0034020713429936747,0.05832727786373777,8
Mo,RANSAC,1.9644966623061986,0.38628356776510997,0.0014943084116618855,0.038656285538860115,4
Ru,RANSAC,1.9211355550809894,0.36775865146334125,0.0003966209731233665,0.019915345167065685,3
Pd,RANSAC,1.4400858514779067,0.8708737783615694,0.0,0.0,2
Ag,RANSAC,1.910688193088717,0.3856752536015776,1.6405216642384343e-05,0.004050335374062788,7
Cd,RANSAC,1.9834445090098705,0.36047272709610634,0.00034265059400731464,0.018510823698779984,5
La,RANSAC,2.1484493077617195,0.438394026730835,0.00025807960154439555,0.01606485610095514,12
Hf,RANSAC,1.949669572196891,0.36438346553478074,0.0006204253973054813,0.024908339914684826,8
Ta,RANSAC,1.9526984610775653,0.3209994249353927,0.05151855952223723,0.22697700218796887,8
W,RANSAC,1.944751529507304,0.3431087442826287,0.0022008833066944566,0.04691357273427869,4
Re,RANSAC,1.9464599711237625,0.33023734879279865,0.00019712909058633942,0.014040266756238623,3
Pt,RANSAC,1.958546731591078,0.21671849286800865,0.00488944063931517,0.06992453531712006,3
Au,RANSAC,2.026935092808036,0.021866297951800284,0.0,0.0,3
Hg,RANSAC,2.2312881876865207,0.2843797823755828,0.0032187885145522625,0.056734368019325486,8
